ID,País,Región,Cargo,Nombre Completo,Inicio Mandato,Fin Mandato,Partido,N° Mandato,Estado,Notas
CAN-01,Canadá,América del Norte,Primer Ministro,Jean Chrétien,1993-11-04,2003-12-12,Partido Liberal,3 mandatos,Finalizado,En el cargo desde 1993; abarca 2000-2003
CAN-02,Canadá,América del Norte,Primer Ministro,Paul Martin,2003-12-12,2006-02-06,Partido Liberal,1,Finalizado,NA
CAN-03,Canadá,América del Norte,Primer Ministro,Stephen Harper,2006-02-06,2015-11-04,Partido Conservador,3 mandatos,Finalizado,NA
CAN-04,Canadá,América del Norte,Primer Ministro,Justin Trudeau,2015-11-04,2025-03-14,Partido Liberal,3 mandatos,Finalizado,Renunció; sucedido por Carney
CAN-05,Canadá,América del Norte,Primer Ministro,Mark Carney,2025-03-14,NA,Partido Liberal,1,En curso,Exgobernador Banco de Canadá e Inglaterra
USA-01,Estados Unidos,América del Norte,Presidente,Bill Clinton,1993-01-20,2001-01-20,Partido Demócrata,2 mandatos,Finalizado,En el cargo desde 1993; abarca 2000-2001
USA-02,Estados Unidos,América del Norte,Presidente,George W. Bush,2001-01-20,2009-01-20,Partido Republicano,2 mandatos,Finalizado,NA
USA-03,Estados Unidos,América del Norte,Presidente,Barack Obama,2009-01-20,2017-01-20,Partido Demócrata,2 mandatos,Finalizado,NA
USA-04,Estados Unidos,América del Norte,Presidente,Donald Trump,2017-01-20,2021-01-20,Partido Republicano,1,Finalizado,Primer mandato
USA-05,Estados Unidos,América del Norte,Presidente,Joe Biden,2021-01-20,2025-01-20,Partido Demócrata,1,Finalizado,NA
USA-06,Estados Unidos,América del Norte,Presidente,Donald Trump,2025-01-20,NA,Partido Republicano,2 (no consecutivo),En curso,Segundo mandato no consecutivo (47º presidente)
MEX-01,México,América del Norte,Presidente,Ernesto Zedillo,1994-12-01,2000-12-01,PRI,1,Finalizado,En el cargo desde 1994; abarca 2000
MEX-02,México,América del Norte,Presidente,Vicente Fox,2000-12-01,2006-12-01,PAN,1,Finalizado,Fin de 71 años de hegemonía del PRI
MEX-03,México,América del Norte,Presidente,Felipe Calderón,2006-12-01,2012-12-01,PAN,1,Finalizado,NA
MEX-04,México,América del Norte,Presidente,Enrique Peña Nieto,2012-12-01,2018-12-01,PRI,1,Finalizado,NA
MEX-05,México,América del Norte,Presidente,Andrés Manuel López Obrador,2018-12-01,2024-10-01,Morena,1,Finalizado,'AMLO'
MEX-06,México,América del Norte,Presidente,Claudia Sheinbaum,2024-10-01,NA,Morena,1,En curso,Primera mujer presidenta de México
GTM-01,Guatemala,América Central,Presidente,Alfonso Portillo,2000-01-14,2004-01-14,FRG,1,Finalizado,NA
GTM-02,Guatemala,América Central,Presidente,Óscar Berger,2004-01-14,2008-01-14,GANA,1,Finalizado,NA
GTM-03,Guatemala,América Central,Presidente,Álvaro Colom,2008-01-14,2012-01-14,UNE,1,Finalizado,NA
GTM-04,Guatemala,América Central,Presidente,Otto Pérez Molina,2012-01-14,2015-09-03,Partido Patriota,1,Finalizado,Renunció por caso de corrupción 'La Línea'
GTM-05,Guatemala,América Central,Presidente,Alejandro Maldonado,2015-09-03,2016-01-14,Independiente,1,Finalizado,Presidente interino
GTM-06,Guatemala,América Central,Presidente,Jimmy Morales,2016-01-14,2020-01-14,FCN-Nación,1,Finalizado,NA
