Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
ARG-DLR-J012,9001,Fernando de la Rúa,Argentina,Completed,2000-06-15,2000-06-17,3,Colombia,South America,Cartagena de Indias,Multilateral,Regional Summit,NA,XIV Cumbre del Grupo de Río (Cartagena de Indias),NA,Participacion en la XIV Cumbre del Grupo de Rio; los pares expresaron respaldo a De la Rua en su negociacion de un prestamo con el FMI.,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,Medium,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-COL-36692), 2026-08-03. Fecha de la cumbre referida como 14-jun-2000 en algunas fuentes (Wikipedia) y 15-17-jun en COLT; se mantiene el rango COLT por falta de fuente primaria propia con fecha exacta. Cumbre bien documentada (Declaracion de Cartagena) pero no se hallo articulo que confirme explicitamente la presencia fisica de De la Rua con fecha; corroboracion indirecta via cobertura de su gestion del FMI en la cumbre.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-DLR-J013,9002,Fernando de la Rúa,Argentina,Completed,2000-09-10,2000-09-14,5,China,Asia-Pacific,Beijing,Bilateral,State Visit,NA,Jiang Zemin,Jefe de Estado/Gobierno,"Visita de Estado a China; profundizacion de relacion bilateral, antesala de la visita reciproca de Jiang Zemin a Argentina en abril 2001.",https://www.cancilleria.gob.ar/es/actualidad/comunicados/de-la-rua-recibira-al-presidente-de-china-jiang-zemin,High,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-CHN-36779), 2026-08-03. Fuente oficial de Cancilleria Argentina confirma el viaje de De la Rua a China (10-14 sep 2000) como antecedente de la visita reciproca de Jiang Zemin a Argentina (7-10 abr 2001).",NA,Verificada-URL,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA
ARG-DLR-J014,9003,Fernando de la Rúa,Argentina,Completed,2000-10-24,2000-10-27,4,Spain,Europe,Madrid,Bilateral,State Visit,NA,José María Aznar / Cortes Generales,Jefe de Estado/Gobierno,Visita de Estado a España; discurso en sesion conjunta del Congreso de los Diputados; recibido por Aznar (Presidente del Gobierno).,https://www.congreso.es/es/cem/visitarg2000,High,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-ESP-36823), 2026-08-03. Fuente oficial: archivo del Congreso de los Diputados de España, con PDF de la publicacion oficial de la visita (25-oct-2000).",NA,Verificada-URL,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA
ARG-DLR-J015,9004,Fernando de la Rúa,Argentina,Completed,2000-11-05,2000-11-07,3,Bolivia,South America,La Paz,Bilateral,Working Visit,NA,Hugo Banzer Suárez,Jefe de Estado/Gobierno,"Visita bilateral a Bolivia; reunion con el presidente Hugo Banzer, con firma de convenio de cooperacion.",Search Query: De la Rúa La Paz Bolivia Banzer noviembre 2000 visita bilateral,Low,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-BOL-36835), 2026-08-03. Corroboracion parcial via archivo fotografico (Getty Images, sin URL directa consultable) que ubica a De la Rua en La Paz el 5-nov-2000 reunido con Banzer; no se hallo articulo de prensa con URL estable que lo confirme.",NA,Solo-Query,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA
ARG-DLR-J016,9005,Fernando de la Rúa,Argentina,Completed,2000-11-17,2000-11-18,2,Panama,Central America,Panamá,Multilateral,Regional Summit,TRUE,X Cumbre Iberoamericana (Panamá),NA,Debut de De la Rua en una Cumbre Iberoamericana; agenda de pobreza infantil y equidad social. Reuniones con presidentes de Costa Rica y Guatemala.,https://www.ambito.com/politica/de-la-rua-cumbre-presidentes-panama-n3102516,High,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-PAN-36847), 2026-08-03. Nota de Ambito.com (17-nov-2000) confirma viaje, agenda y reuniones bilaterales al margen con Rodriguez Echeverria (Costa Rica) y Portillo (Guatemala).",Cooperación Política General,Verificada-URL,FALSE,TRUE,President Miguel Angel Rodriguez Echeverria;President Alfonso Portillo,NA,NA,NA,NA,NA,NA
ARG-DLR-J017,9006,Fernando de la Rúa,Argentina,Completed,2000-11-30,2000-12-01,2,Mexico,North America,Ciudad de México,Multilateral,Inauguration/Funeral,NA,Asunción de Vicente Fox,NA,Presencia en la asuncion de Vicente Fox (fin de 71 anios de gobierno del PRI); ceremonia en Campo Marte / Castillo de Chapultepec con ~15-19 jefes de Estado.,https://www.libertaddigital.com/internacional/2000-11-29/presidentes-y-delegaciones-extranjeras-llegan-a-mexico-para-asuncion-de-fox-9998/,Medium,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-MEX-36860), 2026-08-03. Fuentes de prensa (Libertad Digital y otras) confirman que Fox se reunio con De la Rua, Cardoso y Lagos en el marco de la asuncion; no se hallo articulo unico con URL estable que liste la agenda completa de De la Rua en Mexico.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
ARG-DLR-J018,9007,Fernando de la Rúa,Argentina,Completed,2000-12-04,2000-12-05,2,Costa Rica,Central America,San José,Multilateral,Regional Summit,NA,"Cumbre de Presidentes Centroamericanos (invitado especial, San José)",NA,Participacion como invitado especial en una cumbre de presidentes centroamericanos en San Jose; firma de una declaracion conjunta; visita a la Escuela Republica Argentina.,Search Query: De la Rúa Costa Rica diciembre 2000 cumbre presidentes centroamericanos San José,Low,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-CRI-36864), 2026-08-03. Archivo fotografico (Getty Images, sin URL directa consultable) ubica a De la Rua en San Jose el 4-dic-2000 firmando una declaracion junto al vicepresidente de El Salvador y visitando una escuela; no se preciso el nombre exacto/edicion de la cumbre centroamericana ni se hallo fuente primaria con URL estable.",Cooperación Política General,Solo-Query,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
ARG-DLR-J019,9008,Fernando de la Rúa,Argentina,Completed,2001-04-02,2001-04-05,4,Italy,Europe,Roma,Bilateral,State Visit,NA,Carlo Azeglio Ciampi,Jefe de Estado/Gobierno,Visita de Estado a Italia; reunion con el presidente Ciampi. Antesala de la audiencia con el Papa Juan Pablo II en el Vaticano (mismo tramo europeo).,Search Query: De la Rúa Italia Ciampi visita Roma abril 2001,Low,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-ITA-36983 y 1473-ARG-VAT-36986), 2026-08-03. Confirmacion general (no fechada) de que 'De la Rua visito Italia en 2001 y Ciampi visito Argentina en 2001' (pagina de relaciones Argentina-Italia); no se hallo articulo de prensa con fecha exacta y URL estable.",NA,Solo-Query,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
ARG-DLR-J019,9009,Fernando de la Rúa,Argentina,Completed,2001-04-05,2001-04-05,1,Vatican City,Europe,Ciudad del Vaticano,Bilateral,Working Visit,NA,Papa Juan Pablo II,Jefe de Estado/Gobierno,"Audiencia con el Papa Juan Pablo II, tramo final de la gira europea que incluyo la visita de Estado a Italia.",Search Query: De la Rúa Vaticano Juan Pablo II audiencia abril 2001,Low,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-VAT-36986), 2026-08-03. Mismo nivel de corroboracion parcial que el tramo Italia (ver fila anterior, mismo Journey_ID); no se hallo fuente primaria con URL estable.",NA,Solo-Query,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
ARG-DLR-J020,9010,Fernando de la Rúa,Argentina,Completed,2001-04-16,2001-04-19,4,United States,North America,Washington D.C.,Bilateral,Working Visit,NA,George W. Bush,Jefe de Estado/Gobierno,"Primera entrevista con el presidente Bush en el Salon Oval (19 abr); agenda ALCA. Viaje breve, inmediatamente previo a la III Cumbre de las Americas en Quebec (20-22 abr).",https://www.cancilleria.gob.ar/es/actualidad/comunicados/rodriguez-giavarini-anuncio-reunion-entre-de-la-rua-y-bush,High,"Lead detectado por comparacion con Diplometrics COLT (TripID 1473-ARG-USA-36997), 2026-08-03. Corroborado tambien por LA NACION ('De la Rua se reune con Bush en EE.UU.') y Ambito ('De la Rua tendra la primera entrevista hoy con Bush Jr.'). Distinto del viaje a Canada (Quebec, 20-22 abr 2001) ya cargado en la base (Trip_ID 8).",NA,Verificada-URL,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
