Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
ARG-CM-J001,1,Carlos Menem,Argentina,Completed,1994-11-30,1994-12-02,3,Mexico,North America,Mexico City,Multilateral,Inauguration/Funeral,NA,Asunción presidencial de Ernesto Zedillo,NA,Asistio a la asuncion presidencial de Ernesto Zedillo en Ciudad de Mexico; se reunio con el vicepresidente Al Gore y con la comunidad argentina residente.,Search Query: Menem asuncion Zedillo Mexico diciembre 1994,Medium,"Evento confirmado por multiples fuentes (Wikipedia Ernesto Zedillo, cronologia diplomatica); SourceLinks COLT (FBIS/NewsBank) no accesibles (paywall institucional), se uso corroboracion propia. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-MEX-34668), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Cooperación Política General,Solo-Query,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA
ARG-CM-J002,2,Carlos Menem,Argentina,Completed,1994-12-09,1994-12-11,3,United States,North America,Miami,Multilateral,Regional Summit,NA,Primera Cumbre de las Americas,NA,"Participacion en la Primera Cumbre de las Americas, Miami; firma de la Declaracion de Principios y Plan de Accion junto a 34 jefes de Estado.",https://en.wikipedia.org/wiki/1st_Summit_of_the_Americas,Medium,"Confirmado: cumbre realizada 9-11 dic 1994 en Miami; Menem participo junto a Clinton discutiendo el ALCA. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-USA-34677), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Cooperación Política General,Verificada-URL,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA
ARG-CM-J003,3,Carlos Menem,Argentina,Completed,1994-12-16,1994-12-18,3,Brazil,South America,Ouro Preto,Multilateral,Regional Summit,NA,Cumbre de Presidentes del MERCOSUR (Protocolo de Ouro Preto),NA,"Firma del Protocolo de Ouro Preto junto a Itamar Franco, Wasmosy y Lacalle Herrera, que otorgo personeria juridica internacional al MERCOSUR.",https://es.wikipedia.org/wiki/Protocolo_de_Ouro_Preto,High,"Fecha de firma verificada: 17-dic-1994; COLT reporta 16-18 dic, coherente con la ventana de la cumbre. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-BRA-34684), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Comercio/Integración Económica,Verificada-URL,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
ARG-CM-J004,4,Carlos Menem,Argentina,Completed,1995-01-02,1995-01-02,1,Brazil,South America,Brasília,Multilateral,Inauguration/Funeral,NA,Asunción presidencial de Fernando Henrique Cardoso,NA,Asistio a la asuncion presidencial de Fernando Henrique Cardoso en Brasilia.,Search Query: Menem asuncion Cardoso Brasil enero 1995,Medium,"Cardoso asumio el 1-ene-1995; viaje de corta duracion (ida y vuelta el mismo dia segun COLT). Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-BRA-34701), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Cooperación Política General,Solo-Query,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA
ARG-CM-J005,5,Carlos Menem,Argentina,Completed,1995-01-29,1995-01-30,2,Switzerland,Europe,Davos,Multilateral,Global Forum,NA,Foro Económico Mundial (WEF) Davos 1995,NA,Participacion en el Foro Economico Mundial de Davos; discurso sobre la crisis mexicana (efecto Tequila).,Search Query: Menem Foro Economico Mundial Davos enero 1995 discurso crisis mexicana,Low,"COLT Notes cita discurso 'Menem Addresses Economic Forum, Views Mexican Crisis' (FBIS, no accesible); no se hallo fuente propia consultable. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-CHE-34728), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Comercio/Integración Económica,Solo-Query,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA
ARG-CM-J005,6,Carlos Menem,Argentina,Completed,1995-01-31,1995-02-04,5,South Africa,Africa,Pretoria,Bilateral,State Visit,NA,Presidente Nelson Mandela,Jefe de Estado/Gobierno,Primera visita de un presidente americano a Sudafrica tras la asuncion de Mandela; reinicio de relaciones diplomaticas cortadas por Argentina en 1985.,https://www.lanacion.com.ar/lifestyle/me-hizo-creer-que-eramos-amigos-a-30-anos-de-la-asuncion-de-nelson-mandela-el-emotivo-recuerdo-de-nid10052024/,Medium,"Ciudad estimada (Pretoria, sede del Ejecutivo); Sudafrica tiene 3 capitales (Pretoria/Bloemfontein/Ciudad del Cabo), no se pudo confirmar cual visito Menem especificamente. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-ZAF-34730), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",NA,Verificada-URL,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
ARG-CM-J006,7,Carlos Menem,Argentina,Completed,1995-02-20,1995-02-20,1,Brazil,South America,Brasília,Bilateral,Working Visit,NA,Presidente Fernando Henrique Cardoso,Jefe de Estado/Gobierno,"Reunion bilateral breve con el presidente Cardoso, viaje de un solo dia.",Search Query: Menem Cardoso reunion bilateral Brasilia febrero 1995,Low,"No se hallo cobertura de prensa propia; se preserva el lead de COLT. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-BRA-34750), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",NA,Solo-Query,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
ARG-CM-J007,8,Carlos Menem,Argentina,Completed,1995-07-28,1995-07-29,2,Peru,South America,Lima,Multilateral,Inauguration/Funeral,NA,Asunción presidencial de Alberto Fujimori (segundo mandato),NA,"Asistio a la asuncion del segundo mandato de Alberto Fujimori en Lima, junto a mandatarios de Bolivia, Brasil, Chile, Colombia y otros paises de la region.",Search Query: Menem Fujimori asuncion Peru julio 1995 mandatarios presentes,Medium,"Fujimori asumio el 28-jul-1995 tras ganar la reeleccion; presencia de Menem confirmada junto a otros jefes de Estado sudamericanos. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-PER-34908), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Cooperación Política General,Solo-Query,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA
ARG-CM-J008,9,Carlos Menem,Argentina,Completed,1995-09-04,1995-09-05,2,Ecuador,South America,Quito,Multilateral,Regional Summit,NA,IX Cumbre del Grupo de Río,NA,"Participacion en la IX Cumbre del Grupo de Rio, que aprobo la Declaracion de Quito.",Search Query: IX Cumbre Grupo de Rio Quito Ecuador 1995 Declaracion de Quito,Medium,"Cumbre confirmada 4-5 sep 1995; participacion de Menem consistente con su rol como miembro activo del Grupo de Rio, aunque no se hallo mencion nominal directa. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-ECU-34946), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",Cooperación Política General,Solo-Query,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA
ARG-CM-J009,10,Carlos Menem,Argentina,Completed,1995-09-29,1995-10-01,3,South Korea,Asia-Pacific,Seoul,Bilateral,State Visit,NA,Presidente Kim Young-sam,Jefe de Estado/Gobierno,"Primer tramo de la gira presidencial por Asia de 1995, orientada a abrir relaciones comerciales; reunion con el presidente Kim Young-sam.",Search Query: Menem gira Asia 1995 Corea del Sur China Filipinas Kim Young-sam,Low,"Gira asiatica de 1995 confirmada de forma general (fuentes secundarias mencionan el viaje de Menem a China en 1995 vinculado a relacion posterior con Xi Jinping); tramo Corea no confirmado con fuente propia directa. Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT (TripID 334-ARG-KOR-34971), 2026-08-03; ciudad de destino estimada por investigacion propia (COLT no reporta ciudad).",NA,Solo-Query,TRUE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,NA
