Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status
BOL-LA-J001,1,Luis Arce,Bolivia,Completed,2020-12-13,2020-12-15,3,Brazil,South America,Sao Paulo,Other,Transit/Medical,NA,Control medico personal (post cancer 2017),NA,Primer viaje al exterior de su mandato: control medico rutinario tras haber superado cancer de rinon en 2017-2018.,https://eldeber.com.bo/pais/arce-parte-a-brasil-para-revision-medica-y-entrega-baston-de-mando-al-vicepresidente_212060,Medium,Entrego el baston de mando al vicepresidente Choquehuanca durante su ausencia; viaje sin agenda diplomatica.,NA,Verificada-URL
BOL-LA-J002,2,Luis Arce,Bolivia,Completed,2021-03-23,2021-03-25,3,Mexico,North America,Merida,Bilateral,State Visit,NA,Andres Manuel Lopez Obrador,Jefe de Estado/Gobierno,Primer viaje oficial de caracter diplomatico; invitado de honor en conmemoracion del Dia de la Victoria de Chakan Putum.,https://www.swissinfo.ch/spa/el-presidente-de-bolivia-luis-arce-llega-a-m%C3%A9xico-para-visita-oficial/46474422,Medium,NA,NA,Verificada-URL
BOL-LA-J003,3,Luis Arce,Bolivia,Completed,2021-07-28,2021-07-28,1,Peru,South America,Lima,Multilateral,Inauguration/Funeral,NA,Asuncion presidencial de Pedro Castillo,NA,"Asistio a la investidura de Pedro Castillo como presidente de Peru, en el marco del Bicentenario peruano.",https://www.la-razon.com/nacional/2021/07/28/luis-arce-viaja-a-peru-para-la-posesion-presidencial-de-pedro-castillo/,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J004,4,Luis Arce,Bolivia,Completed,2021-09-18,2021-09-18,1,Mexico,North America,Ciudad de Mexico,Multilateral,Regional Summit,NA,VI Cumbre CELAC,NA,Participacion en la VI Cumbre de Jefes de Estado y de Gobierno de la CELAC.,Search Query: Luis Arce VI Cumbre CELAC Ciudad de Mexico septiembre 2021,Low,"Tramo inferido como parte de una gira continua con la 76a AGNU (Nueva York, dias despues); no se hallo fuente directa solo para el tramo mexicano.",Cooperación Política General,Solo-Query
BOL-LA-J004,5,Luis Arce,Bolivia,Completed,2021-09-21,2021-09-23,3,United States,North America,New York,Multilateral,Global Forum,NA,76 Periodo de Sesiones de la Asamblea General de la ONU,NA,"Discurso ante la 76a AGNU (denuncia por la salida al mar, criticas al capitalismo, pedido de reparto justo de vacunas); tambien hablo en Columbia University.",https://cancilleria.gob.bo/mre/2021/09/23/19352/,High,Fecha de llegada estimada; discurso oficial confirmado el 23-sep-2021.,Cooperación Política General,Verificada-URL
BOL-LA-J005,6,Luis Arce,Bolivia,Completed,2021-10-31,2021-11-03,4,United Kingdom,Europe,Glasgow,Multilateral,Global Forum,TRUE,COP26 - Conferencia de la ONU sobre Cambio Climatico,NA,Discurso en la COP26 (31-oct); reuniones bilaterales con Angela Merkel y Alberto Fernandez; charla en Univ. de Warwick (3-nov).,https://cancilleria.gob.bo/mre/2021/11/01/19321/,High,"Incluye tramo posterior en la Universidad de Warwick, Inglaterra (3-nov-2021), tratado como extension de la misma salida al Reino Unido.",Medio Ambiente/Clima,Verificada-URL
BOL-LA-J006,7,Luis Arce,Bolivia,Completed,2021-12-13,2021-12-14,2,Cuba,Caribbean,La Habana,Multilateral,Regional Summit,TRUE,XX Cumbre ALBA-TCP,NA,Participacion en la XX Cumbre del ALBA-TCP (17 aniversario); posterior visita oficial bilateral a Cuba con Diaz-Canel.,https://cancilleria.gob.bo/mre/2021/12/14/19380/,High,NA,Cooperación Política General,Verificada-URL
BOL-LA-J007,8,Luis Arce,Bolivia,Completed,2022-03-11,2022-03-11,1,Chile,South America,Santiago,Multilateral,Inauguration/Funeral,TRUE,Asuncion presidencial de Gabriel Boric,NA,Asistio a la investidura de Gabriel Boric; reunion bilateral donde planteo la agenda maritima y del Silala.,https://lostiempos.com/actualidad/pais/20220312/chile-luis-arce-plantea-boric-hablar-del-mar-silala,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J008,9,Luis Arce,Bolivia,Completed,2022-04-06,2022-04-06,1,Argentina,South America,Buenos Aires,Bilateral,State Visit,NA,Alberto Fernandez,Jefe de Estado/Gobierno,Primera visita oficial a Argentina; acuerdo de provision de gas y firma de memorando de cooperacion en litio en Casa Rosada.,https://www.casarosada.gob.ar/slider-principal/48648-el-presidente-recibio-a-su-par-de-bolivia-luis-arce-en-la-casa-rosada-y-mantienen-una-reunion-bilateral,High,NA,NA,Verificada-URL
BOL-LA-J009,10,Luis Arce,Bolivia,Completed,2022-05-26,2022-05-27,2,Cuba,Caribbean,La Habana,Multilateral,Regional Summit,NA,XXI Cumbre ALBA-TCP,NA,Participacion en la XXI Cumbre del ALBA-TCP; abogo por la inclusion de todos los paises latinoamericanos sin discriminacion ideologica.,http://www.cubadebate.cu/especiales/2022/05/27/xxi-cumbre-del-alba-tcp-unidad-e-integracion-de-nuestra-america/,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J010,11,Luis Arce,Bolivia,Completed,2022-08-07,2022-08-07,1,Colombia,South America,Bogota,Multilateral,Inauguration/Funeral,NA,Asuncion presidencial de Gustavo Petro,NA,Asistio a la investidura de Gustavo Petro como primer presidente de izquierda de Colombia.,Search Query: Luis Arce asuncion Gustavo Petro Bogota 7 agosto 2022,Low,NA,Cooperación Política General,Solo-Query
BOL-LA-J011,12,Luis Arce,Bolivia,Completed,2022-09-19,2022-09-21,3,United States,North America,New York,Multilateral,Global Forum,TRUE,77 Periodo de Sesiones de la Asamblea General de la ONU,NA,"Discurso ante la 77a AGNU sobre cambio climatico y deforestacion amazonica; reuniones bilaterales con Brasil, India, China y Rusia.",https://www.opinion.com.bo/articulo/pais/arce-ya/20220920100233880954.html,Medium,Fechas de llegada/salida estimadas a partir de cobertura de prensa (discurso propiamente el 20-sep).,Cooperación Política General,Verificada-URL
BOL-LA-J012,13,Luis Arce,Bolivia,Completed,2022-12-13,2022-12-14,2,Cuba,Caribbean,La Habana,Multilateral,Regional Summit,NA,XXII Cumbre ALBA-TCP,NA,Participacion en la XXII Cumbre del ALBA-TCP.,https://www.lostiempos.com/actualidad/pais/20221213/luis-arce-viaja-cuba-cumbre-del-alba-tcp,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J013,14,Luis Arce,Bolivia,Completed,2023-01-01,2023-01-01,1,Brazil,South America,Brasilia,Multilateral,Inauguration/Funeral,NA,Asuncion presidencial de Luiz Inacio Lula da Silva,NA,Asistio a la tercera investidura presidencial de Lula da Silva en Brasilia.,Search Query: Luis Arce asuncion Lula da Silva Brasilia 1 enero 2023,Low,NA,Cooperación Política General,Solo-Query
BOL-LA-J014,15,Luis Arce,Bolivia,Completed,2023-01-24,2023-01-24,1,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,TRUE,VII Cumbre CELAC,NA,Participacion en la VII Cumbre de la CELAC; reuniones bilaterales con Alberto Fernandez y Gustavo Petro.,https://www.infobae.com/america/agencias/2023/01/24/presidente-boliviano-arce-viaja-a-argentina-para-la-cumbre-de-la-celac/,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J015,16,Luis Arce,Bolivia,Completed,2023-03-24,2023-03-25,2,Dominican Republic,Caribbean,Santo Domingo,Multilateral,Regional Summit,NA,XXVIII Cumbre Iberoamericana,NA,Participacion en la XXVIII Cumbre Iberoamericana; Bolivia impulso comunicados sobre seguridad alimentaria y hoja de coca.,https://eju.tv/2023/03/bolivia-lleva-cinco-propuestas-a-la-cumbre-iberoamericana-arce-estara-en-el-encuentro/,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J016,17,Luis Arce,Bolivia,Completed,2023-07-17,2023-07-18,2,Belgium,Europe,Bruselas,Multilateral,Regional Summit,NA,III Cumbre CELAC-UE,NA,Participacion en la III Cumbre UE-CELAC; pidio levantar sanciones economicas y dialogo sin imposiciones entre ambas regiones.,https://eldeber.com.bo/pais/arce-arribo-a-bruselas-para-asistir-a-cumbre-de-la-celac_332563,Medium,NA,Cooperación Política General,Verificada-URL
BOL-LA-J017,18,Luis Arce,Bolivia,Completed,2023-08-08,2023-08-09,2,Brazil,South America,Belem,Multilateral,Regional Summit,TRUE,Cumbre de la Amazonia (OTCA),NA,"Participacion en la Cumbre de Presidentes Amazonicos (OTCA); reunion bilateral con Lula sobre gas, comercio y seguridad fronteriza.",https://www.lostiempos.com/actualidad/pais/20230808/arce-lula-discuten-cooperacion-brasil-bolivia-al-margen-cumbre-amazonica,Medium,NA,Medio Ambiente/Clima,Verificada-URL
BOL-LA-J018,19,Luis Arce,Bolivia,Completed,2023-09-15,2023-09-16,2,Cuba,Caribbean,La Habana,Multilateral,Global Forum,NA,Cumbre del G77+China,NA,"Participacion en la Cumbre del G77+China sobre cooperacion Sur-Sur en ciencia, tecnologia e innovacion.",https://www.plenglish.com/news/2023/09/05/bolivias-president-to-attend-g77china-summit-in-cuba/,Medium,Tramo cubano de una gira continua que prosiguio a Nueva York para la 78a AGNU.,Cooperación Política General,Verificada-URL
BOL-LA-J018,20,Luis Arce,Bolivia,Completed,2023-09-18,2023-09-21,4,United States,North America,New York,Multilateral,Global Forum,NA,78 Periodo de Sesiones de la Asamblea General de la ONU,NA,Discurso ante la 78a AGNU proponiendo reforma del sistema financiero internacional y defensa de la soberania de los pueblos.,https://www.opinion.com.bo/articulo/pais/luis-arce-parte-estados-unidos-prepara-intervencion-onu/20230918233635921181.html,Medium,Fechas estimadas a partir de cobertura de prensa.,Cooperación Política General,Verificada-URL
BOL-LA-J019,21,Luis Arce,Bolivia,Completed,2023-12-07,2023-12-07,1,Paraguay,South America,Asuncion,Multilateral,Regional Summit,NA,63a Cumbre de Jefes de Estado del MERCOSUR,NA,Entrego el instrumento de ratificacion del ingreso de Bolivia como miembro pleno del MERCOSUR.,https://cancilleria.gob.bo/mre/2023/12/07/18254/,High,NA,Comercio/Integración Económica,Verificada-URL
BOL-LA-J020,22,Luis Arce,Bolivia,Completed,2024-04-24,2024-04-24,1,Venezuela,South America,Caracas,Multilateral,Regional Summit,NA,XXIII Cumbre ALBA-TCP,NA,Participacion en la XXIII Cumbre del ALBA-TCP; planteo la necesidad de acercamiento a bloques como BRICS.,https://cancilleria.gob.bo/mre/2024/04/24/18217/,High,NA,Cooperación Política General,Verificada-URL
BOL-LA-J021,23,Luis Arce,Bolivia,Completed,2024-06-06,2024-06-07,2,Russia,Europe,San Petersburgo,Multilateral,Global Forum,TRUE,XXVII Foro Economico Internacional de San Petersburgo (SPIEF),NA,Invitado especial de Vladimir Putin al Foro Economico de San Petersburgo; reunion bilateral sobre proyectos de litio y energia nuclear.,https://cancilleria.gob.bo/mre/2024/06/07/18122/,High,Fecha de llegada estimada.,Comercio/Integración Económica,Verificada-URL
BOL-LA-J022,24,Luis Arce,Bolivia,Completed,2024-07-08,2024-07-08,1,Paraguay,South America,Asuncion,Multilateral,Regional Summit,NA,64a Cumbre de Jefes de Estado del MERCOSUR y Estados Asociados,NA,Participacion en la 64a Cumbre de Jefes de Estado del MERCOSUR (sesion plenaria).,https://cancilleria.gob.bo/mre/2024/07/08/18229/,Medium,Fuente oficial confirma el discurso presidencial pero no menciona explicitamente la sede; ciudad (Asuncion) inferida de la presidencia pro-tempore paraguaya del semestre. Pendiente de verificacion de sede exacta.,Comercio/Integración Económica,Verificada-URL
