Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status
CHL-RL-J001,1,Ricardo Lagos,Chile,Completed,2000-06-29,2000-06-30,2,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,TRUE,Cumbre del MERCOSUR (Chile asociado),NA,Primer viaje internacional del mandato: cumbre del Mercosur; Chile como Estado asociado.,https://arle.udp.cl/index.php/programa-de-actividades-de-presidente-de-la-republica-para-xviii-cumbre-mercosur-en-buenos-aires,High,Primer viaje del mandato.,Comercio/Integración Económica,Verificada-URL
CHL-RL-J002,2,Ricardo Lagos,Chile,Completed,2000-09-06,2000-09-08,3,United States,North America,New York,Multilateral,Global Forum,TRUE,Cumbre del Milenio de la ONU,NA,Cumbre del Milenio de la ONU.,https://www.un.org/es/events/pastevents/millennium_summit.shtml,Medium,Fechas oficiales de la Cumbre del Milenio.,Cooperación Política General,Verificada-URL
CHL-RL-J003,3,Ricardo Lagos,Chile,Completed,2000-11-17,2000-11-18,2,Panama,Central America,Panama City,Multilateral,Regional Summit,NA,X Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Panama; ninez y adolescencia.,https://www.segib.org/?summit=x-cumbre-iberoamericana-panama-2000,High,17-18/11/2000.,Cooperación Política General,Verificada-URL
CHL-RL-J004,4,Ricardo Lagos,Chile,Completed,2000-11-15,2000-11-16,2,Brunei,Asia-Pacific,Bandar Seri Begawan,Multilateral,Regional Summit,TRUE,Cumbre de Líderes de APEC,NA,Cumbre de lideres de APEC en Brunei; Chile en la agenda Asia-Pacifico.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2000,High,"NOTA 2026-07-21: programa oficial de giras 2000 registra ventana ampliada 'Brunei Darussalam. VIII cumbre de Lideres APEC, noviembre 14 al 17'; fechas 15-16 (dias nucleo de la cumbre de lideres) confirmadas ademas por nota de clausura de TVN fechada 16/11/2000, catalogada en el mismo archivo oficial. No hay solapamiento real con la Cumbre Iberoamericana (Panama, 17-18 nov 2000, ver gira siguiente).",Comercio/Integración Económica,Verificada-URL
CHL-RL-J005,5,Ricardo Lagos,Chile,Completed,2001-04-20,2001-04-22,3,Canada,North America,Quebec City,Multilateral,Regional Summit,TRUE,III Cumbre de las Américas,NA,III Cumbre de las Americas; negociacion del ALCA y clausula democratica.,https://www.summit-americas.org/iii_summit.html,High,20-22/04/2001.,Cooperación Política General,Verificada-URL
CHL-RL-J006,6,Ricardo Lagos,Chile,Completed,2001-06-03,2001-06-06,4,Spain,Europe,Madrid,Bilateral,State Visit,NA,Rey Juan Carlos I / José María Aznar,Jefe de Estado/Gobierno,Visita de Estado a Espana; inversiones y acuerdo Chile-UE en agenda. Tramo 1 de gira europea.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001,High,"Gira europea jun 2001; tramos y fechas a confirmar. NOTA 2026-07-21: el programa oficial de giras 2001 (Presidencia/Ceremonial y Protocolo) y la ficha archivistica especifica del viaje ('Visita de Estado al Reino de Espana 03 al 06 de Junio 2001', incl. informe de Embajada de Chile en Espana) fechan la visita 03-06/06/2001 (4 dias), no 04-06. Fecha corregida.",NA,Verificada-URL
CHL-RL-J006,7,Ricardo Lagos,Chile,Completed,2001-06-07,2001-06-08,2,France,Europe,Paris,Bilateral,Working Visit,NA,Jacques Chirac,Jefe de Estado/Gobierno,Relaciones bilaterales; acuerdo Chile-UE. Tramo 2 de gira europea.,Search Query: Lagos Francia Chirac junio 2001,Low,Fechas estimadas.,NA,No-verificable
CHL-RL-J007,8,Ricardo Lagos,Chile,Completed,2001-07-27,2001-07-31,5,Peru,South America,Lima,Bilateral,Inauguration/Funeral,NA,Asunción de Alejandro Toledo,Jefe de Estado/Gobierno,Asuncion de Alejandro Toledo en Peru.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001,High,"28/07/2001. NOTA 2026-07-21: el programa oficial de giras 2001 registra este viaje como 'Transmision del Mando y Visita Oficial' a Peru, 27 al 31 de julio (no solo el dia de la asuncion, 28/07). Confirmado por ficha archivistica de conferencia de prensa conjunta Lagos-Toledo fechada 30/07/2001 en Lima y por cobertura de prensa del juramento simbolico en Machu Picchu (29/07/2001, con presencia de Lagos). Fechas y duracion corregidas.",NA,Verificada-URL
CHL-RL-J008,9,Ricardo Lagos,Chile,Completed,2001-09-12,2001-09-13,2,Belgium,Europe,Brussels,Bilateral,Working Visit,NA,Unión Europea (negociación del Acuerdo de Asociación),Otro actor no estatal,Negociacion del Acuerdo Chile-UE. Tramo 1; la gira se altero por los atentados del 11-S. ,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001,High,"Gira interrumpida por el 11/09/2001. NOTA 2026-07-21: el programa oficial de giras 2001 fecha la visita de trabajo a Belgica (Bruselas) el 12-13/09/2001 (no 10-11/09), como tercer tramo de una gira Portugal(9-11/09, Visita de Estado, Lisboa, Trip_ID 190)->Reino Unido(11-12/09)->Belgica(12-13/09). Fecha corregida para el tramo Belgica. Nota metodologica: el tramo Portugal (Lisboa, Visita de Estado, 9-11/09/2001) fue agregado en tanda 2026-07-21 como Trip_ID 190 (fuente: Arquivo Historico da Presidencia da Republica Portuguesa). El tramo Reino Unido (Trip_ID 10, misma gira) SI se corrigio en esta tanda (de 12-13/09 a 11-12/09) para evitar colision de fechas entre ambos tramos.",NA,Verificada-URL
CHL-RL-J008,10,Ricardo Lagos,Chile,Completed,2001-09-11,2001-09-12,2,United Kingdom,Europe,London,Bilateral,Working Visit,NA,Tony Blair,Jefe de Estado/Gobierno,"Relaciones bilaterales. Tramo 2, afectado por el 11-S.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001,High,"Fechas estimadas; contexto 11-S. NOTA 2026-07-21: re-verificacion (tanda Lagos). La fuente previa (La Tercera, articulo general sobre el 11-S en Chile) no databa el tramo Reino Unido; el programa oficial de giras 2001 (Presidencia/Ceremonial y Protocolo) fecha este tramo 'Reino Unido, Londres. Visita Oficial, septiembre 11 y 12' (no 12-13, que corresponde en realidad al tramo siguiente en Belgica). Fecha corregida para evitar colision de fechas entre tramos Reino Unido y Belgica de la misma gira (Journey_ID J008). Fuente actualizada a la de mayor jerarquia (archivo oficial).",NA,Verificada-URL
CHL-RL-J009,11,Ricardo Lagos,Chile,Completed,2001-11-23,2001-11-24,2,Peru,South America,Lima,Multilateral,Regional Summit,TRUE,XI Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Lima; unidad ante el terrorismo global.,https://www.segib.org/?summit=xi-cumbre-iberoamericana-lima-2001,High,23-24/11/2001.,Cooperación Política General,Verificada-URL
CHL-RL-J010,12,Ricardo Lagos,Chile,Completed,2002-03-21,2002-03-22,2,Mexico,North America,Monterrey,Multilateral,Global Forum,NA,Conferencia sobre Financiación para el Desarrollo,NA,Conferencia de Monterrey (Consenso de Monterrey).,https://www.un.org/es/conf/ffd/2002/,Medium,21-22/03/2002 (segmento de alto nivel).,Comercio/Integración Económica,Verificada-URL
CHL-RL-J011,13,Ricardo Lagos,Chile,Completed,2002-05-16,2002-05-17,2,Spain,Europe,Madrid,Multilateral,Regional Summit,TRUE,II Cumbre UE-América Latina y el Caribe + firma Acuerdo Chile-UE,NA,Cumbre UE-ALC; Chile cerro politicamente su Acuerdo de Asociacion con la UE.,https://arle.udp.cl/index.php/programa-tentativo-de-visita-de-presidente-de-la-republica-a-ii-cumbre-de-la-union-europea-america-latina-y-el-caribe-madrid-16-17-de-mayo-de-2002,High,"17-18/05/2002. NOTA 2026-07-21: el programa oficial tentativo especifico de este viaje ('Madrid 16-17 de Mayo de 2002') y las fichas archivisticas de declaraciones y conferencia de prensa al termino de la firma del Acuerdo Chile-UE, ambas fechadas 17/05/2002, fijan la Cumbre UE-ALC y el cierre del acuerdo el 16-17/05/2002 (no 17-18/05). Fecha corregida.",Cooperación Política General,Verificada-URL
CHL-RL-J013,15,Ricardo Lagos,Chile,Completed,2002-10-26,2002-10-27,2,Mexico,North America,Los Cabos,Multilateral,Regional Summit,TRUE,Cumbre de Líderes de APEC,NA,Cumbre APEC de Los Cabos; libre comercio en Asia-Pacifico.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002,High,26-27/10/2002.,Comercio/Integración Económica,Verificada-URL
CHL-RL-J014,16,Ricardo Lagos,Chile,Completed,2002-11-15,2002-11-16,2,Dominican Republic,Caribbean,Bávaro,Multilateral,Regional Summit,NA,XII Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Bavaro.,https://segib.org/es/cumbre/xii-cumbre-iberoamericana/,High,"CORREGIDO (2026-07-22): fechas de 23-24/11 a 15-16/11/2002 (error detectado por discrepancia con el Archivo Ricardo Lagos Escobar-UDP). Triple-verificado: SEGIB oficial (segib.org/es/cumbre/xii-cumbre-iberoamericana, 'tuvo lugar...los dias 15 y 16 de noviembre de 2002'), Wikipedia ES (XII Cumbre Iberoamericana) y EcuRed/OEA coinciden en 15-16/11/2002, Bavaro, Rep. Dominicana.",Cooperación Política General,Verificada-URL
CHL-RL-J016,18,Ricardo Lagos,Chile,Completed,2003-10-20,2003-10-21,2,Thailand,Asia-Pacific,Bangkok,Multilateral,Regional Summit,TRUE,Cumbre de Líderes de APEC,NA,Cumbre APEC de Bangkok.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2003,High,20-21/10/2003.,Comercio/Integración Económica,Verificada-URL
CHL-RL-J017,19,Ricardo Lagos,Chile,Completed,2003-11-14,2003-11-15,2,Bolivia,South America,Santa Cruz de la Sierra,Multilateral,Regional Summit,NA,XIII Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Santa Cruz; inclusion social.,https://www.segib.org/?summit=xiii-cumbre-iberoamericana-santa-cruz-de-la-sierra-2003,High,14-15/11/2003.,Cooperación Política General,Verificada-URL
CHL-RL-J018,20,Ricardo Lagos,Chile,Completed,2004-01-12,2004-01-13,2,Mexico,North America,Monterrey,Multilateral,Regional Summit,TRUE,Cumbre Extraordinaria de las Américas,NA,Cumbre Extraordinaria de las Americas en Monterrey.,https://www.summit-americas.org/special_summit.html,High,12-13/01/2004.,Cooperación Política General,Verificada-URL
CHL-RL-J019,21,Ricardo Lagos,Chile,Completed,2004-05-28,2004-05-29,2,Mexico,North America,Guadalajara,Multilateral,Regional Summit,TRUE,III Cumbre UE-América Latina y el Caribe,NA,Cumbre UE-ALC de Guadalajara.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2004,High,28-29/05/2004.,Cooperación Política General,Verificada-URL
CHL-RL-J021,23,Ricardo Lagos,Chile,Completed,2004-04-28,2004-04-29,2,Indonesia,Asia-Pacific,Jakarta,Bilateral,Working Visit,NA,Megawati Sukarnoputri,Jefe de Estado/Gobierno,Comercio Asia-Pacifico; giras vinculadas a la agenda APEC 2004 (Chile fue anfitrion). Tramo de gira asiatica.,https://www.emol.com/noticias/nacional/2004/04/25/145881/presidente-lagos-inicia-gira-internacional.html,Medium,"Fecha CORREGIDA 2026-07-08 (era 2004-11-18, error de mes): la gira Sudafrica-Indonesia-Singapur-NZ fue en abril 2004; reunion con Megawati el 28-29/04. La APEC con Chile anfitrion fue en Santiago el 20-21/11/2004. Fuente: Emol 25-04-2004.",NA,Verificada-URL
CHL-RL-J022,24,Ricardo Lagos,Chile,Completed,2004-11-19,2004-11-20,2,Costa Rica,Central America,San José,Multilateral,Regional Summit,NA,XIV Cumbre Iberoamericana,NA,Cumbre Iberoamericana de San Jose.,https://www.segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004,High,"Verificar solapamiento con gira asiatica; fechas 19-20/11. QA-R2 2026-07-22: fecha CORREGIDA de 20-22/11 a 19-20/11/2004 (error de 2-3 dias). Fuente oficial SEGIB (segib.org/es/cumbre/xiv-cumbre-iberoamericana y xiv-cumbre-iberoamericana-educar-para-progresar-como-region) fecha la XIV Cumbre Iberoamericana de San Jose, Costa Rica, el 19 y 20 de noviembre de 2004; corroborado por es.wikipedia.org/wiki/XIV_Cumbre_Iberoamericana y por foto oficial SEGIB que confirma asistencia presencial de Ricardo Lagos. Se verifico ademas que Lagos debia estar de vuelta en Santiago para presidir la Cumbre de Lideres APEC (20-21/11/2004, Chile anfitrion); las fechas corregidas (19-20/11) son compatibles con ese regreso, mientras que las fechas previas (20-22/11) generaban un conflicto de agenda con APEC.",Cooperación Política General,Verificada-URL
CHL-RL-J023,25,Ricardo Lagos,Chile,Completed,2005-03-01,2005-03-01,1,Uruguay,South America,Montevideo,Multilateral,Inauguration/Funeral,TRUE,Asunción de Tabaré Vázquez,NA,Asuncion de Tabare Vazquez en Uruguay.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High,1/03/2005.,Cooperación Política General,Verificada-URL
CHL-RL-J024,26,Ricardo Lagos,Chile,Completed,2005-10-14,2005-10-15,2,Spain,Europe,Salamanca,Multilateral,Regional Summit,TRUE,XV Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Salamanca.,https://www.segib.org/?summit=xv-cumbre-iberoamericana-salamanca-2005,High,14-15/10/2005.,Cooperación Política General,Verificada-URL
