Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
PRY-GM-J001,1,Luis Ángel González Macchi,Paraguay,Completed,2000-06-30,2000-06-30,1,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR (XVIII),NA,Cumbre semestral del MERCOSUR bajo presidencia pro tempore de Argentina.,Search Query: González Macchi cumbre Mercosur Buenos Aires junio 2000,Low,Fecha de la cumbre (30-jun-2000) corroborada por multiples fuentes de prensa/senado.gov.py; sin URL primaria unica que confirme asistencia nominal de Gonzalez Macchi.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J002,2,Luis Ángel González Macchi,Paraguay,Completed,2000-08-31,2000-09-01,2,Brazil,South America,Brasília,Multilateral,Regional Summit,NA,I Reunión de Presidentes de América del Sur,NA,"Primera cumbre sudamericana (Brasilia); apoyo a la integracion fisica regional, precursora de IIRSA.",http://integracionsur.com/wp-content/uploads/2016/11/CumbreSudamericanaBrasilia2000.pdf,Medium,"Documento de la cumbre confirma la reunion de los 12 jefes de Estado sudamericanos, Paraguay incluido.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J003,3,Luis Ángel González Macchi,Paraguay,Completed,2000-11-17,2000-11-18,2,Panama,Central America,Panama City,Multilateral,Regional Summit,NA,X Cumbre Iberoamericana,NA,X Cumbre Iberoamericana (Panama); tema central ninez y adolescencia (Declaracion de Panama).,https://www.segib.org/?summit=x-cumbre-iberoamericana-panama-2000,Medium,Participacion de Paraguay como Estado miembro pleno de la Conferencia Iberoamericana; no se hallo confirmacion nominal individual de Gonzalez Macchi.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J004,4,Luis Ángel González Macchi,Paraguay,Completed,2000-12-01,2000-12-01,1,Brazil,South America,Florianópolis,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR (Florianópolis),NA,Cumbre semestral del MERCOSUR bajo presidencia pro tempore de Brasil; Declaracion de Florianopolis.,Search Query: González Macchi cumbre Mercosur Florianópolis diciembre 2000,Low,Fecha estimada (usar YYYY-MM-01); Declaracion de Florianopolis de diciembre 2000 confirmada pero sin fecha exacta ni asistencia nominal verificada con fuente primaria.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J005,5,Luis Ángel González Macchi,Paraguay,Completed,2001-04-20,2001-04-22,3,Canada,North America,Quebec City,Multilateral,Regional Summit,NA,III Cumbre de las Américas,NA,III Cumbre de las Americas; adopcion de la Carta Democratica Interamericana y debate del ALCA.,https://summit-americas.org/sas/Cumbres_previas_IIICumbre.html,Medium,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J006,6,Luis Ángel González Macchi,Paraguay,Completed,2001-11-23,2001-11-24,2,Peru,South America,Lima,Multilateral,Regional Summit,NA,XI Cumbre Iberoamericana,NA,XI Cumbre Iberoamericana (Lima); lema 'Unidos para construir el manana'.,https://segib.org/es/xi-cumbre-iberoamericana-unidos-para-construir-el-manana/,Medium,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J007,7,Luis Ángel González Macchi,Paraguay,Completed,2001-12-01,2001-12-01,1,Uruguay,South America,Montevideo,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR (Montevideo),NA,Cumbre semestral del MERCOSUR bajo presidencia pro tempore de Uruguay.,Search Query: González Macchi cumbre Mercosur Montevideo diciembre 2001,Low,Fecha estimada (usar YYYY-MM-01); cumbre de diciembre de 2001 no verificada con URL primaria.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J008,8,Luis Ángel González Macchi,Paraguay,Completed,2002-07-26,2002-07-27,2,Ecuador,South America,Guayaquil,Multilateral,Regional Summit,NA,II Cumbre Sudamericana (Consenso de Guayaquil),NA,II Cumbre Sudamericana; adopcion del Consenso de Guayaquil sobre integracion e infraestructura.,Search Query: González Macchi Guayaquil cumbre sudamericana julio 2002,Low,"Fecha de la cumbre confirmada (26-27 jul 2002, Wikipedia 'II Cumbre Suramericana'); asistencia personal de Gonzalez Macchi no confirmada con fuente primaria.",Cooperación Política General,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J009,9,Luis Ángel González Macchi,Paraguay,Completed,2002-07-05,2002-07-05,1,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR (XXII),NA,Cumbre semestral del MERCOSUR (Duhalde anfitrion); acuerdos automotrices y comerciales.,Search Query: cumbre Mercosur Buenos Aires julio 2002 Duhalde Cardoso Batlle González Macchi,Low,Fuente de cancilleria.gob.ar y prensa nombran a los cuatro presidentes fundadores del MERCOSUR (incl. Gonzalez Macchi) sin URL primaria unica localizada.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J010,10,Luis Ángel González Macchi,Paraguay,Completed,2002-11-15,2002-11-16,2,Dominican Republic,Caribbean,Bávaro,Multilateral,Regional Summit,NA,XII Cumbre Iberoamericana,NA,"XII Cumbre Iberoamericana (Bavaro); lema 'un punto de inflexion', turismo y medio ambiente.",https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002,Medium,Peru y Cuba enviaron vicepresidentes; no hay registro de ausencia de Paraguay.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J011,11,Luis Ángel González Macchi,Paraguay,Completed,2003-01-01,2003-01-01,1,Brazil,South America,Brasília,Multilateral,Inauguration/Funeral,NA,Asunción de Luiz Inácio Lula da Silva,NA,Asistencia a la toma de posesion de Lula da Silva junto a otros jefes de Estado y de Gobierno.,Search Query: presidentes asistieron asunción Lula da Silva 1 enero 2003 Paraguay,Low,Prensa reporta a Paraguay entre los paises representados en la ceremonia; no se hallo URL primaria que nombre a Gonzalez Macchi explicitamente.,Cooperación Política General,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-GM-J012,12,Luis Ángel González Macchi,Paraguay,Completed,2003-05-25,2003-05-25,1,Argentina,South America,Buenos Aires,Multilateral,Inauguration/Funeral,NA,Asunción de Néstor Kirchner,NA,Asistencia a la toma de posesion de Nestor Kirchner como presidente de Argentina.,Search Query: González Macchi Kirchner asunción 25 mayo 2003 Buenos Aires,Low,Fuentes de prensa sobre la ceremonia listan a Gonzalez Macchi entre los mandatarios extranjeros presentes; sin URL primaria unica.,Cooperación Política General,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J001,13,Nicanor Duarte Frutos,Paraguay,Completed,2003-09-23,2003-09-27,5,United States,North America,New York,Multilateral,Global Forum,TRUE,58º Período de Sesiones de la AGNU,NA,Debate general de la AGNU; defensa del ingreso de Taiwan a la ONU; bilateral con G.W. Bush en la Casa Blanca (26-sep).,https://georgewbush-whitehouse.archives.gov/news/releases/2003/09/images/text/20030926-1_p33857-08a-515h.html,High,Fecha exacta del discurso ante la AGNU no confirmada individualmente (debate general 23-sep al 1-oct-2003); reunion con Bush en la Casa Blanca confirmada el 26-sep-2003 por foto oficial de archivo de la Casa Blanca.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J002,14,Nicanor Duarte Frutos,Paraguay,Completed,2003-11-14,2003-11-15,2,Bolivia,South America,Santa Cruz de la Sierra,Multilateral,Regional Summit,NA,XIII Cumbre Iberoamericana,NA,"XIII Cumbre Iberoamericana; lema 'inclusion social, motor del desarrollo'.",https://segib.org/?summit=xiii-cumbre-iberoamericana-santa-cruz-de-la-sierra-2003,Medium,Foto oficial de la cumbre incluye a Duarte Frutos como presidente de Paraguay.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J003,15,Nicanor Duarte Frutos,Paraguay,Completed,2003-12-01,2003-12-01,1,Uruguay,South America,Montevideo,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR (Montevideo),NA,"Primera cumbre semestral del MERCOSUR de Duarte Frutos como presidente, bajo pro tempore de Uruguay.",Search Query: Duarte Frutos cumbre Mercosur Montevideo diciembre 2003,Low,Fecha estimada (usar YYYY-MM-01); cumbre de diciembre de 2003 no verificada con URL primaria.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J004,16,Nicanor Duarte Frutos,Paraguay,Completed,2004-07-01,2004-07-01,1,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,NA,"Cumbre del MERCOSUR (Argentina, primer semestre 2004)",NA,Cumbre semestral del MERCOSUR bajo presidencia pro tempore de Argentina.,Search Query: Duarte Frutos cumbre Mercosur Argentina julio 2004,Low,Fecha y ciudad estimadas (usar YYYY-MM-01); no se confirmo sede exacta (posiblemente Puerto Iguazu u otra ciudad) ni asistencia nominal con fuente primaria.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J005,17,Nicanor Duarte Frutos,Paraguay,Completed,2004-11-19,2004-11-20,2,Costa Rica,Central America,San José,Multilateral,Regional Summit,NA,XIV Cumbre Iberoamericana,NA,XIV Cumbre Iberoamericana; lema 'educar para progresar'.,https://segib.org/es/xiv-cumbre-iberoamericana-educar-para-progresar-como-region/,Medium,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J006,18,Nicanor Duarte Frutos,Paraguay,Completed,2004-12-16,2004-12-17,2,Brazil,South America,Ouro Preto,Multilateral,Regional Summit,NA,XXVII Cumbre del MERCOSUR,NA,"Cumbre semestral del MERCOSUR (Ouro Preto, Brasil).",Search Query: Duarte Frutos cumbre Mercosur Ouro Preto diciembre 2004,Low,Fecha del evento (16-17 dic 2004) confirmada por fuentes cruzadas sobre Uruguay/Mercosur (vlex.com); asistencia nominal de Duarte Frutos no confirmada con URL primaria propia.,Comercio/Integración Económica,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J007,19,Nicanor Duarte Frutos,Paraguay,Completed,2005-09-29,2005-09-30,2,Brazil,South America,Brasília,Multilateral,Regional Summit,NA,I Cumbre de la Comunidad Sudamericana de Naciones,NA,"Reunion fundacional de la Comunidad Sudamericana de Naciones, precursora de UNASUR.",Search Query: Duarte Frutos Cumbre Sudamericana Brasilia 2005 Comunidad Sudamericana de Naciones,Low,"Fecha del evento confirmada (29-30 sep 2005, Real Instituto Elcano/Teseopress); asistencia nominal de Duarte Frutos no confirmada con URL primaria propia.",Cooperación Política General,Solo-Query,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J008,20,Nicanor Duarte Frutos,Paraguay,Completed,2005-10-14,2005-10-15,2,Spain,Europe,Salamanca,Multilateral,Regional Summit,NA,XV Cumbre Iberoamericana,NA,XV Cumbre Iberoamericana (Salamanca); migracion y realidad socioeconomica de la region.,https://segib.org/?summit=xv-cumbre-iberoamericana-salamanca-2005,Medium,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY-NDF-J009,21,Nicanor Duarte Frutos,Paraguay,Completed,2005-11-04,2005-11-05,2,Argentina,South America,Mar del Plata,Multilateral,Regional Summit,NA,IV Cumbre de las Américas,NA,"IV Cumbre de las Americas; rechazo al ALCA junto a Kirchner, Lula, Chavez y Vazquez.",https://summit-americas.org/sas/Cumbres_previas_IVCumbre.html,High,"Multiples fuentes de prensa (Ambito, NODAL) nombran explicitamente a Duarte Frutos entre los cuatro presidentes del MERCOSUR que rechazaron el ALCA.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
