TripID,LeaderID,LeaderCountryOrIGO,LeaderCountryISO,LeaderRegion,LeaderSubregion,PriorityLeader,LeaderRole,LeaderTitle,LeaderSurname,LeaderFullName,Exiled,CountryVisited,CountryVisitedISO,RegionVisited,SubRegionVisited,CityVisited,DisputedTerritory,SemiAutoTerritory,TripYear,TripStartDate,TripEndDate,TripDuration,SubHOGSTravelWithHOGS,CotravelHOGS,MetHostHoGS,HostHOGSName,SubHOGSmetHostSubHOGS,HostSubHOGSName,AttendedMultilatEvent,NameMultilatEvent,AttendedMultilatMinisterialEvent,NameMultilatMinisterialEvent,MetNonhostHOGS,NonhostHOGSNames,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeaderName,Notes,Confidence(1-5),SourceLink1,SourceLink2,SourceLink3,SourceLink4,SourceLink5,SourceLink6,SourceLink7,SourceLink8,SourceLink9,SourceLink10,SourceLink11,SourceLink12,SourceLink13,SourceLink14,SourceLink15,SourceLink16,SourceLink17,SourceLink18,SourceLink19,SourceLink20,SourceLink21,SourceLink22,SourceLink23,SourceLink24,SourceLink25,SourceLink26,SourceLink27,SourceLink28,SourceLink29,SourceLink30,SourceLink31,SourceLink32,SourceLink33
334-ARG-MEX-34668,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Mexico,MEX,Latin America and the Caribbean,Central America,Mexico City,No,No,1994,1994-11-30,1994-12-02,3,No,,Yes,President Ernesto Zedillo,No,,No,,No,,No,,No,No,Yes,No,No,,Attended the inauguration President Ernesto Zedillo in Mexico City;Met with Vice President Al Gore;Met with Argentine community members living in Mexico,1,https://infoweb-newsbank-com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=D62V4FGNMTY3NDI2NjAwOS40NjUyNjI6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastnonissuequeryname=1&p_queryname=1&p_docref=v2:11C33B0D5F860D98@FBISX-12443E3EF54F6278@2449688-12443E443A0F0598@16-12443E446A7C8E70@Zedillo%20To%20Meet%20Privately%20With%20Heads%20of%20State&p_docnum=5,https://infoweb-newsbank-com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=D62V4FGNMTY3NDI2NjAwOS40NjUyNjI6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastnonissuequeryname=2&p_queryname=2&p_docref=image%2Fv2:11C33B0D5F860D98@FBISX-1244F2EBD31A6180@2449689-1244F2F70DADA5E0-1244F2F74BCE4338&p_docnum=11,https://infoweb-newsbank-com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=D62V4FGNMTY3NDI2NjAwOS40NjUyNjI6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastnonissuequeryname=2&p_queryname=2&p_docref=image%2Fv2:11C33B0D5F860D98@FBISX-1244F47A6CEEDA78@2449692-1244F482011ADE10-1244F482592E55B8&p_docnum=14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-USA-34677,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,United States,USA,Northern America,North America,Miami,No,No,1994,1994-12-09,1994-12-11,3,No,,No,,No,,Yes,Summit of the Americas (SOA),No,,No,,Yes,Yes,No,No,No,,Limited details on activities at the Summit,2,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=D50D4FAEMTUwNzY5NDQ4Ni4zMjk0NzE6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=14&p_queryname=14&p_docref=v2:11C33B0D5F860D98@FBISX-12444C6A3A7272B8@2449731-12444C6B14908E90@4-12444C6B41E5C760@Mercosur%27s%20%27Ouro%20Preto%20Protocol%27&p_docnum=13,http://www.gettyimages.com/license/51967286,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/256454027?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/290721428?accountid=14608,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=D50D4FAEMTUwNzY5NDQ4Ni4zMjk0NzE6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=14&p_queryname=14&p_docref=v2:11C33B0D5F860D98@FBISX-1219331AF12183C0@2449707-1219332020635608@9-12193320986DCCA8@Argentina%27s%20Menem&p_docnum=11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-BRA-34684,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Brazil,BRA,Latin America and the Caribbean,South America,Ouro Preto,No,No,1994,1994-12-16,1994-12-18,3,No,,Yes,President Itamar Franco,No,,Yes,Common Market of the South (MERCOSUR) Summit,No,,No,,No,No,No,No,No,,,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=13&p_queryname=13&p_docref=v2:11C33B0D5F860D98@FBISX-121931C21F469398@2449706-121931CD5E3EDBE0@37-121931CD95D1C508@Menem%20Arrives%20in%20Brazil&p_docnum=76,http://www.gettyimages.com/license/51967042,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/381036104?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/288653822?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-BRA-34701,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Brazil,BRA,Latin America and the Caribbean,South America,Brasília,No,No,1995,1995-01-02,1995-01-02,1,No,,No,,No,,No,,No,,No,,No,No,Yes,No,No,,Inauguration of President Fernando Henrique Cardoso,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=14&p_queryname=14&p_docref=v2:11C33B0D5F860D98@FBISX-12444D7821385178@2449721-12444D8587021140@45-12444D85C0608AD8@Menem%20Returns%20From%20Brazilian%20Inauguration&p_docnum=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-CHE-34728,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Switzerland,CHE,Europe,Western Europe,Davos,No,No,1995,1995-01-29,1995-01-30,2,No,,No,,No,,Yes,World Economic Forum (WEF),No,,No,,Yes,No,No,No,No,,,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=14&p_queryname=14&p_docref=v2:11C33B0D5F860D98@FBISX-1222CEF719772658@2449750-1222CEFE90583C10@25-1222CEFECB4A1748@Menem%20Addresses%20Economic%20Forum%2C%20Views%20Mexican%20Crisis&p_docnum=14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-ZAF-34730,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,South Africa,ZAF,Africa,Southern Africa,Pretoria,No,No,1995,1995-01-31,1995-02-04,5,No,,No,,No,,No,,No,,No,,No,No,No,No,No,,,3,http://www.gettyimages.com/license/107879700,http://www.gettyimages.com/license/107879697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-BRA-34750,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Brazil,BRA,Latin America and the Caribbean,South America,Brasília,No,No,1995,1995-02-20,1995-02-20,1,No,,Yes,President Fernando Henrique Cardoso,No,,No,,No,,No,,No,No,No,No,No,,,4,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&p_action=doc&p_docref=v2:11C33B0D5F860D98@FBISX-1217F45DFA68F8F0@2449777-1217F46A78DAD710-1217F46AA6A68FD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-PER-34908,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Peru,PER,Latin America and the Caribbean,South America,Lima,No,No,1995,1995-07-28,1995-07-29,2,No,,No,,No,,No,,No,,No,,No,No,Yes,No,No,,Inauguration of President Alberto Fujimori,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=16&p_queryname=16&p_docref=v2:11C33B0D5F860D98@FBISX-121940311678B750@2449931-12194037F0CC0120@21-12194038277D92C8@Menem%20Returns%20From%20Peruvian%20Presidential%20Inauguration&p_docnum=15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-ECU-34946,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Ecuador,ECU,Latin America and the Caribbean,South America,Quito,No,No,1995,1995-09-04,1995-09-05,2,No,,No,,No,,Yes,Rio Group Summit,No,,No,,Yes,No,No,No,No,,Limited details on activities at the Summit,2,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=16&p_queryname=16&p_docref=v2:11C33B0D5F860D98@FBISX-1219496BD1EF4B18@2449967-1219496F452E9578@12-1219496F85B54DC0@Argentina%27s%20Menem%20Addresses%20Group&p_docnum=27,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=16&p_queryname=16&p_docref=v2:11C33B0D5F860D98@FBISX-1219496BD1EF4B18@2449967-12194973469EFDF8@24-121949737B7D6A78@Presidents%20Begin%20Leaving%20Quito&p_docnum=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-KOR-34971,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,South Korea,KOR,Asia,Eastern Asia,Seoul,No,No,1995,1995-09-29,1995-10-01,3,No,,Yes,President Kim Young-sam,No,,No,,No,,No,,No,Yes,No,Yes,No,,,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=16&p_queryname=16&p_docref=v2:11C33B0D5F860D98@FBISX-1219496BD1EF4B18@2449967-12194973469EFDF8@24-121949737B7D6A78@Presidents%20Begin%20Leaving%20Quito&p_docnum=28,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&p_action=doc&p_docref=v2:11C33B0D5F860D98@FBISX-11FED3B3AC5AB0C8@2449993-11FED3C809E270F8-11FED3C862ECFE88,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=16&p_queryname=16&p_docref=v2:11C33B0D5F860D98@FBISX-11FED3B3AC5AB0C8@2449993-11FED3C86DAD9698@63-11FED3C8AC8F1AC0@Investors%20To%20Receive%20Favorable%20Treatment&p_docnum=41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
