Leader_key,Pais,LeaderFullName_ref,Periodo_label,MandateStart_1,MandateEnd_1,MandateStart_2,MandateEnd_2,Como_termino,Confianza
carlos saul menem,Argentina,Carlos Saul Menem,1989-1999,1989-07-08,1999-12-10,,,Fin ordinario,Alta
fernando de la rua,Argentina,Fernando de la Rua,1999-2001,1999-12-10,2001-12-20,,,Renuncia,Alta
eduardo duhalde,Argentina,Eduardo Duhalde,2002-2003,2002-01-01,2003-05-25,,,Presidente provisional (Asamblea Legislativa),Media
nestor kirchner,Argentina,Nestor Kirchner,2003-2007,2003-05-25,2007-12-10,,,Fin ordinario,Alta
cristina fernandez de kirchner,Argentina,Cristina Fernandez de Kirchner,2007-2015,2007-12-10,2015-12-10,,,Fin ordinario (2 mandatos consecutivos),Alta
mauricio macri,Argentina,Mauricio Macri,2015-2019,2015-12-10,2019-12-10,,,Fin ordinario,Alta
alberto fernandez,Argentina,Alberto Fernandez,2019-2023,2019-12-10,2023-12-10,,,Fin ordinario,Alta
javier milei,Argentina,Javier Milei,2023-2099,2023-12-10,2099-12-31,,,En ejercicio (fin previsto 2027-12-10),Alta
eurico gaspar dutra,Brazil,Eurico Gaspar Dutra,1946-1951,1946-01-31,1951-01-31,,,Fin ordinario,Alta
juscelino kubitschek de oliveira,Brazil,Juscelino Kubitschek de Oliveira,1956-1961,1956-01-31,1961-01-31,,,Fin ordinario,Alta
joao goulart,Brazil,Joao Goulart,1961-1964,1961-09-07,1964-04-01,,,Depuesto por golpe militar,Alta
artur da costa e silva,Brazil,Artur da Costa e Silva,1967-1969,1967-03-15,1969-08-31,,,Incapacidad; reemplazado por Junta Militar,Media
emilio garrastazu medici,Brazil,Emilio Garrastazu Medici,1969-1974,1969-10-30,1974-03-15,,,Fin ordinario (regimen militar),Alta
ernesto geisel,Brazil,Ernesto Geisel,1974-1979,1974-03-15,1979-03-15,,,Fin ordinario,Alta
joao figueiredo,Brazil,Joao Figueiredo,1979-1985,1979-03-15,1985-03-15,,,Fin ordinario,Alta
jose sarney,Brazil,Jose Sarney,1985-1990,1985-03-15,1990-03-15,,,Interino->definitivo (murio Tancredo Neves),Media
fernando collor de mello,Brazil,Fernando Collor de Mello,1990-1992,1990-03-15,1992-12-29,,,Renuncia durante impeachment,Alta
itamar franco,Brazil,Itamar Franco,1992-1995,1992-12-29,1995-01-01,,,Fin ordinario (completo mandato de Collor),Alta
fernando henrique cardoso,Brazil,Fernando Henrique Cardoso,1995-2003,1995-01-01,2003-01-01,,,Fin ordinario (2 mandatos consecutivos),Alta
luiz inacio lula da silva,Brazil,Luiz Inacio Lula da Silva,2003-2011; 2023-2099,2003-01-01,2011-01-01,2023-01-01,2099-12-31,"Fin ordinario (mandatos 1-2); En ejercicio, mandato 3 (fin previsto 2027-01-01)",Alta; Alta
dilma rousseff,Brazil,Dilma Rousseff,2011-2016,2011-01-01,2016-08-31,,,Destituida por impeachment,Alta
michel temer,Brazil,Michel Temer,2016-2019,2016-08-31,2019-01-01,,,Fin ordinario,Alta
jair bolsonaro,Brazil,Jair Bolsonaro,2019-2023,2019-01-01,2023-01-01,,,Fin ordinario,Alta
