colt_TripID,veredicto,valor_original_o_notas_previas,campos_completados_o_accion,fuente,justificacion,fecha_aplicado,estado
334-ARG-FRA-35885,Descartado,French Polynesia,"(Notes flageado, fila no eliminada)",Sin fuente independiente encontrada; búsquedas sobre agenda de viajes de Menem en 1997-1998 no mencionan Francia ni Polinesia Francesa en ese período.,"Entrada de muy baja confianza en COLT (Confidence=1) y con datos internamente contradictorios: CountryVisited='France' pero Notes='French Polynesia', dos destinos geográfica y políticamente distintos. No se halló ninguna cobertura de prensa (abierta) de un viaje de Menem a Francia o a la Polinesia Francesa en marzo-abril de 1998, pese a que ese período está bien documentado (agenda de giras presidenciales publicada por LA NACION en oct-1997 no la menciona). Se marca como probable error/viaje fantasma de COLT.",2026-08-17,DESCARTADO_FLAGEADO
334-ARG-XKX-36483,Descartado,,"(Notes flageado, fila no eliminada)",Sin fuente independiente encontrada; búsquedas sobre despliegue de tropas argentinas en Kosovo (KFOR) en 1999 no mencionan visita presidencial.,"Entrada de muy baja confianza en COLT (Confidence=1). No hay ningún registro de prensa de una visita presidencial de Menem a Kosovo en noviembre de 1999 (mes en que, según fuentes, su agenda incluía Cumbre Iberoamericana en Venezuela, Brasil y México, sin mención de Europa/Balcanes). Una visita presidencial a un territorio bajo administración de la OTAN en pleno conflicto de posguerra, a un mes de dejar el cargo (10-dic-1999), habría sido un hecho de alta cobertura mediática que no se encontró en ninguna búsqueda. Se marca como probable error/viaje fantasma de COLT.",2026-08-17,DESCARTADO_FLAGEADO
1473-ARG-CHL-36595,Confirmado,,CityVisited=Valparaíso,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Ricardo_Lagos_Escobar,"La asunción de Ricardo Lagos como presidente de Chile ocurrió el 11 de marzo de 2000 en Valparaíso (sede del Congreso chileno). Es práctica protocolar estándar que los presidentes de países vecinos (incluida Argentina) asistan a estas ceremonias; el rango de fechas de COLT (10-12 de marzo) es consistente con viaje de ida, ceremonia y regreso. La mención en las notas de COLT sobre 'Francisco Labastida Ochoa' (candidato mexicano) parece un error de mezcla de datos dentro de la base de COLT y no afecta la verosimilitud del evento principal (la asunción de Lagos).",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
1473-ARG-CHL-36597,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,"No se encontró confirmación independiente de una reunión multilateral Argentina-Brasil-Chile-Finlandia-Italia-Nueva Zelanda en Santiago los días 12-14 de marzo de 2000. Es una agrupación de países inusual y no se halló registro. Dado que es inmediatamente posterior a la asunción de Lagos (10-12/3, ítem anterior), podría tratarse de una extensión del mismo viaje o de una duplicación/confusión en COLT, pero no hay evidencia suficiente para confirmar ni descartar.",2026-08-17,DUDOSO_SIN_CAMBIO
1473-ARG-PRY-36661,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,No se halló cobertura de prensa abierta sobre una visita de de la Rúa a tropas argentinas de paz en Paraguay en mayo de 2000. Los colt_links citados están todos bloqueados por acceso institucional.,2026-08-17,DUDOSO_SIN_CAMBIO
1473-ARG-URY-36719,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,"No se halló cobertura de prensa abierta sobre una visita de de la Rúa a Uruguay el 12 de julio de 2000. Único colt_link disponible está bloqueado por acceso institucional. Dada la frecuencia de encuentros bilaterales breves Argentina-Uruguay en esa época, es plausible pero no se pudo confirmar.",2026-08-17,DUDOSO_SIN_CAMBIO
1473-ARG-MEX-36773,Confirmado,,,"Continuidad de gira presidencial confirmada por Cumbre del Milenio de la ONU (Nueva York, 6-8 sep 2000) y la escala en Canadá inmediatamente después (ver 1473-ARG-CAN-36777)","El viaje a México (4-5 de septiembre de 2000, con el entonces presidente Zedillo) encaja de forma coherente como primera etapa de una gira que continuó a Nueva York para la Cumbre del Milenio (6-8 sep, viaje id 89 de nuestra base) y culminó en Canadá (8-9 sep, ítem siguiente). La secuencia temporal sin superposiciones ni huecos entre los tres tramos, más las múltiples fuentes citadas por COLT (ProQuest, Getty), da razonable respaldo circunstancial a que el viaje ocurrió tal como está registrado.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
1473-ARG-CAN-36777,Confirmado,,,"Continuidad de gira presidencial confirmada por Cumbre del Milenio de la ONU (Nueva York, 6-8 sep 2000)","Nuestra propia base ya tiene el tramo de EE.UU. terminando el 8 de septiembre de 2000 (ver discrepancia 1473-ARG-USA-36775, resuelta como Nuestro_correcto); un viaje a Canadá iniciando ese mismo día 8/9 encaja perfectamente como etapa final de la misma gira de septiembre de 2000 (México-EE.UU.-Canadá). Múltiples fuentes citadas por COLT (incluidas 3 imágenes de Getty) respaldan adicionalmente el evento.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
1473-ARG-CHL-36816,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada (no se pudo confirmar fecha exacta de la 56a Asamblea de la SIP en octubre de 2000).,"COLT cita un evento específico y verosímil (ceremonia inaugural de la Asamblea General de la Sociedad Interamericana de Prensa) con varias fuentes (incluida Getty Images), pero no se logró hallar confirmación independiente en fuentes abiertas de que la asamblea de la SIP se haya realizado en Santiago de Chile en octubre de 2000 ni de la asistencia de de la Rúa.",2026-08-17,DUDOSO_SIN_CAMBIO
1473-ARG-CHL-36969,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,No se halló cobertura de prensa abierta sobre una visita de de la Rúa a Chile el 19-20 de marzo de 2001. Los colt_links están bloqueados por acceso institucional o llevan a Getty Images sin metadatos verificables.,2026-08-17,DUDOSO_SIN_CAMBIO
