PELATAM_TripID,MetHostHoGS,MetNonhostHOGS,NonhostHOGSNames,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeaderName,fuente,justificacion,fecha
PELATAM-ARG-83,No_verificable,No_verificable,,No_verificable,Yes,No_verificable,No,No_verificable,,https://www.infobae.com/opinion/2026/04/01/un-hito-que-nos-enorgullece-nuestro-pais-en-la-presidencia-de-la-alianza-internacional-del-holocausto/ ; https://holocaustremembrance.com/resources/declaracion-estocolmo ; https://www.cronista.com/economia-politica/primeros-viajes-oficiales-que-destinos-eligieron-los-ex-presidentes/,"Argentina fue el unico pais latinoamericano en firmar la Declaracion de Estocolmo como miembro pleno (SignedAgreement=Yes). No se hallo evidencia de bilateral con el PM sueco Persson (anfitrion) ni con otros de los ~20 jefes de Estado/Gobierno presentes, ni confirmacion de discurso propio de De la Rua (el foro tuvo discursos de Persson y Elie Wiesel documentados, pero no de De la Rua específicamente), por lo que esos campos quedan como No_verificable en vez de asumir ausencia.",2026-08-18
PELATAM-ARG-96,Yes,Yes,"Jorge Batlle (Uruguay), Luis Ángel González Macchi (Paraguay); posiblemente Ricardo Lagos (Chile) y Jorge Quiroga (Bolivia) como asociados",Yes,Yes,No,No,No_verificable,,http://www.scielo.br/j/spp/a/MbMFj5mfNjLyPJ7qmTYP3xS/?lang=es ; búsqueda web sobre XIX Cumbre del Mercosur Florianópolis dic-2000,"Cumbre presidencial del Mercosur: formato estandar incluye sesion plenaria conjunta con el anfitrion (Cardoso) y los demas presidentes miembros/asociados, y la firma de decisiones/protocolos del CMC (se verifico al menos un acuerdo firmado sobre exencion de traduccion de documentos administrativos Mercosur-Bolivia-Chile). No se hallo evidencia de reunion con lider de OI ni de sitio cultural/ceremonia o foro empresarial en esta cumbre especifica.",2026-08-18
PELATAM-ARG-103,Yes,Yes,Jefes de Estado/Gobierno miembros del Grupo de Río presentes en Santiago (múltiples países de America Latina),Yes,Yes,No_verificable,No,No_verificable,,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,"XV Cumbre del Grupo de Rio en Santiago, anfitrion Ricardo Lagos; la cumbre concluyo con la adopcion de la 'Declaracion de Santiago' por los jefes de Estado/Gobierno miembros (SignedAgreement=Yes). Formato de cumbre presidencial implica reunion conjunta con el anfitrion y los demas miembros del Grupo de Rio.",2026-08-18
PELATAM-ARG-115,Yes,Yes,"José María Aznar (España), Fernando Henrique Cardoso (Brasil)",Yes,Yes,No_verificable,No,No_verificable,,https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002 ; https://www.libertaddigital.com/internacional/2002-03-21/aznar-mantendra-encuentros-bilaterales-con-duhalde-chavez-y-fox-durante-la-cumbre-64451/,Se confirmo agenda de bilaterales de Aznar con Duhalde durante la cumbre; Cardoso tambien presente (coordino luego la 'Comision Cardoso'). Anfitrion Hipolito Mejia (Rep. Dominicana) participo del formato conjunto de la cumbre. Se aprobo una Declaracion Especial sobre Argentina y la Declaracion de Bavaro (SignedAgreement=Yes).,2026-08-18
PELATAM-ARG-119,No_verificable,No_verificable,,Yes,No,No,Yes,No_verificable,,https://www.lanacion.com.ar/economia/duhalde-cuestiono-al-fmi-y-provoco-un-duro-debate-nid469268/ ; https://www.pagina12.com.ar/diario/economia/2-15945-2003-01-27.html,"Duhalde participo del panel 'Globalizacion en la encrucijada' en Davos junto a George Soros y con intervencion critica de Kenneth Rogoff (economista jefe del FMI, no su maximo lider) -> PublicAddress=Yes, BusinessLeaderOrForum=Yes (WEF es por definicion un foro de negocios/inversion). No se hallo evidencia de bilateral con jefe de Estado/Gobierno suizo (anfitrion) ni con otro jefe de Estado en Davos, ni de reunion con el Director Gerente del FMI (Horst Kohler) durante este viaje especifico.",2026-08-18
PELATAM-ARG-126,No_verificable,No,,No_verificable,No,No,Yes,No,,https://www.infobae.com/politica/2020/10/27/nestor-kirchner-y-el-inicio-de-una-politica-exterior-confrontativa/,"Confirmada reunion tensa con empresarios de la CEOE (presidida por Jose Maria Cuevas) en Madrid, 12-jul-2003, tramo de la primera gira europea (Londres-Paris-Madrid-Bruselas) -> BusinessLeaderOrForum=Yes. No se hallo evidencia de una reunion bilateral con Aznar o el Rey Juan Carlos en esta escala especifica (el propio workpack clasifica el Counterpart_Type de este tramo como actor no estatal), por lo que MetHostHoGS queda No_verificable en vez de asumir. No hay evidencia de acuerdo firmado ni de ceremonia.",2026-08-18
PELATAM-ARG-174,Yes,No,,No_verificable,Yes,No_verificable,No_verificable,No,,https://cancilleria.gob.ar/es/actualidad/comunicados/visita-de-estado-de-la-presidenta-cristina-fernandez-de-kirchner-brasil,"Reunion bilateral CFK-Lula en el marco del MICBA (Mecanismo de Integracion y Coordinacion Bilateral) en Brasilia, 22-feb-2008, que produjo la firma de la 'Declaracion de la Casa Rosada' (documento conjunto revisado y evaluado por ambos mandatarios) -> MetHostHoGS=Yes, SignedAgreement=Yes. No hay evidencia de otros jefes de Estado presentes (visita bilateral de un dia). No se confirmo discurso publico formal ni foro empresarial asociado a esta visita puntual.",2026-08-18
PELATAM-ARG-181,Yes,No,,No_verificable,Yes,No_verificable,No_verificable,No,,https://www.lanacion.com.ar/politica/kirchner-le-pedira-mas-ayuda-economica-a-chavez-nid758026/ ; https://www.ambito.com/politica/cristina-y-chavez-firmaron-acuerdos-y-recordaron-nestor-kirchner-n3713967 (patron de reuniones CFK-Chavez),"Nota: existe cierta ambigüedad en las fuentes sobre la fecha exacta (encontramos referencias a un encuentro CFK-Chavez en Caracas de 2 dias con firma de 27 acuerdos/14 documentos publicos coincidiendo con el Bicentenario venezolano); el patron de encuentros trimestrales CFK-Chavez en Caracas incluia sistematicamente la firma de convenios bilaterales de cooperacion energetica y financiera, consistente con el Trip_Objective declarado. MetHostHoGS=Yes (Chavez, anfitrion). No se hallo evidencia especifica de discurso publico formal o foro empresarial para la fecha exacta 1-jun-2008.",2026-08-18
PELATAM-ARG-259,Yes,No,,No_verificable,No_verificable,Yes,No,No,,https://www.lanacion.com.ar/politica/2229166cristina-kirchner-fue-recibida-en-la-habana-como-una-visita-de-estado-nid2229166/ ; https://www.infobae.com/2013/01/12/690981-difunden-fotos-del-almuerzo-cristina-junto-fidel-castro-la-habana/,"CFK fue recibida en La Habana 'como una visita de Estado' (con ceremonial protocolar propio de una visita de Estado, incluye a Raul Castro, jefe de Estado anfitrion) -> MetHostHoGS=Yes, CulturalSiteOrCeremony=Yes (ceremonia de recepcion protocolar). Tambien almorzo con Fidel Castro, pero Fidel no era jefe de Estado/Gobierno de Cuba en ese momento (cargo ocupado por su hermano Raul desde 2008), por lo que no cuenta como MetNonhostHOGS. No se hallo evidencia de firma de acuerdos ni de discurso publico en esta escala de un dia previa a la gira asiatica.",2026-08-18
PELATAM-ARG-281,Yes,Yes,"Raúl Castro (Cuba), Nicolás Maduro (Venezuela), Rafael Correa (Ecuador), Salvador Sánchez Cerén (El Salvador), entre otros de los 13 presidentes presentes",Yes,Yes,Yes,No,Yes,Ban Ki-moon (Secretario General de la ONU),https://www.cfkargentina.com/g77china-hacia-un-nuevo-orden-mundial-para-vivir-bien/ ; búsqueda web sobre Cumbre G77+China Santa Cruz 2014,"CFK agradecio a Evo Morales (anfitrion) por convocar la cumbre -> MetHostHoGS=Yes. Asistieron 17 jefes de Estado/Gobierno (13 presidentes) incluidos Raul Castro, Maduro, Correa y Sanchez Ceren -> MetNonhostHOGS=Yes. Ban Ki-moon, Secretario General de la ONU, llego a Santa Cruz junto con Morales -> MetIGOLeader=Yes. La cumbre aprobo un documento de 242 puntos ('Declaracion de Santa Cruz', Por un Nuevo Orden Mundial para Vivir Bien') adoptado colectivamente -> SignedAgreement=Yes. Hubo una recepcion/ceremonia publica a los jefes de Estado en el estadio Tahuichi Aguilera -> CulturalSiteOrCeremony=Yes. Intervencion de CFK en sesion plenaria -> PublicAddress=Yes.",2026-08-18
