Trip_ID,President,Start_Date,End_Date,Destination_Country,Destination_City,Visit_Subtype,Counterpart_Event,Trip_Objective,Source_Verification,Source_Reliability
83,Fernando de la Rúa,2000-01-25,2000-01-27,Sweden,Stockholm,Global Forum,Foro Internacional de Estocolmo sobre el Holocausto,Participacion en el Foro Internacional sobre el Holocausto en Estocolmo; primer viaje al exterior del mandato.,https://www.cronista.com/economia-politica/Primeros-viajes-oficiales-que-destinos-eligieron-los-ex-presidentes-20200116-0035.html,Medium
96,Fernando de la Rúa,2000-12-14,2000-12-15,Brazil,Florianópolis,Regional Summit,Cumbre de Jefes de Estado del MERCOSUR (Florianópolis),Cumbre del MERCOSUR en Florianopolis; metas macroeconomicas comunes y solucion de controversias.,http://www.scielo.br/j/spp/a/MbMFj5mfNjLyPJ7qmTYP3xS/?lang=es,Medium
103,Fernando de la Rúa,2001-08-17,2001-08-18,Chile,Santiago,Regional Summit,XV Cumbre del Grupo de Río (Santiago),XV Cumbre de Jefes de Estado del Grupo de Rio en Santiago de Chile; articulacion de consensos regionales.,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,High
115,Eduardo Duhalde,2002-11-15,2002-11-16,Dominican Republic,Bávaro,Regional Summit,XII Cumbre Iberoamericana (Bávaro),Respaldo regional a la negociacion con el FMI (Declaracion Especial). Bilaterales al margen probables con Aznar y Cardoso.,https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002,High
119,Eduardo Duhalde,2003-01-25,2003-01-27,Switzerland,Davos,Global Forum,Foro Económico Mundial (WEF) 2003,Reclamo contra el proteccionismo de paises centrales y el 'doble estandar' del FMI; panel con Soros y Rogoff. Unico viaje a Europa del mandato.,https://www.lanacion.com.ar/economia/duhalde-cuestiono-al-fmi-y-provoco-un-duro-debate-nid469268/,High
126,Néstor Kirchner,2003-07-12,2003-07-12,Spain,Madrid,Working Visit,Empresarios espanoles (CEOE),Reunion tensa con empresarios; impugno ganancias de los anios 90. Tramo de la primera gira europea.,https://www.infobae.com/politica/2020/10/27/nestor-kirchner-y-el-inicio-de-una-politica-exterior-confrontativa/,Medium
174,Cristina Fernández de Kirchner,2008-02-22,2008-02-22,Brazil,Brasília,Working Visit,Lula da Silva,MICBA; Declaracion de la Casa Rosada. Agenda bilateral e integracion.,https://cancilleria.gob.ar/es/actualidad/comunicados/visita-de-estado-de-la-presidenta-cristina-fernandez-de-kirchner-brasil,Medium
181,Cristina Fernández de Kirchner,2008-06-01,2008-06-01,Venezuela,Caracas,Working Visit,Hugo Chávez,Una de las seis visitas a Venezuela del primer mandato; agenda energetica y financiera.,Search Query: Cristina Kirchner Venezuela Chavez 2008 visita,Low
237,Cristina Fernández de Kirchner,2011-01-20,2011-01-22,Turkey,Ankara,Working Visit,Abdullah Gül,Visita oficial a Turquia (Ankara/Estambul). Tramo 3 (regreso 23 ene).,https://www.eldia.com/nota/2011-1-23-cristina-vuelve-al-conurbano-tras-la-gira-en-medio-oriente,High
259,Cristina Fernández de Kirchner,2013-01-11,2013-01-12,Cuba,Havana,Working Visit,Gira Asia (escala inicial en Cuba),Escala inicial de la gira asiatica de enero 2013 (La Habana). Tramo 0 previo a EAU-Indonesia-Vietnam.,https://www.cfkargentina.com/seychelles-cristina-paraiso-fiscal-kirchner/,Medium
