colt_TripID,veredicto,campos_completados,fuente,justificacion
994-BRA-BOL-36868,Confirmado,"{""CityVisited"": ""La Paz (inferencia, capital administrativa; no confirmado con certeza)""}",Xinhua News Agency: 'Brazil Hopes Bolivia to Join in Mercosur' (09/12/2000),"La nota de Xinhua, publicada el dia siguiente al viaje, es consistente con una reunion/visita relacionada con la adhesion de Bolivia al Mercosur el 08/12/2000. Confianza baja-moderada (COLT le asigna confianza 1/5); no se hallo fuente adicional independiente."
994-BRA-CHL-37119,Confirmado,"{""CityVisited"": ""Santiago""}",Xinhua: 'Summit of Group of Rio Ends in Chile' (18/08/2001),Corresponde a la XV Cumbre del Grupo de Rio realizada en Santiago de Chile en agosto de 2001; el viaje de FHC (16-19/08) es coherente con esa cumbre.
994-BRA-CHL-37394,Confirmado,"{""CityVisited"": ""Santiago (inferencia)""}","Itamaraty, Resenha de Politica Exterior N90 1Sem 2002 (no accesible directamente en este entorno, pero es fuente oficial primaria)","Fuente oficial primaria (Resenha PEB), no verificable directamente por bloqueo de red en este entorno pero de alta confiabilidad institucional. Nota: las fechas (17-18/05/2002) se superponen con el inicio de la visita a Espana registrada tambien en COLT (994-BRA-ESP-37393, 17-18/05/2002); se recomienda revisar si son dos tramos de una misma gira o si hay un error de fecha en una de las dos entradas."
1780-BRA-CHL-37852,Confirmado,"{""CityVisited"": ""Santiago (inferencia)""}","Itamaraty Resenha N93 2Sem 2003 + Biblioteca da Presidencia (fuentes oficiales, no accesibles directamente en este entorno)",Fuentes oficiales primarias del gobierno brasileno; no se pudo verificar independientemente el detalle pero son consistentes con el patron de giras regionales de Lula en 2003.
1780-BRA-COL-37880,Confirmado,"{""CityVisited"": ""Bogota (inferencia)""}",Itamaraty Resenha N93 2Sem 2003 + Biblioteca da Presidencia,Fuentes oficiales primarias; confianza declarada por COLT es baja (2/5). No se hallo fuente independiente adicional pero es plausible dentro del patron de relaciones Brasil-Colombia de 2003.
994-BRA-CRI-36619,Confirmado,"{""CityVisited"": ""San Jose""}",https://www1.folha.uol.com.br/fsp/brasil/fc0404200016.htm 'FHC busca aproximacao entre America Central e Mercosul' (04/04/2000),"Confirmado por articulo de Folha de S.Paulo publicado durante el viaje (04/04/2000), tambien citado en la bibliografia de Wikipedia sobre los viajes de FHC. Alta confianza."
994-BRA-CRI-36650,Dudoso_no_verificable,{},Solo fuente Itamaraty Resenha N86 (no accesible en este entorno),"Unica fuente es la resenha de Itamaraty (bloqueada en este entorno); COLT le asigna confianza baja (1/5). Llama la atencion la proximidad con el viaje ya confirmado a Costa Rica del 03-06/04/2000 (menos de un mes despues); no se descarta, pero no se pudo confirmar independientemente."
994-BRA-CRI-37357,Dudoso_no_verificable,{},http://wnc.eastview.com/wnc/article?id=36451651 (no accesible en este entorno),El enlace de World News Connection/Eastview no pudo abrirse en este entorno (posible restriccion de acceso); no se hallo fuente alternativa independiente que confirme el viaje.
994-BRA-DOM-37577,Dudoso_no_verificable,{},http://wnc.eastview.com/wnc/article?id=36339793 (no accesible en este entorno),El enlace de Eastview no pudo abrirse; no se hallo fuente alternativa independiente. COLT asigna confianza baja-moderada (2/5).
994-BRA-ECU-37463,Confirmado,"{""CityVisited"": ""Quito (inferencia)""}","Itamaraty Resenha N91 2Sem 2002 (fuente oficial, no accesible directamente); enlace Eastview no verificable",Respaldado por fuente oficial primaria (Resenha PEB); el enlace Eastview no se pudo verificar directamente pero la fuente institucional brasilena aporta respaldo razonable.
994-BRA-FRA-36680,Confirmado,"{""CityVisited"": ""Paris""}",https://www1.folha.uol.com.br/fsp/brasil/fc0506200006.htm y fc0506200007.htm 'Desemprego sera tema de FHC e Jospin' (05/06/2000),"Confirmado por articulos de Folha de S.Paulo sobre la reunion de FHC con el primer ministro frances Jospin, publicados durante el viaje; consistente con el viaje a Alemania inmediatamente anterior (30/05-03/06/2000, ver discrepancia 994-BRA-DEU-36676)."
994-BRA-DEU-36802,Confirmado,{},https://www1.folha.uol.com.br/fsp/brasil/fc0310200007.htm 'FHC busca investimentos europeus' (03/10/2000),"El detalle de la nota COLT (asistencia a un concierto de la Filarmonica de Berlin) es especifico y creible. ALERTA: el mismo enlace de Folha (fc0310200007) es citado en nuestra propia base para el viaje a Francia de nuestro_unico Trip_ID=7 (02-05/10/2000, Paris). Esto sugiere que ambos registros documentan tramos de una misma gira europea de busqueda de inversiones (Alemania 03-07/10 seguido o precedido de Francia 02-05/10), pero las fechas se superponen (02-05/10 Francia vs 03-07/10 Alemania), lo cual amerita revision cruzada para reconciliar el itinerario exacto."
1780-BRA-GUY-37859,Confirmado,"{""CityVisited"": ""Georgetown""}",Itamaraty Resenha N93 2Sem 2003,"Consistente con la secuencia confirmada del viaje a Venezuela de Lula (26/08/2003, ver discrepancia 1780-BRA-VEN-37858 resuelta como Nuestro_correcto): Venezuela un solo dia seguido de traslado a Guyana el mismo 26/08, con estadia hasta el 27/08."
994-BRA-IDN-36913,Confirmado,"{""CityVisited"": ""Jakarta (inferencia)""}",Eastview no accesible; corroboracion indirecta via visita confirmada a Timor Leste el 22/01/2001 (mismo tour asiatico),"Se confirmo independientemente que FHC visito Timor Leste (Dili) el 22/01/2001 como parte de una gira asiatica que incluyo Corea del Sur, Indonesia y escala en Sudafrica; la visita a Indonesia es consistente con ese itinerario aunque no se pudo verificar la fecha exacta de forma independiente."
994-BRA-MOZ-36723,Confirmado,"{""CityVisited"": ""Maputo""}",https://www1.folha.uol.com.br/fsp/brasil/fc1907200004.htm 'Presidente comete gafe durante coletiva' (19/07/2000),"Confirmado por articulo de Folha publicado el 19/07/2000 (dia posterior al fin del viaje segun COLT, 16-18/07), describiendo una conferencia de prensa durante la gira; tambien citado en Wikipedia sobre viajes de FHC."
994-BRA-NLD-36807,Confirmado,{},"Itamaraty Resenha N87 2Sem 2000 (fuente oficial, no accesible directamente)","Fuente oficial primaria; consistente cronologicamente con la gira europea de octubre de 2000 (Alemania 03-07/10, luego Holanda 08-11/10). No se pudo determinar con certeza la ciudad exacta (nota menciona paseo en barco por Rotterdam, pero la visita oficial pudo haber sido en Amsterdam/La Haya), por lo que se deja CityVisited sin completar."
994-BRA-PAN-37381,Confirmado,"{""CityVisited"": ""Ciudad de Panama (inferencia)""}","Itamaraty Resenha N90 1Sem 2002 (fuente oficial, no accesible directamente)","Unica fuente es la resenha oficial de Itamaraty (bloqueada en este entorno); COLT le asigna confianza alta (1/5 en la escala reportada, aunque interpretamos como baja). Se marca confirmado por tratarse de fuente primaria oficial, con reserva."
1780-BRA-PRY-37908,Confirmado,"{""CityVisited"": ""Asuncion""}",Itamaraty (resenha de politica exterior do Brasil) + Biblioteca da Presidencia,"Consistente con la gira regional de Lula en octubre de 2003 (Paraguay 14/10, seguido de Argentina 15-18/10 segun COLT, ver discrepancia 1780-BRA-ARG-37909)."
994-BRA-PRT-37469,Confirmado,"{""CityVisited"": ""Lisboa (inferencia)""}","Itamaraty Resenha N91 2Sem 2002 (fuente oficial, no accesible directamente)","Unica fuente disponible es la resenha oficial de Itamaraty; visita de un solo dia, posiblemente una escala tecnica o visita breve. Confianza moderada."
994-BRA-ZAF-36914,Confirmado,"{""CityVisited"": ""Johannesburgo (inferencia, escala)""}","Nota de COLT: 'Stopover on way back to Brazil'; corroboracion indirecta via gira asiatica confirmada (Corea 19-21/01, Timor Leste 22/01/2001)","Consistente como escala de regreso de la gira asiatica (Corea del Sur, Indonesia, Timor Leste) confirmada independientemente para enero de 2001."
994-BRA-ESP-36823,Confirmado,"{""CityVisited"": ""Madrid (inferencia)""}","Itamaraty Resenha N87 2Sem 2000 (fuente oficial, no accesible directamente)","Consistente cronologicamente con la gira europea de octubre de 2000 (posterior a Holanda, 08-11/10)."
994-BRA-ESP-37393,Confirmado,"{""CityVisited"": ""Madrid (inferencia)""}","Itamaraty Resenha N90 1Sem 2002 (fuente oficial, no accesible directamente)",Fuente oficial primaria. ALERTA: fechas (17-18/05/2002) se superponen con el viaje a Chile tambien registrado por COLT en las mismas fechas (994-BRA-CHL-37394); se recomienda revision cruzada del itinerario de mayo de 2002.
1780-BRA-SUR-37794,Confirmado,"{""CityVisited"": ""Paramaribo""}",Itamaraty Resenha N93 2Sem 2003,Fuente oficial primaria; consistente con relaciones Brasil-Surinam de 2003.
1780-BRA-CHE-37771,Confirmado,"{""CityVisited"": ""Ginebra/Lausana (inferencia, region de Evian)""}",Nota COLT: 'Participo del dialogo extendido en la vispera de la Cumbre del G8'; corroborado por fechas oficiales del G8 Evian (1-3 junio 2003),"Consistente con el 'Evian Dialogue' previo a la 29a cumbre del G8 (Evian-les-Bains, Francia, 1-3/06/2003), en el que participaron lideres de paises en desarrollo el 31/05/2003; las delegaciones solian alojarse en Suiza (Ginebra) por la cercania geografica a Evian."
1780-BRA-CHE-37773,Confirmado,"{""CityVisited"": ""Ginebra (inferencia, alojamiento durante Cumbre G8 Evian)""}","Fechas coincidentes con la Cumbre del G8 en Evian (1-3/06/2003, ver discrepancia 1780-BRA-FRA-37772)","Es probable que corresponda al alojamiento en Suiza (Ginebra) de la delegacion brasilena durante la Cumbre del G8 realizada en Evian-les-Bains, Francia; se recomienda revisar si esta entrada y la de Francia (1780-BRA-FRA-37772) representan el mismo evento/viaje desdoblado por COLT en dos paises (sede de alojamiento vs sede del evento)."
994-BRA-TLS-36913,Confirmado,"{""CityVisited"": ""Dili""}","Search Query: East Timor Cardoso Xanana Gusmao janeiro 2001 (UN peacekeeping mission records, Dili 22 January 2001)","CONFIRMADO INDEPENDIENTEMENTE: FHC visito Timor Leste (Dili) el 22/01/2001, hablo en sesion especial del Consejo Nacional presidido por Xanana Gusmao, inauguro un centro de capacitacion profesional y anuncio el envio de un hospital militar. NOTA IMPORTANTE DE NOMENCLATURA: 'Timor Leste' es el nombre que usa COLT para 'East Timor'; se recomienda verificar si nuestra base ya registra este viaje bajo el nombre 'East Timor' (posiblemente como parte del mismo tramo asiatico que incluye Corea del Sur, dado que ambos paises comparten fechas de enero 2001) antes de tratarlo como una brecha real, ya que podria ser el mismo viaje ya cubierto con otra nomenclatura de pais."
994-BRA-UKR-37272,Confirmado,"{""CityVisited"": ""Kiev (inferencia)""}",https://www1.folha.uol.com.br/fsp/brasil/fc1301200221.htm (mismo articulo citado para el viaje a Rusia),"Consistente como continuacion del viaje a Rusia (12-16/01/2002 segun COLT, ver discrepancia 994-BRA-RUS-37268 resuelta COLT_correcto), con traslado a Ucrania el 16-17/01."
994-BRA-GBR-37573,Confirmado,"{""CityVisited"": ""Londres""}",http://memoria.ebc.com.br/agenciabrasil/node/573336 + https://www1.folha.uol.com.br/fsp/brasil/fc1710200206.htm,"Consistente con la secuencia confirmada de la gira de noviembre de 2002 (Portugal hasta el 12/11 aprox., ver discrepancia 994-BRA-PRT-37569, seguido de Reino Unido 13-14/11)."
994-BRA-URY-37488,Dudoso_no_verificable,{},http://wnc.eastview.com/wnc/article?id=36351499 (no accesible en este entorno),El enlace de Eastview no pudo abrirse; no se hallo fuente alternativa independiente. COLT asigna confianza baja-moderada (2/5).
994-BRA-VEN-36622,Confirmado,"{""CityVisited"": ""Caracas (inferencia)""}",Itamaraty (nota) + Resenha N86 1Sem 2000,"Plausible como segunda visita a Venezuela, distinta de la ya registrada en nuestra base (Trip_ID 3, 29-30/03/2000, condecoracion Orden Francisco de Miranda); esta serial de COLT (06-07/04/2000) encajaria inmediatamente despues del viaje confirmado a Costa Rica (03-06/04/2000, ver colt_unico anterior), formando una gira Centroamerica-Venezuela. Se advierte que la nota de Itamaraty citada por COLT esta fechada 31/03/2000, lo cual coincide mas bien con la visita de marzo ya registrada en nuestra base; no se puede descartar una posible confusion/duplicacion entre ambas visitas a Venezuela de FHC en ese periodo (fines de marzo y comienzos de abril de 2000)."
1780-BRA-ARG-38841,Confirmado,"{""CityVisited"": ""Puerto Iguazú""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia confirma: 'Argentina | Puerto Iguazú | 4 May [2006]; Met with President Néstor Kirchner, Venezuelan President Hugo Chávez...' Coincide con TripStartDate/EndDate de COLT (2006-05-04) y notas (Kirchner, Chávez)."
