PELATAM_TripID,MetHostHoGS,MetNonhostHOGS,NonhostHOGSNames,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeaderName,fuente,justificacion,fecha
PELATAM-BRA-3,Yes,No,,Yes,No_verificable,Yes,No_verificable,No,,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso ; https://pt.wikipedia.org/wiki/Pr%C3%AAmios_e_honrarias_recebidos_por_Fernando_Henrique_Cardoso ; nota MRE 31/03/2000 'Visita do Presidente FHC à Venezuela',"Visita bilateral de 2 dias a Caracas. Confirmado que FHC se reunió con Chávez (MetHostHoGS) y recibió la Orden Francisco de Miranda (Grã-Cruz) el 29/03/2000, lo que constituye una ceremonia formal (CulturalSiteOrCeremony=Yes); este tipo de ceremonia de condecoración usualmente incluye palabras del homenajeado (PublicAddress=Yes). No se encontró evidencia de firma de acuerdo específico en este viaje (la interconexión eléctrica Brasil-Venezuela se firmó/inauguró recién en agosto 2001) ni de reunión con otros jefes de Estado o con líderes empresariales/IGO.",2026-08-18
PELATAM-BRA-6,No_verificable,No_verificable,,Yes,Yes,No,No,No_verificable,,Declaração do Milênio 08/09/2000 (ONU) ; FUNAG 'Discursos Selecionados do Presidente Fernando Henrique Cardoso',"Cúpula do Milênio da ONU (6-8/09/2000), la mayor reunión de jefes de Estado hasta entonces (147 Jefes de Estado/Gobierno). FHC participó y Brasil está entre los 191 signatarios de la Declaración del Milenio (SignedAgreement=Yes). Es práctica estándar que jefes de Estado presentes den una alocución/declaración nacional en este tipo de cumbres, y existe un volumen de discursos selecionados de FHC de esa época (PublicAddress=Yes). No se encontró evidencia específica y verificable de una reunión bilateral puntual con Clinton (anfitrión) ni con otro jefe de Estado ni con Kofi Annan durante estos 3 días concretos, pese a búsqueda dirigida.",2026-08-18
PELATAM-BRA-7,Yes,No,,No_verificable,No_verificable,No_verificable,Yes,No,,"https://www1.folha.uol.com.br/fsp/brasil/fc0310200007.htm 'FHC busca investimentos europeus' (Folha, 03/10/2000)","Gira de FHC en busca de inversores europeos, con Paris como destino y Visit_Subtype 'Working Visit' / Counterpart_Type 'Jefe de Estado/Gobierno', lo que indica reunión con el presidente francés (Chirac) como anfitrión (MetHostHoGS=Yes). El objetivo explícito de 'búsqueda de inversiones' implica encuentro con empresarios/inversores franceses (BusinessLeaderOrForum=Yes), pero no se halló el texto o confirmación específica de un discurso público ni de firma de acuerdo en esta escala parisina puntual.",2026-08-18
PELATAM-BRA-10,Yes,No,,No_verificable,No_verificable,No,No_verificable,No,,"https://www1.folha.uol.com.br/folha/brasil/ult96u17636.shtml 'Planalto divulga agenda de Fernando Henrique Cardoso nos EUA' (Folha, 27/03/2001)","Primera reunión de FHC con George W. Bush (MetHostHoGS=Yes, confirmado por Counterpart_Event). Viaje bilateral centrado en ALCA y comercio; no se halló confirmación específica de conferencia de prensa conjunta ni de firma de documento formal en esta visita puntual.",2026-08-18
PELATAM-BRA-23,No_verificable,No_verificable,,Yes,Yes,No,No,No_verificable,,"https://www.un.org/es/conf/ffd/2002/ Conferencia Internacional sobre Financiación para el Desarrollo, Monterrey 2002","Conferencia de la ONU con participación de más de 50 jefes de Estado/Gobierno; produjo el 'Consenso de Monterrey', documento de consenso adoptado por todos los Estados participantes incluido Brasil (SignedAgreement=Yes). Es práctica estándar en este tipo de conferencias que los jefes de delegación den una alocución formal (PublicAddress=Yes). No se halló confirmación específica de una reunión bilateral de FHC con el anfitrión (Vicente Fox) ni con líderes de organismos internacionales (Kofi Annan, James Wolfensohn-Banco Mundial, Horst Köhler-FMI, todos presentes en el evento) durante este viaje concreto.",2026-08-18
PELATAM-BRA-59,No,No,,No,No,No,No,No,,"Celestino del Arenal, 'From the 2004 Ibero-American summit (San José, Costa Rica) to the 2005 Ibero-American summit (Salamanca, Spain)', Real Instituto Elcano Working Paper: https://www.realinstitutoelcano.org/en/work-document/from-the-2004-ibero-american-summit-san-jose-costa-rica-to-the-2005-ibero-american-summit-salamanca-spain/","ALERTA / HALLAZGO IMPORTANTE PARA REVISIÓN: la fuente académica especializada (Real Instituto Elcano) que analiza específicamente las ausencias en la XIV Cumbre Iberoamericana de San José afirma textualmente: 'In the case of Brazil, the absence of Luiz Inácio Lula da Silva was justified by Vladimir Putin's visit to the country, followed by the Brazilian leader's presence at the APEC summit'. Esto indica que Lula NO viajó personalmente a Costa Rica para esta cumbre (19-20/11/2004), sino que Brasil fue representado a otro nivel. En consecuencia, todos los campos de micro-comportamiento se marcan 'No' ya que el presidente no estuvo físicamente presente. Se recomienda revisar si este registro (PELATAM-BRA-59) debe permanecer en la base de 'viajes únicos nuestros' como viaje presidencial, dado que la evidencia sugiere que no hubo desplazamiento del propio Lula.",2026-08-18
PELATAM-BRA-74,No_verificable,No_verificable,,Yes,No,No,No,No_verificable,,"FUNAG, 'Discursos Selecionados do Presidente Luiz Inácio Lula da Silva' https://www.funag.gov.br/loja/download/505-discursos_selecionados_lula.pdf ; práctica protocolar de la ONU (Brasil abre tradicionalmente el Debate General de la AGNU)","Brasil tiene la tradición protocolar ininterrumpida de ser el primer país en hablar en el Debate General de la Asamblea General de la ONU cada año; el propio Trip_Objective confirma 'Apertura de la 61a Asamblea General', por lo que PublicAddress=Yes con alta confianza. No se halló confirmación específica de reunión bilateral con el anfitrión (EEUU/Bush) ni con otros jefes de Estado ni con el Secretario General de la ONU durante este viaje de un solo día.",2026-08-18
PELATAM-BRA-75,Yes,No_verificable,,Yes,Yes,No,No,No_verificable,,"XVI Cumbre Iberoamericana, Montevideo, 4-5/11/2006 (SEGIB) ; https://www.congreso.es/docu/docum/ddocum/dosieres/sleg/legislatura_10/spl_70/pdfs/33.pdf",Cumbre Iberoamericana realizada en Montevideo con el presidente uruguayo Tabaré Vázquez como anfitrión; por protocolo estándar de estas cumbres (recepción formal de jefes de Estado por el país anfitrión) se marca MetHostHoGS=Yes. Las cumbres Iberoamericanas producen tradicionalmente una declaración final adoptada por consenso de los jefes de Estado/Gobierno presentes (SignedAgreement=Yes) y suponen alocuciones nacionales de cada delegación (PublicAddress=Yes). No se halló confirmación específica y nominal de reuniones bilaterales adicionales de Lula en esta cumbre puntual.,2026-08-18
PELATAM-BRA-158,No_verificable,Yes,"Vladimir Putin (Rusia), François Hollande (Francia), Cristina Fernández de Kirchner (Argentina)",No_verificable,Yes,No,No_verificable,No_verificable,,https://en.wikipedia.org/wiki/2012_G20_Los_Cabos_summit ; cobertura de prensa argentina sobre bilaterales Rousseff-Kirchner en Los Cabos,"Confirmado que Dilma tuvo tres reuniones bilaterales programadas en el marco del G20 de Los Cabos: con los presidentes de Rusia, Francia y Argentina (MetNonhostHOGS=Yes, con nombres). El G20 produjo la 'Los Cabos Growth and Jobs Action Plan' / declaración de líderes, adoptada por consenso (SignedAgreement=Yes). No se halló confirmación específica de una reunión bilateral puntual con el anfitrión mexicano Felipe Calderón, ni de un discurso público individual (las sesiones del G20 son mayormente a puerta cerrada), ni de participación en foro empresarial ni de encuentro con líderes de organismos internacionales durante este viaje concreto.",2026-08-18
PELATAM-BRA-170,No,No,,No,No,No,No,No,,"Cobertura de la Cumbre G77+China, Santa Cruz de la Sierra, 14-15/06/2014 (Bolivia.com, Vicepresidencia de Bolivia, ANF); listado de 17 jefes de Estado/Gobierno presentes no incluye a Brasil","ALERTA / HALLAZGO PARA REVISIÓN: las coberturas de prensa detalladas sobre la Cumbre conmemorativa del 50 aniversario del G77+China en Santa Cruz de la Sierra listan explícitamente a los jefes de Estado/Gobierno presentes (17 en total, incluyendo Argentina, Bangladesh, Cuba, Ecuador, El Salvador, Fiji, Gabón, Guinea Ecuatorial, Namibia, Perú, Santa Lucía, Sri Lanka, entre otros) y Brasil/Dilma Rousseff NO figura en esas listas. No se halló ninguna nota de prensa que confirme la presencia física de Dilma en Santa Cruz de la Sierra en esas fechas. Se marcan todos los campos 'No' bajo la hipótesis de que Dilma no asistió personalmente, pero se recomienda encarecidamente verificar y revisar si este registro (PELATAM-BRA-170) corresponde efectivamente a un viaje presidencial real antes de su inclusión definitiva en la base.",2026-08-18
