Trip_ID,President,Start_Date,End_Date,Destination_Country,Destination_City,Visit_Subtype,Counterpart_Event,Trip_Objective,Source_Verification,Source_Reliability
3,Fernando Henrique Cardoso,2000-03-29,2000-03-30,Venezuela,Caracas,Working Visit,Hugo Chávez,Visita a Venezuela; integracion sudamericana y energia. Condecoracion Orden Francisco de Miranda (29/03).,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso,Medium
6,Fernando Henrique Cardoso,2000-09-06,2000-09-08,United States,New York,Global Forum,Cúpula do Milênio da ONU,Cumbre del Milenio de la ONU (mayor reunion de jefes de Estado hasta entonces).,https://www.un.org/en/conferences/environment/newyork2000,High
7,Fernando Henrique Cardoso,2000-10-02,2000-10-05,France,Paris,Working Visit,Busca de investimentos europeus,Gira europea en busca de inversiones (Folha 03/10/2000).,https://www1.folha.uol.com.br/fsp/brasil/fc0310200007.htm,Medium
10,Fernando Henrique Cardoso,2001-03-29,2001-03-31,United States,Washington D.C.,Working Visit,George W. Bush,Primera reunion con Bush; ALCA y comercio. Planalto divulgo agenda (Folha 27/03).,https://www1.folha.uol.com.br/folha/brasil/ult96u17636.shtml,Medium
23,Fernando Henrique Cardoso,2002-03-21,2002-03-22,Mexico,Monterrey,Global Forum,Conferência da ONU sobre Financiamento para o Desenvolvimento,Conferencia de Monterrey (Consenso de Monterrey) sobre financiamiento al desarrollo.,https://www.un.org/es/conf/ffd/2002/,Medium
59,Luiz Inácio Lula da Silva,2004-11-18,2004-11-20,Costa Rica,San José,Regional Summit,XIV Cúpula Ibero-Americana,Cumbre Iberoamericana 'educar para progresar'.,https://segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004,High
74,Luiz Inácio Lula da Silva,2006-09-19,2006-09-19,United States,New York,Global Forum,61ª AGNU,Apertura de la 61a Asamblea General de la ONU.,https://www.funag.gov.br/loja/download/505-discursos_selecionados_lula.pdf,Medium
75,Luiz Inácio Lula da Silva,2006-11-03,2006-11-05,Uruguay,Montevideo,Regional Summit,XVI Cúpula Ibero-Americana,Cumbre Iberoamericana de Montevideo (post-reeleccion).,https://segib.org/?summit=xvi-cumbre-iberoamericana-montevideo-2006,Medium
158,Dilma Rousseff,2012-06-18,2012-06-19,Mexico,Los Cabos,Global Forum,Cúpula do G20 de Los Cabos,G20 de Los Cabos.,https://en.wikipedia.org/wiki/2012_G20_Los_Cabos_summit,Medium
170,Dilma Rousseff,2014-06-14,2014-06-15,Bolivia,Santa Cruz de la Sierra,Global Forum,Cúpula do G77+China (50 anos),Cumbre extraordinaria del G77+China en Santa Cruz.,Search Query: Dilma G77 China Santa Cruz junho 2014,Low
184,Dilma Rousseff,2015-12-21,2015-12-21,Paraguay,Asunción,Regional Summit,Cúpula do MERCOSUL,Cumbre del Mercosur en Asuncion; primera con Macri.,http://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/dilma-rousseff/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-a-xlix-cupula-dos-estados-partes-do-mercosul-e-estados-associados-assuncao-paraguai,High
189,Michel Temer,2016-10-03,2016-10-03,Argentina,Buenos Aires,Working Visit,Mauricio Macri,Primera bilateral con Macri; relanzamiento del eje Brasil-Argentina y flexibilizacion del Mercosur.,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-presidente-da-republica-a-argentina-buenos-aires-3-de-outubro-de-2016,High
201,Michel Temer,2018-08-15,2018-08-15,Paraguay,Asunción,Inauguration/Funeral,Posse de Mario Abdo Benítez,Asuncion de Mario Abdo Benitez en Paraguay.,https://agenciabrasil.ebc.com.br/politica/noticia/2018-08/temer-participa-da-cerimonia-de-posse-do-presidente-eleito-do-paraguai,High
272,Luiz Inácio Lula da Silva,2026-04-16,2026-04-18,Spain,Barcelona,Global Forum,I Cumbre Brasil-España + IV Foro Democracia Sempre,"Firma de acuerdos bilaterales; defensa de la democracia y del multilateralismo junto a Sanchez, Sheinbaum, Petro, Orsi y Ramaphosa.",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-por-ocasiao-da-i-cupula-espanha-brasil-barcelona-17-de-abril-de-2026,High
