colt_TripID,campo,valor_original,valor_nuevo,fuente,justificacion,fecha_aplicado,estado
1473-ARG-BRA-36770,TripStartDate,2000-09-01T00:00:00,2000-08-31,https://www.iirsa.org/Page/Detail?menuItemId=41 ; https://www.iri.edu.ar/publicaciones_iri/manual/Listos%20para%20subir%20III/Integraci%F3n-Latinoamerica/UNASUR/i_reunion_presidentes_america_Sur_2000.pdf,"La Primera Cumbre Sudamericana de Presidentes en Brasilia (con presencia confirmada de Fernando de la Rúa) se realizó los días 31 de agosto y 1 de septiembre de 2000, exactamente igual a nuestras fechas. Las fechas de COLT (1-2 de septiembre) están corridas un día.",2026-08-17,APLICADO
1473-ARG-BRA-36770,TripEndDate,2000-09-02T00:00:00,2000-09-01,https://www.iirsa.org/Page/Detail?menuItemId=41 ; https://www.iri.edu.ar/publicaciones_iri/manual/Listos%20para%20subir%20III/Integraci%F3n-Latinoamerica/UNASUR/i_reunion_presidentes_america_Sur_2000.pdf,"La Primera Cumbre Sudamericana de Presidentes en Brasilia (con presencia confirmada de Fernando de la Rúa) se realizó los días 31 de agosto y 1 de septiembre de 2000, exactamente igual a nuestras fechas. Las fechas de COLT (1-2 de septiembre) están corridas un día.",2026-08-17,APLICADO
1473-ARG-USA-36775,TripEndDate,2000-09-07T00:00:00,2000-09-08,https://www.un.org/en/conferences/environment/newyork2000 ; https://press.un.org/en/2000/20000901.note5619r1.doc.html,"La Cumbre del Milenio de la ONU en Nueva York se realizó del 6 al 8 de septiembre de 2000. Nuestra fecha de fin (8/9) coincide con el cierre oficial de la cumbre; además el viaje colt_unico 1473-ARG-CAN-36777 (Canadá) que COLT reporta inmediatamente después comienza el 8/9, lo que es consistente con que de la Rúa permaneciera en la cumbre hasta su cierre y viajara después a Canadá. La fecha de fin de COLT (7/9) corta la cumbre un día antes de su clausura.",2026-08-17,APLICADO
1473-ARG-CAN-37001,TripEndDate,2001-04-21T00:00:00,2001-04-22,https://www.everycrsreport.com/reports/RL30936.html ; https://en.wikipedia.org/wiki/3rd_Summit_of_the_Americas,La III Cumbre de las Américas en Quebec se realizó del 20 al 22 de abril de 2001. Nuestra fecha de cierre (22/4) coincide con el cierre oficial de la cumbre; la de COLT (21/4) corta el evento un día antes de su clausura.,2026-08-17,APLICADO
1473-ARG-USA-37205,TripStartDate,2001-11-10T00:00:00,2001-11-09,https://www.lanacion.com.ar/el-mundo/de-la-rua-visito-el-world-trade-center-nid350393/,"Nota de LA NACION confirma explícitamente que de la Rúa 'llegó el viernes 9 de noviembre de 2001' a Nueva York, visitó la Zona Cero acompañado por Cardoso y Lagos, y 'el domingo 11 a la mañana' se reunió con George Bush en el Waldorf Astoria. Esto coincide exactamente con nuestras fechas (9-11 de noviembre); las de COLT (10-13 de noviembre) no coinciden con ninguno de los hechos documentados.",2026-08-17,APLICADO
1473-ARG-USA-37205,TripEndDate,2001-11-13T00:00:00,2001-11-11,https://www.lanacion.com.ar/el-mundo/de-la-rua-visito-el-world-trade-center-nid350393/,"Nota de LA NACION confirma explícitamente que de la Rúa 'llegó el viernes 9 de noviembre de 2001' a Nueva York, visitó la Zona Cero acompañado por Cardoso y Lagos, y 'el domingo 11 a la mañana' se reunió con George Bush en el Waldorf Astoria. Esto coincide exactamente con nuestras fechas (9-11 de noviembre); las de COLT (10-13 de noviembre) no coinciden con ninguno de los hechos documentados.",2026-08-17,APLICADO
1473-ARG-PER-37217,TripStartDate,2001-11-22T00:00:00,2001-11-23,https://intranet.eulacfoundation.org/es/content/11%C2%AA-cumbre-iberoamericana-de-jefes-de-estado-y-de-gobierno-declaraci%C3%B3n-de-lima-per%C3%BA-23-24-de,"La XI Cumbre Iberoamericana en Lima, con la 'Declaración de Lima', se realizó los días 23 y 24 de noviembre de 2001, coincidiendo exactamente con nuestras fechas. Las fechas de COLT (22-23) están corridas un día.",2026-08-17,APLICADO
1473-ARG-PER-37217,TripEndDate,2001-11-23T00:00:00,2001-11-24,https://intranet.eulacfoundation.org/es/content/11%C2%AA-cumbre-iberoamericana-de-jefes-de-estado-y-de-gobierno-declaraci%C3%B3n-de-lima-per%C3%BA-23-24-de,"La XI Cumbre Iberoamericana en Lima, con la 'Declaración de Lima', se realizó los días 23 y 24 de noviembre de 2001, coincidiendo exactamente con nuestras fechas. Las fechas de COLT (22-23) están corridas un día.",2026-08-17,APLICADO
1689-ARG-MEX-37335,TripStartDate,2002-03-20T00:00:00,2002-03-21,https://www.un.org/es/conf/ffd/2002/ ; búsqueda web sobre segmento de Jefes de Estado del Consenso de Monterrey,"La Conferencia de Monterrey se desarrolló del 18 al 22 de marzo de 2002, pero el 'segmento de Jefes de Estado y de Gobierno' (al que asistió Duhalde) se realizó específicamente los días 21 y 22 de marzo de 2002. Nuestra fecha de inicio (21/3) coincide con el inicio de ese segmento presidencial; la de COLT (20/3) corresponde a los días previos de reuniones ministeriales, no de jefes de Estado.",2026-08-17,APLICADO
1689-ARG-CRI-37358,TripStartDate,2002-04-12T00:00:00,2002-04-11,https://www.lanacion.com.ar/el-mundo/condeno-el-grupo-rio-la-ruptura-democratica-nid388447/,"Nota de LA NACION del 13/4/2002 sobre la XVI Cumbre del Grupo de Río en San José de Costa Rica (con presencia confirmada de Duhalde) señala que la cumbre 'se desarrolló hasta ayer [12/4] en esta ciudad', lo que confirma que el cierre fue el 12 de abril, no el 13 como indica COLT. Consistente con un inicio el 11/4 (nuestra fecha) y no el 12/4 (COLT).",2026-08-17,APLICADO
1689-ARG-CRI-37358,TripEndDate,2002-04-13T00:00:00,2002-04-12,https://www.lanacion.com.ar/el-mundo/condeno-el-grupo-rio-la-ruptura-democratica-nid388447/,"Nota de LA NACION del 13/4/2002 sobre la XVI Cumbre del Grupo de Río en San José de Costa Rica (con presencia confirmada de Duhalde) señala que la cumbre 'se desarrolló hasta ayer [12/4] en esta ciudad', lo que confirma que el cierre fue el 12 de abril, no el 13 como indica COLT. Consistente con un inicio el 11/4 (nuestra fecha) y no el 12/4 (COLT).",2026-08-17,APLICADO
1689-ARG-BRA-37524,TripStartDate,2002-09-25T00:00:00,2002-09-26,"Cancillería argentina, comunicado 'Los presidentes Duhalde y Cardoso consolidan el Mercosur' (https://cancilleria.gob.ar/en/node/34021)","Fuente indica que la visita oficial de Duhalde a Brasil (reunión con Cardoso) fue el 26 de septiembre de 2002, consistente con un viaje de un solo día (patrón típico de las giras breves de Duhalde, ver también su visita 'por el día' a Chile). La fecha de inicio de COLT (25/9) no está respaldada.",2026-08-17,APLICADO
1689-ARG-CHL-37558,TripEndDate,2002-10-30T00:00:00,2002-10-29,https://www.ambito.com/politica/duhalde-el-dia-chile-n3195320 ; https://arle.udp.cl/index.php/visita-del-presidente-eduardo-duhalde-sintesis-informativa,"Título de la nota de Ámbito Financiero ('Duhalde, por el día a Chile') confirma que la visita a Santiago (para agradecer la apertura chilena a la carne argentina y firmar acuerdo de doble tributación) fue una visita de un solo día, el 29 de octubre de 2002. La fecha de fin de COLT (30/10) no está respaldada.",2026-08-17,APLICADO
1689-ARG-BRA-37596,TripStartDate,2002-12-06T00:00:00,2002-12-05,"Cumbre de Presidentes del Mercosur en Brasilia, diciembre 2002 (fuentes Mercociudades y Mercosur.int)","La Cumbre de Mercosur en Brasilia (con firma del tratado de libre tránsito de trabajadores) se realizó los días 5 y 6 de diciembre de 2002, coincidiendo con nuestras fechas. Las de COLT (6-7 de diciembre) están corridas un día.",2026-08-17,APLICADO
1689-ARG-BRA-37596,TripEndDate,2002-12-07T00:00:00,2002-12-06,"Cumbre de Presidentes del Mercosur en Brasilia, diciembre 2002 (fuentes Mercociudades y Mercosur.int)","La Cumbre de Mercosur en Brasilia (con firma del tratado de libre tránsito de trabajadores) se realizó los días 5 y 6 de diciembre de 2002, coincidiendo con nuestras fechas. Las de COLT (6-7 de diciembre) están corridas un día.",2026-08-17,APLICADO
1689-ARG-BRA-37635,TripEndDate,2003-01-15T00:00:00,2003-01-14,"Búsqueda web sobre reunión Duhalde-Lula y 'Declaración de Brasilia', enero 2003","Fuentes coinciden en que Duhalde y Lula se reunieron en Brasilia el 14 de enero de 2003 (visita de trabajo de un solo día, firma de la 'Declaración de Brasilia'). No hay indicio de que la visita se extendiera al 15/1 como indica COLT.",2026-08-17,APLICADO
1689-ARG-CHL-37734,TripEndDate,2003-04-25T00:00:00,2003-04-23,https://arle.udp.cl/index.php/visita-del-presidente-eduardo-duhalde-sintesis-informativa,"Fuente describe explícitamente la visita de Duhalde a Santiago el 23 de abril de 2003 como de 'tres horas y media' para firmar un protocolo de doble tributación y despedirse de Lagos. Es claramente una visita de un solo día; la fecha de fin de COLT (25/4, dos días después) no tiene respaldo.",2026-08-17,APLICADO
1826-ARG-BRA-37786,TripStartDate,2003-06-14T00:00:00,2003-06-11,Casa Rosada; La Nacion,"Kirchner visito Brasilia el 11/6/2003 (primer viaje oficial), confirmado por fuentes oficiales y prensa.",2026-08-17,APLICADO
1826-ARG-BRA-37786,TripEndDate,2003-06-15T00:00:00,2003-06-11,Casa Rosada; La Nacion,"Kirchner visito Brasilia el 11/6/2003 (primer viaje oficial), confirmado por fuentes oficiales y prensa.",2026-08-17,APLICADO
1826-ARG-GBR-37812,TripStartDate,2003-07-10T00:00:00,2003-07-13,Pagina/12 14-jul-2003,Cronica confirma encuentro informal con Blair el 13/7 tras cena inaugural Cumbre Progresista Surrey.,2026-08-17,APLICADO
1826-ARG-USA-37886,TripStartDate,2003-09-22T00:00:00,2003-09-23,Pagina/12 24-sep-2003,Nota confirma llegada 23/9 a NY y discurso ante Asamblea General el 25/9.,2026-08-17,APLICADO
1826-ARG-USA-37886,TripEndDate,2003-09-25T00:00:00,2003-09-25,Pagina/12 24-sep-2003,Nota confirma llegada 23/9 a NY y discurso ante Asamblea General el 25/9.,2026-08-17,APLICADO
1826-ARG-MEX-37998,TripEndDate,2004-01-14T00:00:00,2004-01-13,Wikipedia Cumbre Extraordinaria de las Americas de Monterrey,Cumbre en Monterrey fue 12-13 enero 2004.,2026-08-17,APLICADO
1826-ARG-USA-38111,TripEndDate,2004-05-05T00:00:00,2004-05-07,Pagina/12 03-may-2004,"Gira de 'cuatro dias' (mar-vier): NY miercoles 5/5, Washington jueves 6/5 (BID+AJC), regreso previsto viernes 7/5 temprano.",2026-08-17,APLICADO
1826-ARG-PRY-39260,TripStartDate,2007-06-27T00:00:00,2007-06-28,Real Instituto Elcano; prensa,"XXXIII Cumbre Mercosur en Asuncion se realizo el 29 de junio de 2007, coincidiendo con nuestra fecha de fin; COLT (27-28/6) no incluye el dia real de la cumbre.",2026-08-17,APLICADO
1826-ARG-PRY-39260,TripEndDate,2007-06-28T00:00:00,2007-06-29,Real Instituto Elcano; prensa,"XXXIII Cumbre Mercosur en Asuncion se realizo el 29 de junio de 2007, coincidiendo con nuestra fecha de fin; COLT (27-28/6) no incluye el dia real de la cumbre.",2026-08-17,APLICADO
1826-ARG-USA-39349,TripStartDate,2007-09-24T00:00:00,2007-09-22,"Pagina/12 22-sep-2007 'Kirchner parte a Nueva York con Iran en la cabeza'; Casa Rosada (discurso 62 Asamblea General, 25/9/2007, su ultimo mensaje como Presidente)",La nota del 22/9/2007 indica que Kirchner partia ese dia hacia Nueva York; su discurso final ante la ONU fue el 25/9/2007. Ni nuestra fecha (solo 25/9) ni la de COLT (24-26/9) reflejan con precision el inicio real del viaje.,2026-08-17,APLICADO
1826-ARG-USA-39349,TripEndDate,2007-09-26T00:00:00,2007-09-25,"Pagina/12 22-sep-2007 'Kirchner parte a Nueva York con Iran en la cabeza'; Casa Rosada (discurso 62 Asamblea General, 25/9/2007, su ultimo mensaje como Presidente)",La nota del 22/9/2007 indica que Kirchner partia ese dia hacia Nueva York; su discurso final ante la ONU fue el 25/9/2007. Ni nuestra fecha (solo 25/9) ni la de COLT (24-26/9) reflejan con precision el inicio real del viaje.,2026-08-17,APLICADO
2320-ARG-DOM-39514,TripEndDate,2008-03-09T00:00:00,2008-03-07,Cumbre de Rio (Grupo de Rio) Santo Domingo,"La cumbre de emergencia del Grupo de Rio en Santo Domingo por la crisis Colombia-Ecuador-Venezuela fue un evento de un solo dia, el 7 de marzo de 2008.",2026-08-17,APLICADO
2320-ARG-PER-39584,TripEndDate,2008-05-18T00:00:00,2008-05-17,V Cumbre UE-ALC Lima,La V Cumbre Union Europea-America Latina y Caribe se realizo en Lima los dias 16 y 17 de mayo de 2008.,2026-08-17,APLICADO
