TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
840-BOL-ARG-34988,correccion,TripEndDate,1995-10-16,1995-10-17,https://eulacfoundation.org/es/5a-cumbre-iberoamericana-jefes-estado-y-gobierno-declaracion-bariloche-argentina-16-17de-octubre,"La V Cumbre Iberoamericana de Jefes de Estado y de Gobierno se realizo en San Carlos de Bariloche, Argentina, entre el 16 y el 17 de octubre de 1995 (fuentes: EU-LAC Foundation y SEGIB, segib.org/?summit=v-cumbre-iberoamericana-san-carlos-de-bariloche-1995). COLT registra TripStartDate y TripEndDate identicos (1995-10-16), y la propia nota de COLT dice 'Trip details and end date not found'. Al ser una cumbre oficial de dos dias, y no haber evidencia de que GSL se haya retirado antes de su clausura, corresponde corregir la fecha de fin al 17/10/1995."
840-BOL-ARG-34988,correccion,TripDuration,1,2,https://segib.org/?summit=v-cumbre-iberoamericana-san-carlos-de-bariloche-1995,"Consecuencia directa de la correccion de TripEndDate a 1995-10-17: con TripStartDate 1995-10-16 y TripEndDate 1995-10-17, la duracion (contando ambos dias, convencion usada en el resto de la base COLT) pasa de 1 a 2."
840-BOL-USA-34502,correccion,TripStartDate,1994-06-17,1994-06-16,https://www.chicagotribune.com/1994/06/16/bolivian-president-more-comfortable-playing-soccer-than-watching/,"El Chicago Tribune publico el 16 de junio de 1994 la nota 'Bolivian President More Comfortable Playing Soccer Than Watching', cubriendo a GSL en la ciudad de Chicago un dia antes del partido inaugural Bolivia-Alemania (17/6/1994) y de la ceremonia de apertura del Mundial en el Soldier Field. Esto indica que ya se encontraba en Chicago el 16/6, un dia antes de la fecha unica que registra COLT (16/6=17/6, TripDuration '1'). La propia nota de COLT senala 'trip dates not explicit'."
840-BOL-USA-34502,correccion,TripDuration,1,2,https://www.chicagotribune.com/1994/06/16/bolivian-president-more-comfortable-playing-soccer-than-watching/,"Consecuencia directa de la correccion de TripStartDate a 1994-06-16: con TripStartDate 1994-06-16 y TripEndDate 1994-06-17 (sin evidencia de cambio), la duracion pasa de 1 a 2."
840-BOL-DEU-35353,no_verificable,TripStartDate,,,,"Busqueda activa (multiples consultas en espanol e ingles) no encontro ninguna cobertura de prensa boliviana, alemana ni internacional sobre una visita de GSL a Alemania en octubre de 1996. La propia nota de COLT ya senala 'no articles related to visit found' (confianza 3/5). No se hallo evidencia que confirme ni que descarte el viaje o sus fechas; no corresponde asumir que este mal ni que este bien."
840-BOL-PRY-35178,no_verificable,TripEndDate,,,,COLT senala 'Trip return date not explicit'. La busqueda no hallo fuente que precise la fecha de regreso de la visita a Paraguay de abril de 1996 (reunion con el presidente Wasmosy).
840-BOL-VAT-34986,no_verificable,TripStartDate,,,,COLT senala 'trip departure date not explicit'. No se hallo fuente que precise cuando partio GSL de Bolivia (o del tramo previo de la gira europea) rumbo a la Santa Sede dentro de la gira de octubre de 1995; solo esta documentado el encuentro con el Papa Juan Pablo II el 14/10.
840-BOL-BRA-37740,no_verificable,TripStartDate,,,,COLT senala 'Exact trip dates not explicit' para esta visita a Brasil de abril-mayo de 2003 (encuentro con el presidente Lula). La busqueda no hallo cobertura de prensa que confirme la fecha exacta de llegada.
840-BOL-BRA-37740,no_verificable,TripEndDate,,,,Idem al campo TripStartDate del mismo TripID: no se hallo fuente que confirme la fecha exacta de salida de esta visita a Brasil de abril-mayo de 2003.
840-BOL-CHN-35515,no_verificable,TripStartDate,,,,"Busqueda activa en espanol e ingles no hallo cobertura de prensa (boliviana, china o internacional) que confirme las fechas exactas del viaje a China de marzo de 1997 mas alla de referencias genericas a 'un viaje en marzo de 1997'. No se hallo evidencia que contradiga el rango 26-30/3/1997 que registra COLT, pero tampoco que lo confirme de forma independiente."
840-BOL-ESP-37723,no_verificable,TripDuration,,,,"La duracion registrada (10 dias, 12 al 21 de abril de 2003) es inusualmente larga para una visita bilateral de este tipo, en comparacion con el resto de los viajes bilaterales de la base (tipicamente 2 a 5 dias). La busqueda no hallo cobertura de prensa espanola o boliviana que describa una visita de 10 dias ni que detalle su itinerario; tampoco se hallo evidencia que la contradiga directamente."
840-BOL-USA-35548,no_verificable,NameMultilatEvent,,,,"No se hallo ninguna fuente que confirme la existencia de una cumbre oficial llamada 'Agenda for the Americas for the 21st Century Summit' en abril-mayo de 1997. La unica Cumbre de las Americas de la epoca fue Miami 1994 (ya capturada en 840-BOL-USA-34677); la siguiente edicion oficial fue Santiago de Chile 1998 (fuera del primer mandato de GSL). Es posible que se trate de una conferencia civica/academica real con nombre similar (por ejemplo, vinculada al North-South Center u otra institucion), pero no pudo confirmarse ni descartarse su nombre exacto."
PELATAM-BOL-1,hallazgo_nuevo,,,Argentina,"Search Query: ""reunion tripartita"" Wasmosy Menem Sanchez de Lozada abril 1994","Multiples resultados de busqueda (que citan un anexo de Wikipedia sobre visitas presidenciales Argentina-Bolivia, cuyo contenido no pudo confirmarse por fetch directo debido a una falla tecnica reiterada al acceder a paginas es.wikipedia.org con 'Anexo:' en la URL) coinciden en que el 26 de abril de 1994 GSL viajo a Argentina, invitado por el gobierno argentino, para una 'Reunion Internacional Tripartita' con los presidentes Wasmosy (Paraguay) y Menem (Argentina, anfitrion), que se extendio hasta el 27 de abril. No existe ningun TripID de Argentina en items_ya_en_COLT para esta fecha (los unicos son 840-BOL-ARG-34410 de marzo 1994 y 840-BOL-ARG-34988 de octubre 1995). Se deja AttendedMultilatEvent sin completar por no poder determinar si COLT clasificaria esta reunion trilateral como 'evento multilateral' en su sentido estricto (cumbre de organismo formal)."
PELATAM-BOL-2,hallazgo_nuevo,,,Argentina,https://www.noticiasfides.com/nacional/sociedad/aprovechamiento-del-rio-bermejo-y-rio-grande-de-tarija-210434,"El 9 de junio de 1995 GSL viajo a la ciudad de Salta, Argentina, para reunirse con el presidente Carlos Menem y firmar el Acuerdo para el Aprovechamiento Multiple de los Recursos de la Alta Cuenca del Rio Bermejo y el Rio Grande de Tarija (tambien conocido como Acuerdo de Oran), que crea la Comision Binacional para el Desarrollo de la Alta Cuenca del Rio Bermejo y Rio Grande de Tarija. Corroborado por fuente boliviana (ANF/Noticias Fides) y por referencias cruzadas en busquedas independientes. No existe ningun TripID de Argentina en COLT para junio de 1995."
PELATAM-BOL-3,hallazgo_nuevo,,,Chile,https://segib.org/?summit=vi-cumbre-iberoamericana-santiago-y-vina-del-mar-1996,"La VI Cumbre Iberoamericana de Jefes de Estado y de Gobierno se realizo en Santiago y Vina del Mar, Chile, el 10 y 11 de noviembre de 1996, con asistencia plena de los 21 paises miembro (una de solo tres cumbres iberoamericanas con asistencia completa de todos los jefes de Estado/Gobierno). Bolivia es miembro pleno de las Cumbres Iberoamericanas desde su primera edicion (1991), por lo que la asistencia de GSL es consistente con su participacion en el resto de las cumbres iberoamericanas del periodo (Cartagena 1994, Bariloche 1995, Bavaro 2002, todas ya capturadas por COLT). Resulta llamativo que no exista NINGUN TripID con CountryVisited 'Chile' en toda la lista de items_ya_en_COLT para leader_840, en ninguno de los dos mandatos -ausencia total que contrasta con la asistencia documentada a esta cumbre-. No se pudo confirmar con evidencia directa si GSL sostuvo ademas un encuentro bilateral con el anfitrion (presidente Eduardo Frei Ruiz-Tagle), por lo que MetHostHoGS se deja sin completar."
1245-BOL-ARG-36443,correccion,TripStartDate,1999-10-10,1999-12-09,https://es.wikipedia.org/wiki/Presidencia_de_Fernando_de_la_R%C3%BAa ; Search Query: Banzer Bolivia asuncion presidencial De la Rua 9 de diciembre 1999 Buenos Aires,"Fernando de la Rua asumio la presidencia de Argentina el 10 de diciembre de 1999, no el 10 de octubre. COLT registro el mes 10 (octubre) en lugar de 12 (diciembre), un error evidente de transcripcion. Los mandatarios invitados llegaron el dia previo a la ceremonia (9 de diciembre); se corrige la fecha de inicio en consecuencia."
1245-BOL-ARG-36443,correccion,TripEndDate,1999-10-10,1999-12-10,https://es.wikipedia.org/wiki/Presidencia_de_Fernando_de_la_R%C3%BAa,"La asuncion de De la Rua (evento que motiva el viaje, segun las Notes de COLT) ocurrio el 10 de diciembre de 1999, no el 10 de octubre. Mismo error de mes que en TripStartDate."
1245-BOL-ARG-36443,correccion,TripDuration,1,2,https://es.wikipedia.org/wiki/Presidencia_de_Fernando_de_la_R%C3%BAa,"Con las fechas corregidas (9 al 10 de diciembre de 1999), la duracion del viaje pasa de 1 a 2 dias, siguiendo la convencion de conteo inclusivo usada en el resto de la base de COLT."
1245-BOL-PRY-36021,correccion,TripStartDate,1998-08-14,1998-08-15,https://mec.gov.py/cms_v2/recursos/5691-raul-cubas-grau-asume-la-jefatura-de-estado-en-1998 ; https://www.cidob.org/lider-politico/raul-cubas-grau,"Raul Cubas Grau asumio la presidencia de Paraguay el 15 de agosto de 1998 (no el 14). Fuentes coinciden en que la ceremonia fue el 15 de agosto y que fue acompanada por los presidentes de Bolivia, Brasil, Chile, Ecuador, Peru y Uruguay, confirmando la presencia de Banzer ese dia."
1245-BOL-PRY-36021,correccion,TripEndDate,1998-08-14,1998-08-15,https://mec.gov.py/cms_v2/recursos/5691-raul-cubas-grau-asume-la-jefatura-de-estado-en-1998,"Mismo error de fecha que TripStartDate: la inauguracion de Cubas Grau fue el 15, no el 14 de agosto de 1998."
1245-BOL-ITA-36703,correccion,MetHostHoGS,No,Yes,https://archivio.quirinale.it/aspr/fotografico;jsessionid=C5B1C1887829837A057F8AC6921BEC7E/PHOTO-003-038994/presidente/carlo-azeglio-ciampi/il-presidente-ciampi-presidente-della-repubblica-bolivia-hugo-banzer-suarez-al-termine-della-visita-ufficiale,"El archivo fotografico oficial de la Presidencia de la Republica Italiana (Quirinale) documenta una visita oficial de Hugo Banzer Suarez con el presidente Carlo Azeglio Ciampi, contradiciendo el 'No' registrado por COLT en MetHostHoGS. COLT mismo marco la nota 'Purpose of visit unknown' con confianza baja (3), consistente con un dato incompleto mas que con ausencia de reunion."
1245-BOL-ITA-36703,correccion,HostHOGSName,,President Carlo Azeglio Ciampi,https://archivio.quirinale.it/aspr/fotografico;jsessionid=C5B1C1887829837A057F8AC6921BEC7E/PHOTO-003-038994/presidente/carlo-azeglio-ciampi/il-presidente-ciampi-presidente-della-repubblica-bolivia-hugo-banzer-suarez-al-termine-della-visita-ufficiale,"El archivo fotografico del Quirinale identifica explicitamente al jefe de Estado italiano recibido por Banzer como Carlo Azeglio Ciampi, presidente de Italia en esa fecha."
1245-BOL-USA-37073,no_verificable,TripEndDate,,,,"Multiples fuentes coinciden en que Banzer ingreso al Walter Reed Medical Center el 1 de julio de 2001 y que presento su renuncia formal en Bolivia el 6 de agosto de 2001 (algunas fuentes secundarias mencionan el 7). Sin embargo, no se encontro una fuente que confirme la fecha exacta de su vuelo de regreso a Bolivia; el registro de COLT (2001-08-04) es plausible (regreso previo a la renuncia del 6 de agosto) pero no se pudo verificar con precision si fue el 3, 4, 5 o 6 de agosto. Se mantiene el dato de COLT sin modificacion."
1245-BOL-ITA-36703,no_verificable,TripStartDate/TripEndDate,,,,"Se confirmo que el viaje a Italia ocurrio (reunion con el presidente Ciampi, ver correccion de MetHostHoGS/HostHOGSName), pero no se hallo una fuente que fije con precision las fechas 26-27 de junio de 2000 registradas por COLT. La secuencia es compatible con el viaje a Alemania inmediatamente posterior (28-30 de junio de 2000), pero no se pudo verificar de forma independiente. COLT mismo senala 'trip dates not explicit' con confianza baja (3); se mantienen las fechas sin modificacion por falta de evidencia concluyente en algun sentido."
PELATAM-BOL-4,hallazgo_nuevo,,,Chile,https://www.oas.org/xxxivga/spanish/reference_docs/CumbreAmericasSantiago_Declaracion.pdf ; https://summit-americas.org/sas/Cumbres_previas_IICumbre.html ; Search Query: Segunda Cumbre de las Americas Santiago 1998 Bolivia Banzer,"La Segunda Cumbre de las Americas se realizo en Santiago de Chile el 18 y 19 de abril de 1998, con 34 mandatarios presentes; Bolivia estuvo representada por el presidente Hugo Banzer Suarez. Este viaje no aparece entre los 19 items ya cargados por COLT para este lider, pese a que si capturaron la Tercera Cumbre de las Americas (Quebec, 2001)."
PELATAM-BOL-5,hallazgo_nuevo,,,Venezuela,https://es.wikipedia.org/wiki/VII_Cumbre_Iberoamericana ; https://segib.org/?summit=vii-cumbre-iberoamericana-isla-margarita-1997,"La VII Cumbre Iberoamericana se realizo en Isla Margarita, Venezuela, el 8 y 9 de noviembre de 1997. Fuentes confirman que Hugo Banzer asistio como presidente de Bolivia. COLT capturo la Cumbre Iberoamericana de Panama (2000) pero no esta, la de Oporto (1998) ni la de La Habana (1999), pese a que Banzer asistio a las cuatro durante su mandato."
PELATAM-BOL-6,hallazgo_nuevo,,,Portugal,https://rieoei.org/historico/oeivirt/rie18a10.htm ; https://www.segib.org/?summit=viii-cumbre-iberoamericana-oporto-1998,"La VIII Cumbre Iberoamericana se realizo en Oporto, Portugal, el 17 y 18 de octubre de 1998. Las fuentes indican que Hugo Banzer participo activamente, incluso solicitando junto a otros mandatarios que la reunion durara solo un dia, lo que confirma su presencia personal (no una simple representacion diplomatica)."
PELATAM-BOL-7,hallazgo_nuevo,,,Cuba,https://es.wikipedia.org/wiki/IX_Cumbre_Iberoamericana ; https://www.segib.org/?summit=ix-cumbre-iberoamericana-la-habana-1999 ; https://www.cubanet.org/htdocs/CNews/y99/jan99/21o5.htm,"La IX Cumbre Iberoamericana se realizo en La Habana, Cuba, el 15 y 16 de noviembre de 1999. Fuentes confirman la asistencia de Hugo Banzer como presidente de Bolivia; un despacho de enero de 1999 ya anticipaba que 'Banzer viajara a Venezuela y Cuba este ano', consistente con su asistencia a las cumbres de Margarita (1997, ya pasada) y a esta de La Habana."
PELATAM-BOL-8,hallazgo_nuevo,,,Ecuador,https://ipsnoticias.net/1998/04/comunidad-andina-hacia-el-mercado-comun/ ; https://es.wikipedia.org/wiki/Consejo_Presidencial_Andino,"El X Consejo Presidencial Andino se realizo en Guayaquil, Ecuador, el 4 y 5 de abril de 1998, donde los presidentes de Bolivia, Colombia, Ecuador, Peru y Venezuela firmaron el Acta de Guayaquil. COLT capturo cumbres andinas de 1999 (Colombia) y 2000 (Peru) pero no esta de 1998, previa incluso a la Cumbre de las Americas de Santiago del mismo mes."
