colt_TripID,campo,valor_original,valor_nuevo,fuente,justificacion,fecha_aplicado
994-BRA-CHL-36594,TripStartDate;TripEndDate,2000-03-09T00:00:00 / 2000-03-12T00:00:00,2000-03-10 / 2000-03-11,Search Query: Ricardo Lagos posse presidente Chile 11 marco 2000 + discursos Itamaraty Portugal 8-9 marco 2000,La posesion de Lagos como presidente de Chile ocurrio el 11/03/2000 (hecho historico confirmado). El inicio COLT (09/03) es incompatible con que FHC estuviera confirmadamente en Lisboa el 8-9/03. Nuestra fecha unica (11/03) coincide con el dia de la posesion pero no se pudo confirmar con certeza fecha de salida ni si permanecio hasta el 12/03 como indica COLT.,2026-08-16
994-BRA-COL-36692,TripEndDate,2000-06-15T00:00:00,2000-06-17,Search Query: Cumbre Grupo de Rio Cartagena Colombia junio 2000 fechas + folha 'FHC danca porro na festa da Cupula do Rio' 17/06/2000,"La XIV Cumbre del Grupo de Rio se realizo en Cartagena de Indias el 14-16 de junio de 2000; la nota de Folha sobre la fiesta de la cumbre se publico el 17/06/2000, consistente con el regreso ese dia. La compresion de COLT a un solo dia (15/06) parece incorrecta.",2026-08-16
994-BRA-KOR-36906,TripStartDate,2001-01-15T00:00:00,2001-01-19,Search Query: Cardoso Coreia do Sul 19 de janeiro 2001 Kim Dae-jung Seul visita (Diario Grande ABC 19/01/2001),"Fuentes confirman que FHC estuvo en Panmunjon (frontera de las dos Coreas) el viernes 19/01/2001, enviando mensaje a Corea del Norte ese dia; esto contradice el inicio COLT (15/01), que parece erroneo por 4 dias. Fecha de fin (COLT 20/01 vs nuestro 21/01) no se pudo verificar con certeza adicional pero se mantiene coherencia con itinerario posterior (Indonesia desde 22/01 segun COLT).",2026-08-16
994-BRA-VEN-37116,TripStartDate,2001-08-13T00:00:00,2001-08-12,"http://politica.estadao.com.br/noticias/geral,fhc-inaugura-interligacao-eletrica-com-venezuela,20010812p39284 (nota publicada 12/08/2001, dia del evento)","El titular indica que la inauguracion de la interconexion electrica con Venezuela ocurrio el mismo dia de publicacion, 12/08/2001, coincidiendo con nuestra fecha de inicio; COLT comprime el viaje a un solo dia (13/08), lo cual parece incorrecto.",2026-08-16
994-BRA-USA-37202,TripStartDate,2001-11-07T00:00:00,2001-11-08,https://georgewbush-whitehouse.archives.gov/news/releases/2001/11/print/20011102-7.html (anuncio de reunion Bush-Cardoso programada para 08/11/2001),"La Casa Blanca anuncio que la reunion Bush-Cardoso estaba programada para el 8 de noviembre de 2001, coincidiendo con nuestra fecha de inicio, no con la de COLT (07/11). Fecha de fin (09/11 nuestro vs 11/11 COLT) no pudo confirmarse independientemente.",2026-08-16
994-BRA-SWE-37309,TripStartDate,2002-02-22T00:00:00,2002-02-20,http://www.lourivalsantanna.com/paises/europa/suecia/fhc-discute-comercio-e-terceira-via-na-suecia/ (nota publicada 21/02/2002),"La nota sobre la actividad de FHC en Suecia se publico el 21/02/2002, lo que implica que ya estaba en el pais antes de esa fecha, contradiciendo el inicio COLT (22/02); es compatible con nuestro inicio (20/02).",2026-08-16
994-BRA-POL-37312,TripEndDate,2002-02-26T00:00:00,2002-02-25,BBC Brasil: 'FHC quer relacao economica estreita com a Polonia' (25/02/2002) y 'Presidente brasileiro encontra imagens do Brasil na Eslovaquia' (26/02/2002),"Las notas de BBC Brasil muestran que FHC estaba en Polonia el 25/02 y ya en Eslovaquia (pais distinto, no registrado en nuestra base ni en COLT como visita separada) el 26/02, lo que sugiere que la extension de COLT al 26/02 en Polonia corresponde en realidad a la etapa eslovaca del viaje.",2026-08-16
994-BRA-ZAF-37500,TripStartDate;TripEndDate,2002-09-01T00:00:00 / 2002-09-05T00:00:00,2002-08-31 / 2002-09-04,Diario Oficial da Uniao 30/08/2002 (decreto designa comitiva oficial para o periodo 31/08 a 04/09/2002 - Cupula de Joanesburgo),"El decreto oficial (30/08/2002) designa la comitiva para el periodo 31/08-04/09/2002, confirmando nuestro inicio (31/08) pero sugiriendo un fin mas cercano al 04/09 que al 02/09 nuestro o al 05/09 de COLT; ninguna de las dos fechas de fin coincide exactamente.",2026-08-16
994-BRA-USA-37597,TripStartDate,2002-12-07T00:00:00,2002-12-08,"Search Query: FHC Nova York premio dezembro 2002 8 de dezembro 99a viagem BBC (Diario ABC: 'FHC recebe premio da ONU em Nova York' 09/12/2002, premiacion un lunes = 09/12/2002)","La nota de Wikipedia describe el viaje como su '99a viagem', publicada el 8/12, coincidiendo con nuestro inicio; la premiacion en la ONU ocurrio el lunes 09/12/2002. No se pudo confirmar con certeza si la partida fue el 07/12 (COLT) o el 08/12 (nuestro); fecha de fin (10/12 nuestro vs 12/12 COLT) tampoco verificada.",2026-08-16
1780-BRA-CHE-37645,TripStartDate,2003-01-24T00:00:00,2003-01-25,"Search Query: Lula Davos Suica janeiro 2003 Forum Social Porto Alegre (Lula discurso en Foro Social Mundial Porto Alegre 25/01/2003, luego vuelo nocturno a Davos, discurso en Davos 26/01/2003)","Es un episodio historico documentado: Lula hablo en el Foro Social Mundial en Porto Alegre la manana del 25/01/2003 y volo esa misma noche a Suiza, llegando a tiempo para el Foro Economico Mundial en Davos el 26/01/2003. Esto es incompatible con un inicio del viaje a Suiza el 24/01 (COLT), y consistente con nuestro inicio (25/01).",2026-08-16
1780-BRA-FRA-37772,TripStartDate;TripEndDate,2003-05-31T00:00:00 / 2003-06-02T00:00:00,2003-06-01 / 2003-06-03,"Search Query: G8 Evian Franca junho 2003 datas (29th G8 summit, Evian-les-Bains, 1-3 junio 2003)","La 29a cumbre del G8 se realizo oficialmente en Evian-les-Bains el 1-3 de junio de 2003; nuestras fechas coinciden exactamente con el rango oficial de la cumbre, mientras que el rango COLT (31/05-02/06) no cubre el ultimo dia de la cumbre. Nota: dos de los tres links de COLT para este item son de bases de acceso institucional (Lexis/Getty) no verificables directamente.",2026-08-16
1780-BRA-USA-37791,TripStartDate,2003-06-19T00:00:00,2003-06-20,https://georgewbush-whitehouse.archives.gov/ (reunion Bush-Lula en la Casa Blanca confirmada para el viernes 20/06/2003),La Casa Blanca confirma que la reunion Bush-Lula fue el viernes 20 de junio de 2003; no se encontro evidencia de actividad oficial el 19/06 (fecha de inicio segun COLT).,2026-08-16
1780-BRA-PRT-37811,TripStartDate;TripEndDate,2003-07-09T00:00:00 / 2003-07-10T00:00:00,2003-07-09 / 2003-07-12,"https://www.arquivo.presidencia.pt/details?id=130296 (Visita de Estado a Portugal ... de 9 a 12 de Julho de 2003, Arquivo Historico da Presidencia da Republica Portuguesa)","El archivo historico de la Presidencia portuguesa confirma que la visita de Estado de Lula fue del 9 al 12 de julio de 2003 (llegada la noche del 9, banquete oficial el 10, actividades hasta el 12). Esto coincide con el inicio de COLT (09/07) pero con el fin nuestro (12/07); ambas bases tenian un dato correcto y otro incorrecto.",2026-08-16
1780-BRA-GBR-37813,TripStartDate,2003-07-11T00:00:00,2003-07-13,Deduccion logica a partir de 1780-BRA-PRT-37811 (visita a Portugal confirmada hasta el 12/07/2003 por archivo presidencial portugues),"Dado que la visita de Estado a Portugal se confirmo documentalmente hasta el 12/07/2003, Lula no pudo haber iniciado la visita a Reino Unido el 11/07 (COLT), que se superpone con la estadia en Portugal. Nuestro inicio (13/07) es consistente con la secuencia real del viaje.",2026-08-16
