TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
756-BRA-BOL-34017,correccion,CityVisited,,La Paz,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Itamar_Franco,"La lista de viajes presidenciales de Itamar Franco (Wikipedia PT, sourced a la Biblioteca da Presidência da República) registra el viaje del 17/2/1993 a Bolivia como 'Visita de trabalho' a La Paz, con encuentro con el presidente Jaime Paz Zamora. Coincide exactamente con la fecha unica (17/2/1993) y HostHOGSName ya cargados en COLT. Se completa el campo CityVisited, vacio en el registro original."
756-BRA-ARG-34113,correccion,CityVisited,,Buenos Aires,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Itamar_Franco,"La lista de viajes de Itamar Franco (Wikipedia PT / Biblioteca da Presidência) registra la 'Visita de Estado' a Argentina de mayo de 1993 con destino Buenos Aires, encuentro con el presidente Carlos Menem, consistente con la fecha de inicio (24/5/1993) y la nota original de COLT sobre la misa en la Catedral de Buenos Aires."
756-BRA-PRY-34195,correccion,CityVisited,,Asunción,https://www.upi.com/Archives/1993/08/15/Wasmosy-sworn-in-as-Paraguays-president/2346745387200/,"UPI (despacho del 15/8/1993) confirma que la ceremonia de asuncion de Juan Carlos Wasmosy como presidente de Paraguay se realizo en la Plaza de Armas de Asuncion el domingo 15 de agosto de 1993, con la presencia de 'Itamar Franco of Brazil' entre los cinco jefes de Estado latinoamericanos invitados (junto a Menem, Aylwin, Fujimori y Lacalle). Esto confirma de forma independiente el evento y las fechas ya registradas por COLT (14-15/8/1993, 'Attended inauguration ceremony for Juan Carlos Wasmosy') y permite completar CityVisited."
756-BRA-CHL-34258,correccion,CityVisited,,Santiago,https://www.eltiempo.com/archivo/documento/MAM-241114,La VII Cumbre Presidencial del Grupo de Rio se realizo en Santiago de Chile; ver fuente citada tambien para la correccion de fecha del mismo TripID.
756-BRA-CHL-34258,correccion,TripStartDate,1993-10-16,1993-10-15,https://www.eltiempo.com/archivo/documento/MAM-241114,"El diario El Tiempo (despacho EFE del 12/10/1993, martes) anuncia que los presidentes del Grupo de Rio 'celebraran su VII Cumbre el proximo viernes y sabado en Santiago de Chile', es decir, el 15 y 16 de octubre de 1993. Esto es corroborado por el Archivo Patrimonial de la Universidad Alberto Hurtado (fondo Presidente Aylwin), que fecha la 'Cumbre Presidencial del Grupo de Rio (7a:1993 : Santiago, Chile)' en octubre de 1993 (https://archivopatrimonial.uahurtado.cl/index.php/reunion-preparatoria-vii-cumbre-presidencial-del-grupo-de-rio). COLT ya registraba correctamente el mes (octubre, no septiembre como erroneamente indica el articulo de Wikipedia PT sobre los viajes de Itamar Franco), pero solo con un dia (16/10). Se corrige el TripStartDate a 15/10/1993 (viernes de inicio de la cumbre)."
756-BRA-CHL-34258,correccion,TripDuration,1,2,https://www.eltiempo.com/archivo/documento/MAM-241114,"Consecuencia directa de la correccion de TripStartDate a 1993-10-15: con TripStartDate 1993-10-15 y TripEndDate 1993-10-16 (sin cambios), la duracion pasa de 1 a 2 dias."
756-BRA-ARG-34259,correccion,CityVisited,,Buenos Aires,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Itamar_Franco,"La lista de viajes de Itamar Franco (Wikipedia PT / Biblioteca da Presidencia) describe esta escala como una 'breve visita' a Menem en Buenos Aires, inmediatamente despues de la VII Cumbre del Grupo de Rio en Santiago (16/10/1993), consistente con la fecha unica ya registrada por COLT (17/10/1993) y la nota 'Visited Menem in hospital'."
756-BRA-URY-34351,correccion,CityVisited,,Montevideo,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Itamar_Franco,"La lista de viajes de Itamar Franco (Wikipedia PT / Biblioteca da Presidencia) ubica la V Reunion del Consejo del Mercado Comun (Mercosur) de enero de 1994 en Montevideo, con encuentro con el presidente uruguayo Luis Alberto Lacalle, consistente con NameMultilatEvent ya cargado en COLT ('Common Market of the South (MERCOSUR) Summit')."
756-BRA-COL-34356,correccion,CityVisited,,Leticia,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Itamar_Franco,"La lista de viajes de Itamar Franco (Wikipedia PT / Biblioteca da Presidencia) registra el encuentro del 22/1/1994 con el presidente Cesar Gaviria en la ciudad fronteriza de Leticia (Amazonas colombiano), fecha identica a la ya registrada por COLT. Busquedas adicionales indican que el encuentro se vincula a la instalacion de la Comision de Vecindad e Integracion Colombia-Brasil, creada en 1993, coherente con el campo PublicAddress='Yes' ya cargado en COLT."
756-BRA-VEN-34396,correccion,TripStartDate,1994-03-03,1994-03-04,https://lga.lagranaldea.com/2024/03/04/protocolo-de-la-guzmania-30-anos-despues/,"Articulo detallado de La Gran Aldea (30 anos despues del hecho, con cita textual de fuentes diplomaticas venezolanas) establece explicitamente que 'el 4 [de] marzo de 1994... durante la visita de trabajo que realiza a Venezuela el presidente Itamar Franco, se firmo el Protocolo de La Guzmania' y que 'la visita del presidente Itamar Franco tuvo caracteristicas de escala tecnica. Duro medio dia'. Esto contradice tanto el rango de dos dias que registraba COLT (3-4/3/1994) como el rango de Wikipedia PT ('3 a 5 de abril de 1994', que ademas confunde el mes: marzo, no abril). Se corrige TripStartDate a 1994-03-04 (unico dia documentado de la visita)."
