colt_TripID,campo,valor_original,valor_nuevo,fuente,justificacion,fecha_aplicado,estado
1516-CHL-ESP-37046,TripStartDate,2001-06-04T00:00:00,2001-06-03,"arle.udp.cl: unidad documental 'Visita de Estado de S.E. el Presidente...al Reino de España. 03 al 06 de junio 2001' (PR-GPR-PROG-265572, programa oficial fechado 2001-06-03/2001-06-06); confirmado también por Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2001' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""España, Madrid. Visita de Estado, junio 3 al 6""; y nota de prensa archivada fechada 2001-06-02 'previo a la llegada del Presidente Lagos a España'",Dos fuentes primarias independientes del archivo oficial (el programa de la visita y el empastado anual de giras) confirman 3-6 junio 2001. Una nota de prensa del 2 de junio confirma que el Presidente aún no había llegado ese día.,2026-08-17,APLICADO
1516-CHL-PER-37100,TripStartDate,2001-07-28T00:00:00,2001-07-27,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2001' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""Perú, Lima. Transmisión del Mando y Visita Oficial, julio 27 al 31""","El programa oficial de la Presidencia confirma que el viaje a Perú (asunción de Alejandro Toledo, 28 julio, más ceremonia de Machu Picchu 29 julio) comenzó el 27 de julio de 2001, un día antes de la ceremonia de investidura, coincidiendo con la fecha de nuestra base.",2026-08-17,APLICADO
1516-CHL-ESP-37392,TripEndDate,2002-05-18T00:00:00,2002-05-17,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2002' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""España, Madrid. II Cumbre América Latina y el Caribe - Unión Europea, mayo 16 y 17""",El programa oficial de la Presidencia de Chile confirma que la participación de Lagos en la II Cumbre ALC-UE en Madrid fue 16-17 de mayo de 2002 (no 16-18). Nuestra base ya había corregido este dato en una revisión metodológica previa; la fuente primaria lo confirma.,2026-08-17,APLICADO
1516-CHL-MEX-37555,TripEndDate,2002-10-28T00:00:00,2002-10-27,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2002' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""México, Los Cabos. X Cumbre de Líderes APEC, octubre 26 y 27""; corroborado independientemente por fuentes de prensa sobre APEC México 2002 (10ª Reunión de Líderes, 26-27 octubre 2002, Los Cabos)","El programa oficial y fuentes independientes sobre la Cumbre de Líderes APEC 2002 coinciden en que la reunión de líderes fue 26-27 de octubre, coincidiendo con nuestra base.",2026-08-17,APLICADO
1516-CHL-THA-37912,TripStartDate,2003-10-18T00:00:00,2003-10-20,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2003' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""Tailandia, Bangkok. XI Cumbre de Líderes de APEC, octubre 20 y 21""; corroborado por fuentes independientes sobre APEC Tailandia 2003 (Cumbre de Líderes 20-21 octubre 2003, Bangkok)","El programa oficial y fuentes externas confirman que la Cumbre de Líderes APEC en Bangkok fue 20-21 de octubre de 2003 (la Reunión Ministerial previa, 17-18 octubre, fue a nivel de cancilleres, no de jefes de Estado). Nuestra base coincide.",2026-08-17,APLICADO
1516-CHL-MEX-37997,TripStartDate,2004-01-11T00:00:00,2004-01-12,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2004' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""México, Monterrey. Cumbre Extraordinaria de las Américas, enero 12 y 13""; corroborado por fuentes independientes (Cumbre Extraordinaria de las Américas, Monterrey, 12-13 enero 2004)",El programa oficial y fuentes externas coinciden en que la Cumbre Extraordinaria de las Américas fue 12-13 de enero de 2004. Nuestra base coincide exactamente.,2026-08-17,APLICADO
1516-CHL-URY-38411,TripStartDate,2005-02-28T00:00:00,2005-03-01,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2005' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""Uruguay, Montevideo. Transmisión del Mando Presidencial, marzo 01""","El programa oficial de la Presidencia registra el viaje a Montevideo como un solo día, 1 de marzo de 2005 (fecha de la asunción de Tabaré Vázquez), coincidiendo con nuestra base.",2026-08-17,APLICADO
1516-CHL-ESP-38637,TripStartDate,2005-10-12T00:00:00,2005-10-14,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2005' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""España, Salamanca. Cumbre Iberoamericana, octubre 14 y 15"" y Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2005' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""España, Madrid. Visita de Trabajo, octubre 12 y 13""; corroborado por fuentes externas (XV Cumbre Iberoamericana, Salamanca, 14-15 octubre 2005)","El itinerario oficial documenta DOS tramos consecutivos en España: visita de trabajo a Madrid (12-13 oct) y luego la Cumbre Iberoamericana en Salamanca (14-15 oct). COLT aparentemente fusionó ambos tramos en un solo registro (rango 12-15 oct), lo que coincide EXACTAMENTE con la suma de nuestros dos tramos (nuestro Trip 293 + Trip 26), confirmando que ambas fechas de nuestra base son correctas de forma individual.",2026-08-17,APLICADO
1516-CHL-KOR-38674,TripEndDate,2005-11-20T00:00:00,2005-11-19,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2005' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""Corea, Busán. Cumbre de Líderes de APEC, noviembre 18 y 19""; corroborado por fuentes externas (APEC Corea del Sur 2005, Cumbre de Líderes 18-19 noviembre 2005, Busán)",El programa oficial y fuentes externas coinciden en que la Cumbre de Líderes APEC en Busan fue 18-19 de noviembre de 2005. Nuestra base coincide.,2026-08-17,APLICADO
1516-CHL-PRT-37144,TripStartDate,2001-09-10T00:00:00,2001-09-09,"Archivo Ricardo Lagos Escobar (arle.udp.cl) - empastado 'Giras Internacionales del Presidente Ricardo Lagos, año 2001' (programa oficial de Presidencia/Ceremonial y Protocolo, PR-GPR-PROG-PROGVI), que lista fecha y ciudad exacta de cada gira: ""Portugal, Lisboa. Visita de Estado, septiembre 9 al 11""","El programa oficial confirma que la visita de Estado a Portugal comenzó el 9 de septiembre de 2001, coincidiendo con nuestra base.",2026-08-17,APLICADO
