TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
907-CHL-BRA-34701,correccion,TripStartDate,1995-01-02,1995-01-01,https://pt.wikipedia.org/wiki/Posse_de_Fernando_Henrique_Cardoso_em_1995 ; https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/fernando-henrique-cardoso/discursos/1o-mandato/1995-1/01-discurso-de-posse-no-congresso-nacional-brasilia-distrito-federal-01-01-95/view ; https://atlas.fgv.br/marcos/governo-fernando-henrique-1995-2003/midias/posse-de-fernando-henrique-cardoso-como-presidente,"La posesion (toma de posesion) de Fernando Henrique Cardoso como Presidente de Brasil se realizo el 1 de enero de 1995 en el Congreso Nacional, Brasilia, hecho confirmado por multiples fuentes primarias y secundarias (discurso de posesion archivado en la Biblioteca de la Presidencia con fecha 01-01-95, Atlas Historico do Brasil/FGV, Wikipedia en portugues). COLT registra el viaje de Frei como 1995-01-02 a 1995-01-03, es decir, iniciado un dia despues de la ceremonia real, con Notes 'President Frei attended the inauguration of President Fernando Henrique Cardoso'. Este mismo patron de error en fechas de tomas de posesion ya fue detectado y corregido en la ronda hermana de Brasil (leader_994, casos de Menem 1995 y Fujimori 1995)."
907-CHL-BRA-34701,correccion,TripEndDate,1995-01-03,1995-01-01,https://pt.wikipedia.org/wiki/Posse_de_Fernando_Henrique_Cardoso_em_1995,"Consecuencia directa de la correccion de TripStartDate: no se hallo evidencia de una estadia adicional en Brasilia mas alla del dia de la ceremonia, por lo que se mantiene como viaje de un solo dia, desplazado al 1/1/1995 (fecha real de la posesion), siguiendo el mismo criterio aplicado a casos analogos en el archivo hermano de Brasil (leader_994)."
907-CHL-BRA-34701,correccion,TripDuration,2,1,https://pt.wikipedia.org/wiki/Posse_de_Fernando_Henrique_Cardoso_em_1995,"Consecuencia directa de las correcciones anteriores: con TripStartDate y TripEndDate iguales (1995-01-01), la duracion pasa de 2 a 1 dia."
907-CHL-ITA-35237,correccion,NameMultilatEvent,European Council Summit,NA,https://www.europarl.europa.eu/summits/fir1_es.htm ; https://ec.europa.eu/commission/presscorner/detail/es/doc_96_3 ; https://www.boe.es/buscar/doc.php?id=BOE-A-2000-15176 ; https://ec.europa.eu/commission/presscorner/detail/es/pres_96_180,"El Consejo Europeo (European Council) es un organo institucional propio de la Union Europea, integrado exclusivamente por los jefes de Estado o de Gobierno de sus Estados miembros; Chile nunca ha sido miembro de la UE y por lo tanto no pudo haber 'asistido' a una 'European Council Summit' en el sentido que implica el campo de COLT (participacion como miembro/asistente pleno de la cumbre), de forma analoga al error ya detectado en la ronda de Brasil respecto de una supuesta asistencia de Cardoso a una Cumbre de APEC. Lo que efectivamente ocurrio, documentado por fuentes oficiales (Parlamento Europeo, Comision Europea, BOE), es que el 21 de junio de 1996, en el margen del Consejo Europeo de Florencia (21-22 de junio de 1996), Chile y la Comunidad Europea y sus Estados miembros firmaron el Acuerdo Marco de Cooperacion Chile-UE, acto en el que participo el Presidente Frei. Se corrige unicamente el campo NameMultilatEvent (que describe erroneamente el evento como una cumbre a la que Chile 'asistio'); el campo SignedAgreement=Yes ya reflejaba correctamente la firma del acuerdo, por lo que no requiere cambio. Las fechas del viaje (21-23/6/1996) son compatibles con la fecha de la firma (21/6/1996) y no se modifican por falta de evidencia que las contradiga."
907-CHL-MEX-34948,no_verificable,TripEndDate,,,,"El propio COLT senala en las Notes: 'President Frei had a private visit to Ixtapa-Zihuatanejo after official visit concluded. Unsure about how long private visit lasted; coded it as one extra day.' Busqueda activa no hallo cobertura de prensa que precise la duracion real de esta visita privada posterior a la visita oficial a Mexico de septiembre de 1995, por lo que se mantiene la incertidumbre ya reconocida por la fuente original."
907-CHL-USA-34992,no_verificable,TripEndDate,,,,"COLT marco este item con Confidence 2/5. La sesion conmemorativa especial de la Asamblea General de la ONU por el 50 aniversario de la organizacion se realizo oficialmente entre el 22 y el 24 de octubre de 1995 en Nueva York (confirmado por comunicados de prensa oficiales de la ONU, press.un.org), periodo que queda comprendido dentro del rango mas amplio que registra COLT (20-27 de octubre, 8 dias). Busqueda activa no hallo fuente especifica que confirme o contradiga los dos dias adicionales al inicio (20-21/10) ni los tres dias adicionales al final (25-27/10) mas alla de la sesion oficial de 3 dias, por lo que se deja el campo sin corregir por falta de evidencia que fije con precision la fecha real de llegada y salida de Frei de Nueva York."
907-CHL-BRA-35148,no_verificable,TripStartDate,,,,"COLT marco este item con Confidence 2/5 (visita bilateral a Cardoso, marzo de 1996). Busqueda activa en portugues y espanol no hallo cobertura de prensa ni comunicados oficiales que confirmen o contradigan las fechas 24-28 de marzo de 1996 registradas por COLT."
907-CHL-BOL-35310,no_verificable,TripEndDate,,,,"El propio COLT senala en las Notes: 'Unsure about return date.' Se trata de la Cumbre del Grupo de Rio en Cochabamba, Bolivia (septiembre de 1996), evento confirmado en fuentes generales (con participacion de 13 jefes de Estado), pero busqueda activa no hallo una fuente que precise la fecha exacta de cierre de la cumbre ni la fecha de regreso de Frei a Chile, por lo que se mantiene la incertidumbre ya reconocida por la fuente original."
907-CHL-JPN-35672,no_verificable,TripStartDate,,,,"COLT marco este item con Confidence 2/5 (visita bilateral a Japon, agosto-septiembre de 1997). Busqueda activa no hallo cobertura de prensa que confirme o contradiga las fechas 30/8 al 3/9 de 1997 registradas por COLT."
907-CHL-ESP-35827,no_verificable,TripStartDate,,,,"COLT marco este item con Confidence 2/5 (visita bilateral a Espana, febrero de 1998). Busqueda activa confirmo que Jose Maria Aznar era Presidente del Gobierno espanol vigente en esa fecha, pero no hallo cobertura de prensa que confirme o contradiga las fechas especificas 1-3 de febrero de 1998 registradas por COLT."
