TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
452-COL-PER-34528,correccion,TripStartDate,1994-07-13,1994-07-12,https://apps.rree.gob.pe/portal/webtratados.nsf/xsp/.ibmmodres/domino/OpenAttachment/VICUS/MREPERU!!portal/tratados.nsf/96F22FA01D8FF96905256E830067571A/$FILE/B-2187.pdf,"Comunicado de prensa conjunto oficial entre el Presidente de la Republica de Colombia (Cesar Gaviria) y el Presidente de la Republica del Peru (Alberto Fujimori), publicado por el Ministerio de Relaciones Exteriores del Peru, fechado el 12 de julio de 1994 en Lima, relacionado con la eleccion de Gaviria como Secretario General de la OEA. Esta fuente primaria oficial establece que el encuentro ocurrio el 12 de julio de 1994, un dia antes de la fecha registrada por COLT (13/7/1994)."
452-COL-PER-34528,correccion,TripEndDate,1994-07-13,1994-07-12,https://apps.rree.gob.pe/portal/webtratados.nsf/xsp/.ibmmodres/domino/OpenAttachment/VICUS/MREPERU!!portal/tratados.nsf/96F22FA01D8FF96905256E830067571A/$FILE/B-2187.pdf,"Consecuencia directa de la correccion de TripStartDate: el comunicado de prensa conjunto oficial del Ministerio de Relaciones Exteriores del Peru fecha el encuentro Gaviria-Fujimori en Lima el 12 de julio de 1994, por lo que se mantiene como viaje de un solo dia, desplazado al 12/7/1994. La duracion (1 dia) no varia."
949-COL-CUB-35972,correccion,AttendedMultilatEvent,Yes,No,http://www.cuba.cu/gobierno/discursos/1998/esp/f260698e.html,"Fuente oficial del gobierno cubano (discurso de clausura pronunciado por Fidel Castro) confirma que el evento realizado en el Palacio de las Convenciones de La Habana el 26 de junio de 1998 fue la 'Cumbre de Ministros de Salud del Movimiento de Paises No Alineados', es decir, una reunion ministerial, no una Cumbre de Jefes de Estado y de Gobierno del MNOAL. La XII Cumbre de Jefes de Estado y de Gobierno del MNOAL (el evento que corresponde propiamente al campo AttendedMultilatEvent/NameMultilatEvent) se realizo en Durban, Sudafrica, en septiembre de 1998, no en Cuba. Por lo tanto el campo AttendedMultilatEvent, que en COLT indica asistencia a una cumbre de jefes de Estado, debe corregirse a 'No', trasladando el evento correctamente al campo de nivel ministerial."
949-COL-CUB-35972,correccion,NameMultilatEvent,Non-Aligned Movement (NAM) Summit,NA,http://www.cuba.cu/gobierno/discursos/1998/esp/f260698e.html,"Consecuencia directa de la correccion de AttendedMultilatEvent: al no tratarse de una cumbre de jefes de Estado y de Gobierno del MNOAL sino de una reunion de Ministros de Salud, el campo NameMultilatEvent (que en COLT decia 'Non-Aligned Movement (NAM) Summit') debe quedar en NA, y el nombre correcto del evento debe registrarse en el campo ministerial correspondiente."
949-COL-CUB-35972,correccion,AttendedMultilatMinisterialEvent,No,Yes,http://www.cuba.cu/gobierno/discursos/1998/esp/f260698e.html,"El evento verificado independientemente (Cumbre de Ministros de Salud del MNOAL, La Habana, 26 de junio de 1998, con discurso de clausura de Fidel Castro) corresponde a un evento de nivel ministerial del MNOAL. Samper, en su calidad de Presidente en ejercicio del Movimiento de Paises No Alineados desde octubre de 1995, presidio o participo en la clausura de este evento ministerial junto a Castro, consistente con las fechas de COLT (26-28/6/1998) y con el MetHostHoGS=Yes/HostHOGSName=Fidel Castro ya registrados (los cuales no se modifican por no hallarse evidencia que los contradiga)."
949-COL-CUB-35972,correccion,NameMultilatMinisterialEvent,,Non-Aligned Movement (NAM) Health Ministers Summit,http://www.cuba.cu/gobierno/discursos/1998/esp/f260698e.html,"Nombre correcto del evento ministerial verificado por fuente oficial del gobierno cubano: 'Cumbre de Ministros de Salud del Movimiento de Paises No Alineados', celebrada en el Palacio de las Convenciones de La Habana, con sesion de clausura el 26 de junio de 1998."
949-COL-ECU-35685,correccion,HostHOGSName,President Abdala Bucaram Ortiz,President Fabian Alarcon Rivera,https://es.wikipedia.org/wiki/Crisis_pol%C3%ADtica_en_Ecuador_de_1996-1997 ; https://www.ecured.cu/Fabi%C3%A1n_Alarc%C3%B3n_Rivera ; https://www.eltiempo.com/archivo/documento/mam-701142,"Abdala Bucaram Ortiz fue destituido por el Congreso ecuatoriano el 11 de febrero de 1997 por 'incapacidad mental para gobernar', y Fabian Alarcon Rivera asumio como presidente interino constitucional desde esa fecha hasta el 10 de agosto de 1998 (fuente: Wikipedia en espanol y EcuRed, coincidentes). Por lo tanto, en la fecha del viaje de Samper a Ecuador registrado por COLT (12-14/9/1997), el presidente ecuatoriano vigente era Fabian Alarcon, no Abdala Bucaram como indica erroneamente COLT. Un articulo de archivo de El Tiempo (mam-701142) documenta ademas negociaciones bilaterales Colombia-Ecuador de esa epoca conducidas por los gobiernos de Samper y Alarcon (acordadas en una cumbre presidencial previa en Sucre, Bolivia, abril de 1997), consistente con relaciones bilaterales activas entre ambos mandatarios en ese periodo."
949-COL-FRA-35278,correccion,AttendedMultilatEvent,Yes,No,Search Query: Ernesto Samper Francia agosto 1996 Chirac visita bilateral No Alineados sede Paris,"Francia nunca ha sido miembro del Movimiento de Paises No Alineados (MNOAL), por lo que no pudo haber una 'Cumbre' o evento del MNOAL en Paris al que Colombia 'asistiera' en el sentido que implica este campo de COLT, de forma analoga al error ya detectado en la ronda hermana de Chile respecto de una supuesta asistencia de Frei a una cumbre del Consejo Europeo. Fuentes consultadas confirman que la visita de Samper a Francia en agosto de 1996 fue una visita bilateral de trabajo a Jacques Chirac (con quien discutio temas de narcotrafico y sustitucion de cultivos ilicitos), sin relacion con un evento multilateral del MNOAL organizado en suelo frances. No se hallo evidencia de ninguna cumbre o reunion formal del MNOAL celebrada en Francia en 1996."
949-COL-FRA-35278,correccion,NameMultilatEvent,Non-Alignment Movement,NA,Search Query: Ernesto Samper Francia agosto 1996 Chirac visita bilateral No Alineados sede Paris,"Consecuencia directa de la correccion de AttendedMultilatEvent: al no existir una cumbre del MNOAL en Francia, el campo NameMultilatEvent (que en COLT decia 'Non-Alignment Movement') debe quedar en NA. El MetHostHoGS=Yes/HostHOGSName=Jacques Chirac se mantiene sin cambios por estar confirmado independientemente como visita bilateral de trabajo."
949-COL-KEN-35554,correccion,TripStartDate,1997-05-04,1997-05-03,https://www.eltiempo.com/archivo/documento/MAM-531480,"El itinerario detallado dia a dia de la gira de Samper por Africa y Medio Oriente, publicado por El Tiempo el 30 de abril de 1997 (dos dias antes del inicio del viaje), indica: 'Sabado 3 de mayo: Samper llegara a Kenia. Sera recibido por el presidente Daniel Arap Moi.' Esto ubica la llegada a Kenia el 3 de mayo de 1997, un dia antes de la fecha registrada por COLT (4/5/1997). El mismo itinerario confirma con exactitud las fechas de COLT para Sudafrica (encuentro Samper-Mandela el viernes 2 de mayo) y Egipto (entrevista con Mubarak el jueves 8 de mayo), lo que respalda la fiabilidad de este itinerario tambien para Kenia."
