TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
720-ECU-COL-34498,correccion,TripEndDate,1994-06-14,1994-06-15,https://segib.org/?summit=iv-cumbre-iberoamericana-cartagena-de-indias-1994 ; http://www.cuba.cu/gobierno/discursos/1994/esp/f140694e.html,"La IV Cumbre Iberoamericana de Cartagena de Indias (Colombia) se celebró oficialmente los días 14 y 15 de junio de 1994 (SEGIB; discurso de Fidel Castro fechado 14 de junio de 1994 en la sesión inaugural de la cumbre). El registro actual tiene TripEndDate en 1994-06-14, lo que implicaría que Durán-Ballén se retiró el primer día de la cumbre. Lo más probable, dado que asistió al evento completo (Notes: 'Agreed to various free trade pacts'), es que permaneciera hasta el cierre el 15 de junio."
720-ECU-ARG-34987,correccion,TripEndDate,1995-10-16,1995-10-17,https://eulacfoundation.org/es/5a-cumbre-iberoamericana-jefes-estado-y-gobierno-declaracion-bariloche-argentina-16-17de-octubre ; https://segib.org/?summit=v-cumbre-iberoamericana-san-carlos-de-bariloche-1995,"La V Cumbre Iberoamericana de San Carlos de Bariloche (Argentina) se realizó oficialmente los días 16 y 17 de octubre de 1995. El registro original ya señala en sus Notes 'Unclear on departure' (fecha de salida incierta) y consigna TripEndDate en 1995-10-16, es decir, el primer día de la cumbre. Dado que asistió al evento (AttendedMultilatEvent: Yes), es más consistente con la fuente que haya permanecido hasta el cierre oficial el 17 de octubre."
720-ECU-BRA-34585,correccion,Notes,Inauguration of Brazilian President Franco.,"VIII Cumbre del Grupo de Río, celebrada en Río de Janeiro (Brasil) en septiembre de 1994, bajo la anfitrionía del presidente Itamar Franco. No hubo ninguna toma de posesión presidencial brasileña en esa fecha: Itamar Franco ejercía la presidencia desde diciembre de 1992 (tras el juicio político a Collor) y Fernando Henrique Cardoso asumiría recién el 1 de enero de 1995.",http://www.summit-americas.org/Rio%20Group/DEC-Rio.htm,"La Declaración de la VIII Cumbre del Grupo de Río (texto oficial, fuente primaria) confirma que la cumbre se celebró en Río de Janeiro en septiembre de 1994 y agradece expresamente al 'Presidente Itamar Franco' por la hospitalidad y organización de la cumbre — es decir, Franco fue el anfitrión, no un presidente recién investido. La nota original del registro ('Inauguration of Brazilian President Franco') es un error factual: Itamar Franco no fue investido en 1994, sino que completaba el mandato de Collor de Mello desde 1992."
720-ECU-BRA-34730,correccion,Notes,Argentina;Brazil;Chile and the United States attended Agreed to cease-fire,"El 31 de enero de 1995 Ecuador y Perú rechazaron bilateralmente un llamado internacional a un cese al fuego inmediato; no hay evidencia de una cumbre presidencial de los países garantes en Brasil ese día ni de un acuerdo de cese al fuego alcanzado en esa fecha. El primer acuerdo formal (Declaración de Paz de Itamaraty) se firmó recién el 17 de febrero de 1995, a nivel de viceministros de relaciones exteriores de Ecuador y Perú (Marcelo Fernández de Córdoba y Eduardo Ponce), no a nivel presidencial.",https://es.wikipedia.org/wiki/Guerra_del_Cenepa,"El cronograma detallado de la Guerra del Cenepa en Wikipedia (con múltiples referencias) indica explícitamente para el 31 de enero de 1995: 'Después de 24 horas de calma, tropas peruanas renuevan sus ataques... Ecuador y Perú rechazan bilateralmente una llamada internacional para un cese al fuego inmediato.' Esto contradice directamente la nota del registro original ('Agreed to cease-fire' el 31 de enero). Además, la Declaración de Itamaraty —el primer acuerdo real de cese de hostilidades— se firmó el 17 de febrero de 1995 a nivel de viceministros, no de presidentes, por lo que calificar el evento como 'War Summit' con acuerdo de cese al fuego presidencial el 31 de enero es inconsistente con la evidencia disponible."
720-ECU-URY-34759,correccion,NameMultilatEvent,War Summit,Presidential inauguration of Julio María Sanguinetti,Search Query: Julio Maria Sanguinetti toma de posesion 1 marzo 1995 Montevideo jefes de estado,"La fecha (1995-03-01) coincide con la toma de posesión presidencial de Julio María Sanguinetti en Uruguay, evento ampliamente documentado al que asistieron numerosos jefes de Estado de la región, tal como indican las propias Notes del registro original ('Inauguration of Uruguayan president Julio Sanguinetti'). 'War Summit' no es el nombre de un evento multilateral real y no corresponde a esta ceremonia; la declaración de Montevideo sobre el conflicto Ecuador-Perú se firmó el 28 de febrero de 1995 a nivel de cancilleres (no en esta fecha ni por los presidentes), por lo que el campo NameMultilatEvent debe reflejar el evento real al que asistió Durán-Ballén: la investidura presidencial de Sanguinetti."
720-ECU-VEN-34733,correccion,NameMultilatEvent,Community of Andean Nations Summit,Cumbre Bolivariana,https://ipsnoticias.net/1995/02/cumbre-bolivariana-pacto-andino-y-amazonico-penden-de-la-guerra/,"La nota de IPS del 4 de febrero de 1995 describe una 'Cumbre Bolivariana' de dos días en Cumaná, Venezuela, con la presencia de Durán-Ballén (Ecuador), Gonzalo Sánchez de Lozada (Bolivia), Ernesto Samper (Colombia), Ernesto Pérez Balladares (Panamá) y Rafael Caldera (Venezuela), y con la ausencia notoria de Alberto Fujimori (Perú) por el conflicto del Cenepa — coincidiendo con la nota original del registro ('Peruvian President did not show up'). El nombre 'Community of Andean Nations Summit' es anacrónico: la Comunidad Andina (CAN) como tal no existió hasta el Protocolo de Trujillo de marzo de 1996; en 1995 el bloque se llamaba 'Pacto Andino' o 'Grupo Andino', y este encuentro específico fue denominado 'Cumbre Bolivariana' por la prensa."
720-ECU-VEN-34733,correccion,CityVisited,,Cumaná,https://ipsnoticias.net/1995/02/cumbre-bolivariana-pacto-andino-y-amazonico-penden-de-la-guerra/,"La fuente de IPS confirma que la Cumbre Bolivariana de febrero de 1995 se realizó en la ciudad caribeña de Cumaná, Venezuela. El campo CityVisited está vacío en el registro original."
720-ECU-CHL-34402,correccion,TripStartDate,1994-03-09,1994-03-11,Search Query: Eduardo Frei Ruiz-Tagle inauguracion presidencial Chile 11 marzo 1994,"Eduardo Frei Ruiz-Tagle asumió la presidencia de Chile el 11 de marzo de 1994 (dato ampliamente documentado, incluyendo en Wikipedia). El registro original data la 'ceremony for democratic transition' el 9 de marzo de 1994, dos días antes de la fecha real de la toma de posesión. Se recomienda corregir la fecha al 11 de marzo de 1994 (con TripEndDate también ajustable a esa fecha o posterior, dado que Confidence original era baja: 2)."
720-ECU-ARG-34736,no_verificable,TripStartDate / HostHOGSName,,,,"Busqué confirmación independiente de una reunión bilateral entre Durán-Ballén y Carlos Menem en Argentina el 6 de febrero de 1995. El contexto general (diplomacia de los países garantes del Protocolo de Río durante la Guerra del Cenepa) hace plausible una gira de Durán-Ballén por Argentina, Brasil y Chile en esas fechas, pero no encontré una fuente periodística o de archivo independiente que confirme específicamente este encuentro con Menem. Nota: la combinación de este viaje con 720-ECU-BRA-34735 (Brasil, 5-6 feb) y 720-ECU-CHL-34736 (Chile, 6 feb) implicaría estar en tres países en 48 horas, lo cual es logísticamente ajustado y amerita revisión con fuentes primarias (los SourceLinks originales son de ProQuest/ArchiveNews, inaccesibles para esta verificación)."
720-ECU-BRA-34735,no_verificable,HostHOGSName,,,,"No pude confirmar independientemente el encuentro Durán-Ballén-Cardoso en Brasil el 5-6 de febrero de 1995. Es cronológicamente plausible (Cardoso ya era presidente desde el 1 de enero de 1995) y consistente con la intensa diplomacia de shuttle entre los países garantes del Protocolo de Río durante la Guerra del Cenepa, pero no localicé una fuente de prensa independiente accesible que lo confirme específicamente."
