TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
740-GUY-NLD-34763,correccion,CountryVisited,Netherlands,Denmark,https://digitallibrary.un.org/record/175053?ln=en,"El evento asociado a este viaje, 'UN World Summit for Social Development', se celebró en el Bella Center de Copenhague, Dinamarca, del 6 al 12 de marzo de 1995 (fechas que coinciden exactamente con TripStartDate/TripEndDate del registro: 1995-03-05 a 1995-03-12). El país cargado en la base, 'Netherlands' (Países Bajos), es incorrecto; la cumbre nunca se realizó en los Países Bajos."
740-GUY-NLD-34763,correccion,CountryVisitedISO,NLD,DNK,https://digitallibrary.un.org/record/175053?ln=en,"Consecuencia directa de la corrección de CountryVisited: el código ISO de Dinamarca es DNK, no NLD (Países Bajos)."
740-GUY-NLD-34763,correccion,SubRegionVisited,Western Europe,Northern Europe,https://digitallibrary.un.org/record/175053?ln=en,"Dinamarca pertenece a la subregión de Europa del Norte (Northern Europe) según la clasificación UN M49 utilizada por COLT, no a Europa Occidental (Western Europe) donde erróneamente estaban clasificados los Países Bajos en el registro original."
740-GUY-COL-34991,correccion,NonhostHOGSNames,Prime Minister Prime Minister Mahathir bin Mohamad,Prime Minister Mahathir bin Mohamad,https://press.un.org/en/1995/19951019.dh2003.html,"El campo original tenía el título 'Prime Minister' duplicado ('Prime Minister Prime Minister Mahathir bin Mohamad'), un error de tipeo evidente. Mahathir bin Mohamad era el Primer Ministro de Malasia y asistió a la XI Cumbre del Movimiento de Países No Alineados en Cartagena de Indias, Colombia (18-20 de octubre de 1995), evento confirmado como real y coincidente con las fechas del viaje registrado (1995-10-19/20)."
740-GUY-PAN-35110,correccion,TripYear,1996,1997,https://www.stabroeknews.com/2015/03/18/news/guyana/cheddi-jagan-delayed-critical-cardiac-surgery-to-save/,"Este viaje está descrito en la nota original como 'on the way to U.S. for medical treatment', lo cual corresponde al episodio real y bien documentado del infarto de Cheddi Jagan: sufrió un ataque cardíaco el 14/15 de febrero de 1997 en Georgetown y fue trasladado en avión medicalizado el sábado 15 de febrero de 1997, haciendo escala en Panamá antes de continuar a Washington D.C. el domingo 16 de febrero de 1997 (fuente: relato de su hija, Cheddi Jagan Research Centre / Stabroek News). El año cargado en la base (1996) es incorrecto; el evento ocurrió en 1997, apenas semanas antes de su muerte (6 de marzo de 1997)."
740-GUY-PAN-35110,correccion,TripStartDate,1996-02-15,1997-02-15,https://www.stabroeknews.com/2015/03/18/news/guyana/cheddi-jagan-delayed-critical-cardiac-surgery-to-save/,El avión medicalizado que trasladó a Jagan partió de Guyana el sábado 15 de febrero de 1997 (no 1996) con destino a Panamá como escala.
740-GUY-PAN-35110,correccion,TripEndDate,1996-02-16,1997-02-16,https://www.stabroeknews.com/2015/03/18/news/guyana/cheddi-jagan-delayed-critical-cardiac-surgery-to-save/,"Según el relato familiar publicado por Stabroek News, Jagan permaneció en escala en Panamá y continuó viaje a Washington D.C. el domingo 16 de febrero de 1997 (no 1996)."
740-GUY-USA-35111,correccion,TripYear,1996,1997,https://www.washingtonpost.com/archive/local/1997/03/07/president-cheddi-jagan-dies/4e83f7ff-7479-4bdb-a965-5121c4c29b77/,"Cheddi Jagan llegó a Andrews Air Force Base y fue trasladado al Walter Reed Army Medical Center el domingo 16 de febrero de 1997, y murió allí el 6 de marzo de 1997 (confirmado por Washington Post, Deseret News y Cheddi Jagan Research Centre). El año cargado en la base (1996) es un error de un año completo; el registro debe ser 1997, coincidiendo con la fecha real de su fallecimiento en el cargo."
740-GUY-USA-35111,correccion,TripStartDate,1996-02-16,1997-02-16,https://www.washingtonpost.com/archive/local/1997/03/07/president-cheddi-jagan-dies/4e83f7ff-7479-4bdb-a965-5121c4c29b77/,"Arribo a EE.UU. (Andrews AFB) el domingo 16 de febrero de 1997, no 1996."
740-GUY-USA-35111,correccion,TripEndDate,1996-03-06,1997-03-06,https://www.washingtonpost.com/archive/local/1997/03/07/president-cheddi-jagan-dies/4e83f7ff-7479-4bdb-a965-5121c4c29b77/,"Cheddi Jagan murió en el Walter Reed Army Medical Center el 6 de marzo de 1997 (no 1996), tres semanas después del infarto. Esta es la fecha ampliamente documentada de su fallecimiento en el cargo."
740-GUY-USA-35111,correccion,TripDuration,20,19,https://www.washingtonpost.com/archive/local/1997/03/07/president-cheddi-jagan-dies/4e83f7ff-7479-4bdb-a965-5121c4c29b77/,"Recalculado tras la corrección de año: del 16 de febrero al 6 de marzo de 1997 (año no bisiesto, febrero de 28 días) son 19 días (13 días restantes de febrero + 6 días de marzo), no 20 como figuraba en la base (valor que solo cuadra si se asume erróneamente el año bisiesto 1996)."
740-GUY-BRB-34522,no_verificable,TripStartDate / TripEndDate,,,,"La Decimoquinta Reunión de la Conferencia de Jefes de Gobierno de CARICOM se realizó en Bridgetown, Barbados, del 4 al 7 de julio de 1994 (confirmado por comunicado oficial de CARICOM). El registro de la base indica que Jagan viajó del 7 al 9 de julio de 1994, es decir, habría llegado recién el último día de la cumbre y permanecido dos días adicionales después de su clausura. No se encontró una fuente independiente (prensa o CARICOM) que confirme las fechas exactas de llegada/salida personal de Jagan, por lo que no puede descartarse ni confirmarse con certeza si asistió a la totalidad o solo a la parte final de la cumbre, o si permaneció por motivos bilaterales adicionales."
740-GUY-GRD-35127,no_verificable,NameMultilatEvent,,,,"Se buscó activamente una 'Caribbean Community (CARICOM) Summit' en Granada en marzo de 1996 (Search Query: 'CARICOM Grenada 1996 heads of government meeting St George's'; 'Jagan Grenada March 1996 visit Guyana president'). No se encontró ninguna reunión de CARICOM en Granada en 1996: la Séptima Reunión Intersesional de 1996 se realizó en Georgetown, Guyana (29 feb-1 marzo 1996, sede local, no hubiera implicado viaje), y la única reunión de CARICOM documentada en Granada en esa década fue la Novena Reunión Intersesional, pero en marzo de 1998 (que coincide, en cambio, con el viaje ya registrado de Janet Jagan, TripID 1203-GUY-GRD-35856). No se pudo confirmar la existencia ni la naturaleza real de este viaje de Cheddi Jagan a Granada en 1996."
