colt_TripID,our_Trip_ID,tipo,veredicto_o_decision,campo,valor_correcto,fuente,justificacion
1395-PRY-ARG-37440,9,discrepancia,nuestro_correcto,Start_Date,2002-07-05,https://www.argentina.gob.ar/normativa/nacional/norma-73248/texto (Decisiones CMC fechadas '5/VII/02'); https://www.presidencia.gov.py/noticias/cumbre-del-mercosur-buenos-aires-argentina/,"La XXII Cumbre del Mercosur (CMC) en Buenos Aires se realizo el 5 de julio de 2002, confirmado por normativa oficial argentina fechada ese dia. No hay evidencia de una cumbre presidencial de dos dias iniciando el 3-jul; nuestro dato (2002-07-05, 1 dia) coincide con la fuente oficial. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1395-PRY-ARG-37440,9,discrepancia,nuestro_correcto,Duration_Days,1,https://www.argentina.gob.ar/normativa/nacional/norma-73248/texto (Decisiones CMC fechadas '5/VII/02'); https://www.presidencia.gov.py/noticias/cumbre-del-mercosur-buenos-aires-argentina/,"La XXII Cumbre del Mercosur (CMC) en Buenos Aires se realizo el 5 de julio de 2002, confirmado por normativa oficial argentina fechada ese dia. No hay evidencia de una cumbre presidencial de dos dias iniciando el 3-jul; nuestro dato (2002-07-05, 1 dia) coincide con la fuente oficial. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1395-PRY-DOM-37574,10,discrepancia,nuestro_correcto,Start_Date,2002-11-15,https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002,"La XII Cumbre Iberoamericana en Bavaro, Rep. Dominicana, se realizo oficialmente los dias 15 y 16 de noviembre de 2002 segun SEGIB (fuente oficial de las cumbres iberoamericanas). Nuestro dato coincide exactamente; COLT (inicio 14-nov, 3 dias) no coincide con la fecha oficial. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1395-PRY-DOM-37574,10,discrepancia,nuestro_correcto,Duration_Days,2,https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002,"La XII Cumbre Iberoamericana en Bavaro, Rep. Dominicana, se realizo oficialmente los dias 15 y 16 de noviembre de 2002 segun SEGIB (fuente oficial de las cumbres iberoamericanas). Nuestro dato coincide exactamente; COLT (inicio 14-nov, 3 dias) no coincide con la fecha oficial. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1395-PRY-PER-37219,6,discrepancia,nuestro_correcto,Start_Date,2001-11-23,https://intranet.eulacfoundation.org/es/content/11%C2%AA-cumbre-iberoamericana-de-jefes-de-estado-y-de-gobierno-declaraci%C3%B3n-de-lima-per%C3%BA-23-24-de; https://segib.org/es/cumbre/xi-cumbre-iberoamericana/,"La XI Cumbre Iberoamericana en Lima se realizo los dias 23 y 24 de noviembre de 2001, confirmado por SEGIB y por la Declaracion de Lima fechada 23-24-nov-2001. Nuestro dato coincide exactamente; COLT (inicio 24-nov, 1 dia) no coincide con las fechas oficiales. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1395-PRY-PER-37219,6,discrepancia,nuestro_correcto,Duration_Days,2,https://intranet.eulacfoundation.org/es/content/11%C2%AA-cumbre-iberoamericana-de-jefes-de-estado-y-de-gobierno-declaraci%C3%B3n-de-lima-per%C3%BA-23-24-de; https://segib.org/es/cumbre/xi-cumbre-iberoamericana/,"La XI Cumbre Iberoamericana en Lima se realizo los dias 23 y 24 de noviembre de 2001, confirmado por SEGIB y por la Declaracion de Lima fechada 23-24-nov-2001. Nuestro dato coincide exactamente; COLT (inicio 24-nov, 1 dia) no coincide con las fechas oficiales. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1849-PRY-ARG-38659,21,discrepancia,nuestro_correcto,Start_Date,2005-11-04,https://es.wikipedia.org/wiki/IV_Cumbre_de_las_Am%C3%A9ricas ; https://summit-americas.org/sas/Cumbres_previas_IVCumbre.html,"Multiples fuentes (Wikipedia, summit-americas.org, prensa de Mar del Plata) confirman que la IV Cumbre de las Americas se celebro los dias 4 y 5 de noviembre de 2005. Nuestro dato (inicio 4-nov, 2 dias) coincide exactamente; el inicio 3-nov y duracion de 1 dia de COLT no corresponde a las fechas oficiales de la cumbre. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1849-PRY-ARG-38659,21,discrepancia,nuestro_correcto,Duration_Days,2,https://es.wikipedia.org/wiki/IV_Cumbre_de_las_Am%C3%A9ricas ; https://summit-americas.org/sas/Cumbres_previas_IVCumbre.html,"Multiples fuentes (Wikipedia, summit-americas.org, prensa de Mar del Plata) confirman que la IV Cumbre de las Americas se celebro los dias 4 y 5 de noviembre de 2005. Nuestro dato (inicio 4-nov, 2 dias) coincide exactamente; el inicio 3-nov y duracion de 1 dia de COLT no corresponde a las fechas oficiales de la cumbre. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1849-PRY-BOL-37940,14,discrepancia,nuestro_correcto,Start_Date,2003-11-14,https://segib.org/?summit=xiii-cumbre-iberoamericana-santa-cruz-de-la-sierra-2003,"La XIII Cumbre Iberoamericana de Santa Cruz de la Sierra se realizo el 14 y 15 de noviembre de 2003 segun SEGIB y otras fuentes cruzadas. Nuestro dato (inicio 14-nov, 2 dias) coincide con las fechas oficiales; el inicio 15-nov y 1 dia de COLT solo capta el dia de cierre. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
1849-PRY-BOL-37940,14,discrepancia,nuestro_correcto,Duration_Days,2,https://segib.org/?summit=xiii-cumbre-iberoamericana-santa-cruz-de-la-sierra-2003,"La XIII Cumbre Iberoamericana de Santa Cruz de la Sierra se realizo el 14 y 15 de noviembre de 2003 segun SEGIB y otras fuentes cruzadas. Nuestro dato (inicio 14-nov, 2 dias) coincide con las fechas oficiales; el inicio 15-nov y 1 dia de COLT solo capta el dia de cierre. [item dividido automaticamente desde un veredicto/campo combinado multi-campo - correccion 2]"
