TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
448-PER-BRA-34335,correccion,TripYear,1994,1995,https://en.wikipedia.org/wiki/Fernando_Henrique_Cardoso ; https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/fernando-henrique-cardoso/discursos/1o-mandato/1995-1/01-discurso-de-posse-no-congresso-nacional-brasilia-distrito-federal-01-01-95/view ; https://pt.wikipedia.org/wiki/Posse_de_Fernando_Henrique_Cardoso_em_1995,"COLT registra este viaje como 'Presidential Inauguration of President Fernando Henrique Cardoso' con TripYear 1994 y TripStartDate 1994-01-01, lo cual es cronologicamente imposible: Cardoso fue elegido presidente de Brasil recien el 3 de octubre de 1994 (primera vuelta) y tomo posesion del cargo el 1 de enero de 1995, no de 1994. En enero de 1994 el presidente en ejercicio de Brasil era Itamar Franco y Cardoso ni siquiera era candidato formal todavia. Se trata de un error de un anio completo en la base COLT (mismo tipo de error de fecha de toma de posesion ya detectado y corregido en la ronda hermana de Chile, leader_907, para este mismo evento). Se corrige el anio a 1995, consistente con la fecha real de la ceremonia de posesion (Congreso Nacional, Brasilia, 1/1/1995)."
448-PER-BRA-34335,correccion,TripStartDate,1994-01-01,1995-01-01,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/fernando-henrique-cardoso/discursos/1o-mandato/1995-1/01-discurso-de-posse-no-congresso-nacional-brasilia-distrito-federal-01-01-95/view,"Consecuencia directa de la correccion de TripYear: la ceremonia de toma de posesion de Cardoso como Presidente de Brasil se realizo el 1 de enero de 1995 (discurso de posesion archivado con esa fecha exacta en la Biblioteca de la Presidencia de Brasil), no el 1 de enero de 1994 como registra COLT."
448-PER-BRA-34335,correccion,TripEndDate,1994-01-03,1995-01-01,https://pt.wikipedia.org/wiki/Posse_de_Fernando_Henrique_Cardoso_em_1995,"No se hallo evidencia de una estadia adicional en Brasilia mas alla del dia de la ceremonia (1/1/1995), por lo que -siguiendo el mismo criterio aplicado a casos analogos en la ronda hermana de Chile (leader_907)- se codifica como viaje de un solo dia, desplazado al 1/1/1995."
448-PER-BRA-34335,correccion,TripDuration,3,1,https://pt.wikipedia.org/wiki/Posse_de_Fernando_Henrique_Cardoso_em_1995,"Consecuencia directa de las correcciones anteriores: con TripStartDate y TripEndDate iguales (1995-01-01), la duracion pasa de 3 a 1 dia."
448-PER-BRA-36164,correccion,TripStartDate,1999-01-04,1999-01-01,https://atlas.fgv.br/marcos/governo-fernando-henrique-cardoso-1995-2003/midias/segunda-posse-de-fernando-henrique-cardoso,"COLT registra este viaje como 'Attended inauguration of President Fernando Henrique Cardoso' con fecha 1999-01-04, pero la segunda toma de posesion de Cardoso como Presidente de Brasil (reelecto en primera vuelta en 1998) se realizo el 1 de enero de 1999, segun el Atlas Historico do Brasil (FGV), con un desfase de 3 dias respecto de la fecha real registrada por COLT. Se corrige a la fecha real de la ceremonia."
448-PER-BRA-36164,correccion,TripEndDate,1999-01-04,1999-01-01,https://atlas.fgv.br/marcos/governo-fernando-henrique-cardoso-1995-2003/midias/segunda-posse-de-fernando-henrique-cardoso,"Consecuencia directa de la correccion de TripStartDate: no hay evidencia de una estadia adicional, por lo que se mantiene como viaje de un solo dia, desplazado al 1/1/1999 (fecha real de la segunda toma de posesion de Cardoso)."
448-PER-BRA-34946,correccion,NameMultilatEvent,Rio Group Summit,NA,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,"COLT registra que Fujimori 'asistio' a una 'Rio Group Summit' en Brasil el 4-5 de septiembre de 1995. Esto es un dato imposible: segun la lista oficial de sedes y fechas de las cumbres del Grupo de Rio (recogida en el Acta de Veracruz y citada por la Camara de Diputados de Mexico), la cumbre de 1995 (IX Cumbre) se realizo en Quito, Ecuador -no en Brasil- los dias 4 y 5 de septiembre de 1995 (mismas fechas exactas que registra COLT para el viaje a Brasil). Brasil no fue sede del Grupo de Rio ese anio (la sede brasileña correspondio a 1994, Rio de Janeiro). Es un patron de error analogo al caso ya documentado de una supuesta cumbre de APEC de Brasil en el proyecto hermano de Chile: se corrige el campo del nombre del evento multilateral a NA porque el evento descrito no pudo haber ocurrido en el pais y fecha que indica este registro. El propio expediente de Fujimori contiene por separado un viaje a Ecuador exactamente en esa fecha (448-PER-ECU-34947, 5/9/1995) que es plausiblemente el registro correcto de esta misma cumbre."
448-PER-BRA-34946,correccion,AttendedMultilatEvent,Yes,No,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,"Consecuencia directa de la correccion anterior: si el Grupo de Rio no se reunio en Brasil en 1995, el campo que indica asistencia a un evento multilateral en Brasil en esa fecha debe corregirse a No, dado que no hay evidencia de que haya ocurrido alli ningun otro evento multilateral que justifique el 'Yes'."
448-PER-BRA-35310,correccion,NameMultilatEvent,Rio Group Summit,NA,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,"COLT registra que Fujimori 'asistio' a una 'Rio Group Summit' en Brasil el 2 de septiembre de 1996. Es un dato imposible: la X Cumbre del Grupo de Rio de 1996 se realizo en Cochabamba, Bolivia (no en Brasil), el 3-4 de septiembre de 1996, segun la lista oficial de sedes del Grupo de Rio. El propio expediente de Fujimori registra, un dia despues (448-PER-BOL-35311, 3/9/1996), un viaje a Bolivia donde se reunio con el presidente de Ecuador Abdala Bucaram -coincidente en fecha y region con la cumbre de Cochabamba- lo que sugiere que el evento multilateral fue mal atribuido a un viaje fantasma a Brasil en lugar de al viaje real a Bolivia. Se corrige el campo del nombre del evento a NA por tratarse de un dato imposible para el registro de Brasil (ver tambien la correccion complementaria propuesta sobre 448-PER-BOL-35311)."
448-PER-BRA-35310,correccion,AttendedMultilatEvent,Yes,No,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,"Consecuencia directa de la correccion anterior: si el Grupo de Rio no se reunio en Brasil en 1996 (fue en Cochabamba, Bolivia), el campo de asistencia a evento multilateral en este registro de Brasil debe corregirse a No."
