TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
588-SUR-CHN-34470,correccion,HostHOGSName,General Secretary Jiang Zemin,President Jiang Zemin,https://www.britannica.com/biography/Jiang-Zemin,"Jiang Zemin fue elegido Presidente de la República Popular China en marzo de 1993 (además de ser Secretario General del PCCh desde 1989), por lo que ya era Jefe de Estado en mayo de 1994. Para consistencia con el criterio COLT de registrar el título de Jefe de Estado/Gobierno del país visitado (como se hace con 'President Suharto' en el mismo archivo), corresponde 'President Jiang Zemin' en lugar de 'General Secretary Jiang Zemin', que es un cargo partidario, no de jefatura de Estado."
588-SUR-TTO-34928,correccion,NameMultilatEvent,Caribbean Basin Summit,Association of Caribbean States (ACS) Inaugural Summit,https://www.acs-aec.org/en/basic/summits,"No existe un evento multilateral institucional llamado 'Caribbean Basin Summit' en esas fechas. Las fechas del viaje (17-18 de agosto de 1995) coinciden exactamente con la Cumbre Inaugural de Jefes de Estado y/o Gobierno de la Association of Caribbean States (ACS), celebrada en Puerto España, Trinidad y Tobago, el 17-18 de agosto de 1995, que produjo la 'Declaration of Principles and Plan of Action on Tourism, Trade and Transportation'. Es prácticamente seguro que el registro original confundió el nombre del evento."
588-SUR-GUY-34884,no_verificable,MetHostHoGS,,,,"Las fechas y el evento (CARICOM Summit, Georgetown, Guyana, 4-7 julio 1995) están confirmados de forma exacta contra fuente independiente (comunicado oficial de CARICOM: 16th Meeting of the Conference of Heads of Government, 4-7 July 1995, Georgetown, Guyana, en la cual además Suriname fue formalmente admitido como 14º miembro de CARICOM el 4 de julio de 1995). El presidente anfitrión de Guyana en ese momento era Cheddi Jagan. Es altamente probable, dado que fue la ceremonia de adhesión de Suriname a CARICOM en la propia capital de Guyana, que Venetiaan se haya reunido con Jagan, pero no logré acceder al texto completo del comunicado ni a una fuente que lo confirme explícitamente (solo referencias indirectas vía motores de búsqueda), por lo que no corrijo el campo 'MetHostHoGS: No' sin una cita directa. Búsqueda realizada: 'Sixteenth Meeting CARICOM Heads Government Georgetown 1995 Cheddi Jagan chairman communique' y 'Cheddi Jagan president Guyana 1995 CARICOM summit Georgetown'."
588-SUR-GUY-34884,no_verificable,HostHOGSName,,,,"Mismo caso que el campo MetHostHoGS de este viaje: si el encuentro con el presidente de Guyana, Cheddi Jagan, se confirmara, correspondería completar este campo con 'President Cheddi Jagan', pero no se encontró una fuente independiente citable que confirme explícitamente el encuentro bilateral, por lo que se deja como no verificable en lugar de forzar el valor."
1145-SUR-CUB-36628,correccion,NameMultilatEvent,G7 Summit,Group of 77 (G-77) South Summit,https://www.twn.my/title/havana.htm,"El registro original dice 'G7 Summit', lo cual es incorrecto: no existe (ni existió) una cumbre del G7 en Cuba, país que nunca fue miembro de ese foro. Las fechas del viaje (12-15 de abril de 2000) coinciden con la South Summit del Grupo de los 77 (G-77), celebrada en La Habana, Cuba, del 10 al 14 de abril de 2000, cerrada con el discurso de Fidel Castro el 14/04/2000. Es un error de tipeo/confusión evidente entre 'G7' y 'G-77' en la carga original."
1145-SUR-CHN-35933,correccion,HostHOGSName,General Secretary Jiang Zemin,President Jiang Zemin,https://www.britannica.com/biography/Jiang-Zemin,"Igual que en el TripID 588-SUR-CHN-34470 de Venetiaan: Jiang Zemin era Presidente de la República Popular China (Jefe de Estado) desde marzo de 1993, por lo que el título correcto para este registro de mayo de 1998 es 'President Jiang Zemin', no 'General Secretary Jiang Zemin' (cargo partidario)."
1145-SUR-DOM-36027,correccion,NameMultilatEvent,Caribbean Community (CARICOM) Summit,CARIFORUM Special Meeting of Heads of State and Government,https://caricomorg/communications/view/statement-issued-by-the-special-Meeting-of-heads-of-state-and-government-of-the-caribbean-Forum-cariForum-of-african-caribbean-and-pacific-acp-states-20-22-august-1998-santo-domingo-de-guzman-dominican-republic,"El evento no fue una 'Caribbean Community (CARICOM) Summit' regular sino la 'Special Meeting of Heads of State and Government of the Caribbean Forum (CARIFORUM) of African, Caribbean and Pacific (ACP) States', celebrada en Santo Domingo, República Dominicana, del 20 al 22 de agosto de 1998 -tal como indica el propio SourceLink2 ya cargado en el registro original-. CARIFORUM es una agrupación distinta de CARICOM (incluye también a la República Dominicana, que no es miembro de CARICOM), por lo que el nombre del evento debe corregirse."
1145-SUR-USA-35606,correccion,NameMultilatEvent,United Nations (UN) General Assembly,UN General Assembly Special Session on Environment (Earth Summit +5),https://www.un.org/en/conferences/environment/newyork1997,"Las fechas del viaje (25-27 de junio de 1997) no corresponden a la Asamblea General regular de la ONU (que se inaugura en septiembre), sino al 19º Período Extraordinario de Sesiones de la Asamblea General de la ONU para revisar la implementación de la Agenda 21 ('Earth Summit+5'), realizado en Nueva York del 23 al 27 de junio de 1997. El campo original 'United Nations (UN) General Assembly' es impreciso y debe especificar que se trató de esta sesión especial."
1145-SUR-IDN-35717,no_verificable,MetHostHoGS,,,,"No se encontró fuente independiente adicional (más allá del artículo de ProQuest ya citado en el registro original) que documente el viaje de Wijdenbosch a Indonesia en octubre de 1997. Resulta llamativo que 'MetHostHoGS' figure como 'No' pese a tratarse de una visita de estado de 4 días con firma de un acuerdo cultural (Notes: 'Sign cultural agreement'), lo cual normalmente implicaría un encuentro con el Jefe de Estado anfitrión (en ese momento, Presidente Suharto). Búsquedas realizadas: 'Wijdenbosch Indonesia October 1997 Suharto cultural agreement', sin resultados que permitan confirmar o corregir el campo con una fuente citable."
1145-SUR-KNA-36599,no_verificable,TripStartDate,,,,"La reunión oficial confirmada por fuente independiente fue la '11th Inter-Sessional Meeting of the Conference of Heads of Government of CARICOM', celebrada en Basseterre, San Cristóbal y Nieves, el 13-14 de marzo de 2000 (con ceremonia de apertura el 12 de marzo), según comunicado oficial de CARICOM. El registro cargado tiene TripStartDate 2000-03-14 y TripEndDate 2000-03-15, un día más tarde que la reunión oficial documentada. No hay evidencia suficiente para determinar si se trata de un error de un día en la carga original o si simplemente reflejan fechas de viaje (llegada/salida) distintas de las fechas formales de la reunión, por lo que no se fuerza una corrección de fecha."
