colt_TripID,our_Trip_ID,tipo,veredicto_o_decision,campo,valor_correcto,fuente,justificacion
1514-URY-AGO-37911,16,discrepancia,No_verificable,Start_Date,,"Vatican press bulletin (busqueda sin resultado especifico), prensa uruguaya de octubre 2003 (sin resultado especifico)","Este viaje es la tercera etapa de la gira Vaticano-Italia-Angola (Journey_ID URU-JB-J013, oct-2003). Nuestra propia base marca las 3 fechas como 'estimadas'. Los sufijos numericos de los TripID de COLT codifican en serie Excel la propia TripStartDate de COLT (verificado: 37911=17-oct-2003), lo cual solo confirma consistencia interna de COLT, no exactitud externa. Se detecta un posible intercambio Vaticano/Italia en COLT (ver items VAT-37907 e ITA-37905). No se hallo fuente primaria que fije el orden real de las 3 escalas."
1514-URY-AGO-37911,16,discrepancia,No_verificable,Duration_Days,,Idem Start_Date de este mismo item,"Misma incertidumbre que Start_Date: la duracion depende del orden real de las 3 escalas de la gira, que no pudo confirmarse independientemente. Nuestra base marca la fecha como estimada."
1514-URY-CAN-37000,4,discrepancia,nuestro_correcto,Start_Date,2001-04-20,"https://summit-americas.org/sas/Cumbres_previas_IIICumbre.html ; III Cumbre de las Americas, Quebec City","La III Cumbre de las Americas se realizo en Quebec City del 20 al 22 de abril de 2001, hecho historico ampliamente documentado. Coincide exactamente con nuestra fecha de inicio y con la duracion de 3 dias. COLT (19-abr, 4 dias) agrega un dia antes de la apertura oficial."
1514-URY-CAN-37000,4,discrepancia,nuestro_correcto,Duration_Days,3,"https://summit-americas.org/sas/Cumbres_previas_IIICumbre.html ; III Cumbre de las Americas, Quebec City","La cumbre duro exactamente del 20 al 22 de abril de 2001 (3 dias), coincidiendo con nuestra base. COLT indica 4 dias sin respaldo encontrado."
1514-URY-COD-38106,20,discrepancia,nuestro_correcto,Start_Date,2004-04-27,"http://archivo.presidencia.gub.uy/noticias/archivo/2004/abril/2004042905.htm (ya citada en nuestra base, fuente oficial primaria)","Nuestra base ya tiene una correccion QA previa (2026-07-22) basada en fuente oficial primaria: comunicado conjunto fechado 'Kinshasa, 29 de abril de 2004' que confirma una visita de trabajo de 48hs, con partida de la delegacion hacia Johannesburgo el 29 y regreso a Uruguay el 30-abr. Esto implica llegada a Kinshasa el 27-abr. No se hallo respaldo documental para la fecha de COLT (29-abr)."
1514-URY-COD-38106,20,discrepancia,nuestro_correcto,Duration_Days,3,"http://archivo.presidencia.gub.uy/noticias/archivo/2004/abril/2004042905.htm (ya citada en nuestra base, fuente oficial primaria)",La misma fuente oficial primaria confirma una estadia de 27 a 29 de abril (3 dias) en Kinshasa antes de la partida hacia Johannesburgo. COLT indica 2 dias sin respaldo encontrado.
1514-URY-CRI-38309,22,discrepancia,nuestro_correcto,Duration_Days,3,https://segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004 ; Declaracion de San Jose de 2004 (encabezado cita '18-20 de Noviembre de 2004'),"Aunque las sesiones plenarias de la XIV Cumbre Iberoamericana fueron el 19-20 de noviembre, el encabezado oficial de la Declaracion de San Jose data el evento '18-20 de noviembre de 2004', consistente con nuestra duracion de 3 dias (llegada 18 + cumbre 19-20). COLT (2 dias) solo contempla las sesiones plenarias, no el dia de llegada previo a la venia (venia desde 17-nov segun nuestra base)."
1514-URY-VAT-37907,14,discrepancia,No_verificable,Start_Date,,"Busqueda de boletines de prensa vaticanos y prensa uruguaya de octubre 2003, sin resultado especifico","Se detecta un patron llamativo: el TripID de COLT para VAT (37907=13-oct-2003 en serial Excel) coincide con NUESTRA fecha de la escala en Italia (13-oct), y el TripID de COLT para ITA (37905=11-oct-2003) coincide con NUESTRA fecha de la escala en el Vaticano (11-oct). Esto sugiere que COLT pudo haber invertido el orden Vaticano/Italia. Nuestra propia base marca estas fechas como 'estimadas' (Fecha de leg estimada). No se hallo fuente primaria (boletin Sala Stampa Vaticano, prensa) que confirme el orden real de las escalas."
1514-URY-VAT-37907,14,discrepancia,No_verificable,Duration_Days,,Idem Start_Date de este mismo item,"Misma incertidumbre que Start_Date; la duracion depende del orden real Vaticano/Italia, no confirmado independientemente."
1514-URY-ITA-37905,15,discrepancia,No_verificable,Start_Date,,"Busqueda de prensa italiana/uruguaya de octubre 2003, sin resultado especifico",Ver justificacion detallada en el item VAT-37907 (mismo Journey_ID URU-JB-J013): posible intercambio Vaticano/Italia en los datos de COLT. Nuestra base marca esta fecha como estimada. Sin fuente primaria que confirme el orden real.
1514-URY-ITA-37905,15,discrepancia,No_verificable,Duration_Days,,Idem Start_Date de este mismo item,Misma incertidumbre que Start_Date.
1514-URY-MEX-37998,18,discrepancia,nuestro_correcto,Duration_Days,2,"https://summit-americas.org/sas/Cumbres_previas_CumbreExtraordinaria.html ; Cumbre Extraordinaria de las Americas, Monterrey, 12-13 enero 2004","La Cumbre Extraordinaria de las Americas se realizo en Monterrey los dias 12 y 13 de enero de 2004, coincidiendo exactamente con nuestra duracion de 2 dias. COLT (3 dias) extiende un dia mas alla del cierre oficial de la cumbre."
1514-URY-ESP-38017,19,discrepancia,nuestro_correcto,Start_Date,2004-02-02,"https://www.congreso.es/es/cem/visituruguay2004 (fuente oficial primaria, ya citada en nuestra base)","La pagina oficial del Congreso de los Diputados de Espana titula el registro historico exactamente 'Visita del Presidente de la Republica Oriental de Uruguay Jorge Batlle Ibanez, 2 de febrero de 2004', confirmando la fecha de nuestra base de forma directa."
1514-URY-ESP-38017,19,discrepancia,nuestro_correcto,Duration_Days,1,https://www.congreso.es/es/cem/visituruguay2004,"La fuente oficial describe un acto puntual y fechado (2-feb-2004) sin mencion de una estadia extendida. COLT indica 9 dias, cifra implausible para lo que las propias notas de COLT describen como una visita al Congreso espanol sin otras actividades; no se hallo ninguna fuente que respalde una estadia de 9 dias."
