TripID,tipo,campo,valor_viejo,valor_nuevo_o_destino,fuente,justificacion
898-VEN-ARG-35008,correccion,CityVisited,,Buenos Aires,https://en.wikipedia.org/wiki/Group_of_15,"El campo estaba vacío. La 5ta Cumbre del G-15 (5-7 noviembre 1995) se realizó en Buenos Aires, presidida por Carlos Menem. La fecha de viaje registrada (5-6 nov) coincide con el inicio del evento."
898-VEN-BOL-35311,correccion,CityVisited,,Cochabamba,Search Query: Grupo de Río cumbre Cochabamba Bolivia septiembre 1996 fechas presidentes declaración,"El campo estaba vacío. La Cumbre del Grupo de Río de 1996 se realizó en Cochabamba, Bolivia, en fechas coincidentes (principios de septiembre 1996) con las registradas en el trip (3-4 sep)."
898-VEN-BOL-35541,correccion,CityVisited,,Sucre,http://www.sice.oas.org/Trade/Junac/IXacta_s.asp,"El campo estaba vacío. El IX Consejo Presidencial Andino (Acta de Sucre) se celebró en Sucre, Bolivia, el 22-23 de abril de 1997. La fecha de llegada registrada (21 abril) es consistente con arribo un día antes del evento."
898-VEN-BRA-34585,correccion,CityVisited,,Rio de Janeiro,http://www.summit-americas.org/Rio%20Group/DEC-Rio.htm,"El campo estaba vacío. La VIII Cumbre del Grupo de Río de 1994 fue organizada por el presidente brasileño Itamar Franco en Rio de Janeiro, coincidiendo con el país y año del registro."
898-VEN-CHL-35379,correccion,CityVisited,,Santiago y Viña del Mar,https://segib.org/?summit=vi-cumbre-iberoamericana-santiago-y-vina-del-mar-1996,"El campo estaba vacío. La VI Cumbre Iberoamericana se realizó en Santiago y Viña del Mar, Chile, el 10 y 11 de noviembre de 1996 (fuente oficial SEGIB), coincidiendo exactamente con las fechas registradas en el trip (1996-11-10 a 1996-11-11)."
898-VEN-CHL-35902,correccion,CityVisited,,Santiago,https://clinton.presidentiallibraries.us/items/show/94223,"El campo estaba vacío. La II Cumbre de las Américas se celebró en Santiago de Chile el 18-19 de abril de 1998. El trip registra llegada el 17 de abril, un día antes del inicio oficial."
898-VEN-COL-34498,correccion,AttendedMultilatEvent,No,Yes,https://segib.org/?summit=iv-cumbre-iberoamericana-1994,"El registro dice 'No', pero las propias Notes del trip mencionan la firma del G-3 y la '4th Iber-American Summit'. Fuente oficial SEGIB confirma que la IV Cumbre Iberoamericana se realizó en Cartagena de Indias, Colombia, el 14-15 de junio de 1994, coincidiendo con las fechas del viaje (13-15 junio 1994)."
898-VEN-COL-34498,correccion,NameMultilatEvent,,IV Cumbre Iberoamericana,https://segib.org/?summit=iv-cumbre-iberoamericana-1994,"El campo estaba vacío pese a que el viaje corresponde, según fuente oficial SEGIB, a la IV Cumbre Iberoamericana (Cartagena de Indias, 14-15 junio 1994), coincidente con la firma del tratado de libre comercio del G-3 mencionada en las Notes originales."
898-VEN-COL-34498,correccion,CityVisited,,Cartagena de Indias,https://segib.org/?summit=iv-cumbre-iberoamericana-1994,"El campo estaba vacío. La IV Cumbre Iberoamericana y la firma del G-3 tuvieron lugar en Cartagena de Indias, Colombia."
898-VEN-COL-34498,correccion,Notes,Signing of trade agreement between G-3 and 4th Iber-American Summit;attended Cultural Capital of Europe 1985 Celebration [PE-Latam 2026-09-05: AttendedMultilatEvent corregido de 'No' a 'Yes'. Fuente: https://segib.org/?summit=iv-cumbre-iberoamericana-1994] [PE-Latam 2026-09-05: NameMultilatEvent corregido de '' a 'IV Cumbre Iberoamericana'. Fuente: https://segib.org/?summit=iv-cumbre-iberoamericana-1994] [PE-Latam 2026-09-05: CityVisited corregido de '' a 'Cartagena de Indias'. Fuente: https://segib.org/?summit=iv-cumbre-iberoamericana-1994],"Signing of the G-3 free trade agreement (Colombia, Mexico, Venezuela) and attendance at the IV Ibero-American Summit in Cartagena de Indias",https://segib.org/?summit=iv-cumbre-iberoamericana-1994,"La nota original incluye la frase 'attended Cultural Capital of Europe 1985 Celebration', un dato inconexo y anacrónico (el programa 'Capital Europea de la Cultura' de 1985 corresponde a Atenas y no guarda relación con este viaje), que aparenta ser un error de copia/pegado de otro registro. Se limpia el texto manteniendo solo los hechos verificados."
