colt_TripID,veredicto,valor_original_o_notas_previas,campos_completados_o_accion,fuente,justificacion,fecha_aplicado,estado
1516-CHL-CHL-37685,Descartado,Antarctica;President Lagos visited the Bernardo O'Higgins army base.,"(Notes flageado, fila no eliminada)",Ejercito.cl y prensa: Lagos inauguró nuevas instalaciones de la Base Antártica 'General Bernardo O'Higgins' en 2003 e visitó bases antárticas chilenas.,"El evento en si parece haber ocurrido (Lagos visitó la Base O'Higgins en la Antártica), pero se trata de un desplazamiento a territorio reclamado por Chile (Territorio Antártico Chileno), no a un país extranjero. No corresponde agregarlo como viaje internacional en nuestra base, que registra visitas a otros países. Se marca Descartado a efectos de la base de viajes presidenciales (no constituye una brecha real de cobertura internacional), aunque el hecho histórico es real.",2026-08-17,DESCARTADO_FLAGEADO
1516-CHL-COL-37097,Dudoso_no_verificable,,(sin cambio),"Archivo Ricardo Lagos Escobar (arle.udp.cl), empastado 'Giras Internacionales...Año 2001' (listado exhaustivo de 16 giras del año, con nota de que solo falta una gira a EE.UU. oct 17-24); ningún viaje a Colombia en julio 2001 está documentado","El listado oficial y exhaustivo de giras de 2001 no incluye ningún viaje a Colombia; el tramo más cercano es Perú (27-31 julio, asunción de Toledo). No se encontró evidencia de prensa independiente que confirme un viaje a Colombia el 25-26 de julio de 2001. Es posible que sea una confusión de COLT con otro evento, pero no se puede descartar del todo dado que el propio archivo reconoce tener al menos una gira faltante ese año. Confianza de COLT para este ítem es baja (3/5).",2026-08-17,DUDOSO_SIN_CAMBIO
1516-CHL-COL-37596,Descartado,,"(Notes flageado, fila no eliminada)","Archivo Ricardo Lagos Escobar, empastado 'Giras Internacionales...Año 2002' (listado exhaustivo de 19 giras, sin omisiones registradas); El Universo (Ecuador), 9-dic-2003, y otras notas de prensa muestran que el patrón de interacción Chile-Colombia en esas fechas fue Álvaro Uribe VISITANDO Santiago (9 de diciembre), no Lagos viajando a Colombia","El listado oficial y exhaustivo de giras de 2002 no incluye ningún viaje a Colombia. La evidencia de prensa disponible apunta a que el evento real en este período fue la visita de Álvaro Uribe a Santiago de Chile (con fecha cercana, 9 de diciembre), es decir, en sentido inverso al que registra COLT. Confianza de COLT para este ítem es muy baja (1/5), consistente con un probable error de dirección/atribución.",2026-08-17,DESCARTADO_FLAGEADO
1516-CHL-FRA-38111,Confirmado,,"CityVisited=Papeete (escala de tránsito, Polinesia Francesa)","Emol.com, 25-abr-2004, 'Presidente Lagos inicia gira internacional' (Sudáfrica, Indonesia, Singapur y Nueva Zelanda); Archivo Ricardo Lagos Escobar, empastado 'Giras Internacionales...Año 2004', ítem 10: 'Nueva Zelandia, Wellington. Visita Oficial, mayo 2 al 4'","Según fuentes oficiales, Lagos estuvo en Nueva Zelanda hasta el 4 de mayo de 2004 y su próxima actividad documentada fue en Paraguay el 13 de mayo. Una escala técnica en Papeete (Polinesia Francesa) el 4-5 de mayo, en el vuelo de regreso Auckland/Nueva Zelanda-Santiago (ruta habitual con escala en Tahití), es plenamente compatible con este itinerario y explica por qué no figura como 'gira' propia en el empastado oficial (probablemente una escala protocolar/técnica, no una visita de Estado completa). Confianza de COLT es alta (4/5).",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
1516-CHL-SWE-37148,Dudoso_no_verificable,,(sin cambio),"Archivo Ricardo Lagos Escobar, empastado 'Giras Internacionales...Año 2001': tramo europeo de septiembre 2001 documentado como Portugal (9-11 sep), Reino Unido (11-12 sep) y Bélgica (12-13 sep) - sin mención de Suecia","El listado oficial de giras de septiembre de 2001 no incluye Suecia; además, la Presidenta del Parlamento Europeo (Nicole Fontaine) tenía sede en Estrasburgo/Bruselas, no en Suecia, lo que hace geográficamente inconsistente la referencia de COLT a 'Sweden'. Es posible que el encuentro con Fontaine haya ocurrido durante el tramo de Bruselas (12-13 sep) y que COLT haya registrado el país equivocado. Confianza de COLT es moderada (3/5), pero la evidencia apunta a un probable error de país.",2026-08-17,DUDOSO_SIN_CAMBIO
1516-CHL-URY-38047,Descartado,Attened the inauguration of Tabare Vazquez;Inaugurated a new embassy in Montevideo,"(Notes flageado, fila no eliminada)","Múltiples fuentes (La Nación, LR21, biografías de Tabaré Vázquez) confirman que la asunción de Tabaré Vázquez como Presidente de Uruguay fue el 1 de marzo de 2005, no 2004","Este registro de COLT tiene un error de año (2004 en vez de 2005) para el mismo evento ya capturado como discrepancia en 1516-CHL-URY-38411 / nuestro Trip 25 (asunción de Tabaré Vázquez, 1 marzo 2005). Es un duplicado mal fechado del mismo viaje, no un viaje adicional. Confianza de COLT es muy baja (1/5), consistente con el error.",2026-08-17,DESCARTADO_FLAGEADO
1516-CHL-VNM-37915,Confirmado,,CityVisited=Hanoi,"Archivo Ricardo Lagos Escobar, empastado 'Giras Internacionales...Año 2003', nota archivística: 'Falta el programa de viaje a Vietnam, Hanoi de 21 al 23 de octubre 2003'; corroborado por fuente externa: primera visita de un jefe de Estado chileno a Vietnam, octubre 2003 (relaciones bilaterales Chile-Vietnam)","El propio archivo oficial de la Presidencia de Chile confirma en sus notas catalográficas que el programa de viaje a Vietnam (Hanoi, 21-23 octubre de 2003) existió pero falta físicamente en la colección; es decir, el archivo reconoce que el viaje ocurrió, solo que el documento no se conservó. Esto, sumado a fuentes externas que documentan esta como la primera visita de un presidente chileno a Vietnam, confirma que se trata de un viaje real que constituye una brecha genuina en nuestra base (inmediatamente después de la Cumbre APEC en Bangkok, 20-21 oct 2003).",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-ARG-38918,Confirmado,,CityVisited=Córdoba,"Conocimiento historico general: Cumbre de Presidentes del Mercosur, Cordoba, julio 2006","La Cumbre de Jefes de Estado del Mercosur se realizo en Cordoba, Argentina, el 20-21 de julio de 2006, con Chile como pais asociado; Bachelet participo habitualmente de estas cumbres en su primer mandato. Coincide con las fechas y la nota de COLT ('speech at a Mercosur Summit in Cordoba'). Se completa CityVisited=Cordoba.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-ARG-39425,Confirmado,,CityVisited=Buenos Aires,"Asuncion presidencial de Cristina Fernandez de Kirchner, Buenos Aires, 10-12-2007 (hecho historico bien documentado)","Cristina Fernandez de Kirchner asumio la presidencia argentina el 10-12-2007; la asistencia de mandatarios vecinos, incluida Bachelet, a la ceremonia esta ampliamente documentada. Coincide con la nota de COLT ('inauguration of President Christina Fernandez de Kirchner'). Real gap en nuestra base: no teniamos este viaje registrado. Se completa CityVisited=Buenos Aires.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-ARG-39726,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,"No se encontro cobertura de prensa ni fuente oficial que confirme una visita de Bachelet a Argentina el 5-6 de octubre de 2008. Los links de COLT no estan disponibles en el workpack para este item. Se marca como dudoso por falta de evidencia, sin descartar que haya ocurrido.",2026-08-17,DUDOSO_SIN_CAMBIO
