PELATAM_TripID,MetHostHoGS,MetNonhostHOGS,NonhostHOGSNames,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeaderName,fuente,justificacion,fecha
PELATAM-CHL-1,Yes,Yes,"Fernando Henrique Cardoso (Brasil), Vicente Fox (México), y otros mandatarios del Mercosur/Bolivia presentes en la cumbre",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://www.cancilleria.gob.ar/es/actualidad/comunicados/los-presidentes-duhalde-y-cardoso-consolidan-el-mercosur ; https://arle.udp.cl/index.php/programa-de-actividades-de-presidente-de-la-republica-para-xviii-cumbre-mercosur-en-buenos-aires,"Cancillería argentina confirma que De la Rúa (anfitrión), Cardoso y Fox se reunieron y coordinaron temas pendientes con Lagos durante la XVIII Cumbre Mercosur-Bolivia-Chile (29-30 jun 2000). En esa cumbre se firmó la Carta de Buenos Aires sobre Compromiso Social por los presidentes de Mercosur, Bolivia y Chile. Prensa de la época registra que Lagos reiteró en la cumbre el interés de Chile por el ingreso pleno al Mercosur (declaración pública). No se halló evidencia de sitio cultural/ceremonia, foro empresarial ni encuentro con líder de organismo internacional en este viaje.",2026-08-18
PELATAM-CHL-7,Yes,No,,No_verificable,No_verificable,No_verificable,No_verificable,No,,https://www.elmostrador.cl/dia/2019/09/27/ricardo-lagos-recuerda-detalles-de-su-relacion-con-su-verdadero-amigo-jacques-chirac/ ; https://www.congreso.es/es/cem/visitchile2001,"El propio Counterpart_Event confirma que el objetivo del tramo era una reunión con Jacques Chirac (jefe de Estado anfitrión de Francia); Lagos y Chirac desarrollaron una relación diplomática cercana documentada retrospectivamente por el propio Lagos. Se confirma que este viaje fue el segundo tramo de una gira europea (Lagos visitó España -Senado- el 5 de junio de 2001), consistente con una visita bilateral acotada a Francia sin evidencia de encuentro con jefes de otros países en este tramo específico. No se encontró evidencia concreta (búsqueda razonable) de discurso público formal, firma de acuerdo o visita cultural/ceremonia en esta escala de París; se declara incertidumbre en vez de asumir ausencia.",2026-08-18
PELATAM-CHL-12,Yes,Yes,George W. Bush (Estados Unidos) y otros jefes de Estado/Gobierno presentes (más de 50 asistentes a la conferencia),Yes,Yes,No_verificable,Yes,Yes,Kofi Annan (Secretario General de la ONU),"https://www.un.org/es/conf/ffd/2002/ ; reporte ONU de la Conferencia Internacional sobre Financiación para el Desarrollo, Monterrey, 18-22 marzo 2002","La Conferencia de Monterrey fue presidida por el anfitrión Vicente Fox (México) y contó con más de 50 jefes de Estado o Gobierno, incluido George W. Bush, y más de 200 ministros, además de líderes del sector privado y representantes de organismos financieros internacionales. Kofi Annan (Secretario General de la ONU) habló en la sesión de apertura del segmento de jefes de Estado (21 de marzo). Fuentes registran un 'working breakfast' con el presidente Lagos. Más de 50 jefes de Estado/Gobierno realizaron declaraciones ante el plenario, por lo que se asume que Lagos -como uno de los asistentes de alto nivel- dio una alocución pública, consistente con el formato documentado del evento. El Consenso de Monterrey fue aprobado por aclamación el 22-mar-2002.",2026-08-18
PELATAM-CHL-16,Yes,Yes,"Juan Carlos I, Rey de España (asistió de forma continua a todas las Cumbres Iberoamericanas desde 1991, incluida Bávaro), y otros jefes de Estado/Gobierno de la comunidad iberoamericana",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002 ; https://es.wikipedia.org/wiki/XII_Cumbre_Iberoamericana,"La XII Cumbre Iberoamericana (Bávaro, Rep. Dominicana, 15-16 nov 2002) fue presidida por el anfitrión Hipólito Mejía y reunió a los jefes de Estado/Gobierno de los 21 países de la comunidad iberoamericana. El Rey Juan Carlos I asistió sin excepción a todas las cumbres desde su creación en 1991, lo que incluye Bávaro. Se aprobó la Declaración de Bávaro. El formato estándar de estas cumbres incluye intervenciones/discursos de cada jefe de Estado en sesión plenaria (documentado en fuentes SEGIB para el conjunto de cumbres del período). No se halló evidencia específica de sitio cultural, foro empresarial o encuentro con líder de organismo internacional en este viaje.",2026-08-18
PELATAM-CHL-24,Yes,Yes,"Juan Carlos I, Rey de España, y otros jefes de Estado/Gobierno iberoamericanos presentes",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://www.segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004,"La XIV Cumbre Iberoamericana (San José, Costa Rica, 19-20 nov 2004) fue presidida por el anfitrión Abel Pacheco y confirmó la presencia del Rey Juan Carlos I de España como jefe de Estado no anfitrión, junto a los jefes de Estado/Gobierno de los 21 países iberoamericanos. Se aprobó la Declaración de San José, que incluyó la aprobación de los estatutos de la SEGIB. Formato estándar con intervenciones plenarias de cada mandatario. No se halló evidencia específica de sitio cultural, foro empresarial o encuentro con líder de organismo internacional.",2026-08-18
PELATAM-CHL-38,Yes,Yes,"Hugo Chávez (Venezuela), Evo Morales (Bolivia), Daniel Ortega (Nicaragua), Lula da Silva (Brasil), Alan García (Perú), Nicanor Duarte (Paraguay), Álvaro Uribe (Colombia), René Préval (Haití), entre otros jefes de Estado presentes en la ceremonia",No_verificable,No_verificable,Yes,No,No_verificable,,https://www.eluniverso.com/2007/01/15/0001/8/17767864EBFC4686B5A1E732DE7AA6E2.html/ ; https://www.cidob.org/lider-politico/rafael-correa-delgado,"La ceremonia de investidura de Rafael Correa en Quito (15-ene-2007), a la que asistió Bachelet, contó con la presencia confirmada de Chávez, Morales, Ortega, Lula, García, Duarte, Uribe y Préval, entre otros, en el Palacio Legislativo. La asistencia a una ceremonia de investidura constituye en sí misma la 'ceremonia' del campo CulturalSiteOrCeremony. No se encontró evidencia de un discurso propio de Bachelet (el protagonismo discursivo fue de Correa) ni de firma de acuerdo o encuentro con líder de organismo internacional en esta visita puntual.",2026-08-18
PELATAM-CHL-44,Yes,Yes,"Angela Merkel (Alemania), Álvaro Uribe (Colombia), Lula da Silva (Brasil), Donald Tusk (Polonia), entre 46 presidentes/jefes de gobierno confirmados",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://eulacfoundation.org/en/v-eu-lac-summit-lima-declaration-lima-16-may-2008 ; https://mercociudades.org/culmino-la-v-cumbre-alc-ue-con-la-firma-de-la-declaracion-de-lima/,"La V Cumbre ALC-UE (Lima, 13-17 may 2008) fue organizada y presidida por el anfitrión Alan García, quien recibió a 60 líderes (33 de ALC, 27 de la UE); 46 presidentes confirmaron asistencia, incluidos Merkel, Uribe, Lula y Tusk. Culminó con la firma de la Declaración de Lima el 16-may-2008. El formato estándar de estas cumbres birregionales incluye intervenciones plenarias de cada jefe de Estado/Gobierno. Se realizó en paralelo la II Cumbre Empresarial ALC-UE con ~400 empresarios, pero no se halló evidencia específica de participación directa de Bachelet en dicho foro, por lo que se marca No_verificable en ese campo. No se halló evidencia de sitio cultural o encuentro con líder de organismo internacional.",2026-08-18
PELATAM-CHL-45,Yes,Yes,"Cristina Fernández de Kirchner (Argentina), Evo Morales (Bolivia), Hugo Chávez (Venezuela), y los demás jefes de Estado sudamericanos fundadores de UNASUR",Yes,Yes,Yes,No_verificable,No_verificable,,https://www.pagina12.com.ar/diario/ultimas/20-104721-2008-05-23.html ; https://www.sela.org/publicaciones/tratado-constitutivo-de-la-union-de-naciones-suramericanas-unasur-brasilia-23-de-mayo-de-2008/,"El 23-may-2008 se firmó en Brasilia el Tratado Constitutivo de UNASUR, integrado por los 12 países sudamericanos, con Lula (anfitrión) abriendo la cumbre y Bachelet asumiendo como primera presidenta pro tempore de UNASUR. Cristina Fernández de Kirchner confirmó su participación en la cumbre (Página/12); la creación de UNASUR contó con la convergencia de los presidentes de la región (Morales, Chávez, entre otros). Bachelet realizó declaraciones públicas a su llegada ('no podemos perder esta oportunidad'), y la ceremonia de firma/asunción como presidenta pro tempore constituye una ceremonia oficial. No se halló evidencia de foro empresarial ni de encuentro con líder de organismo internacional distinto a los propios jefes de Estado sudamericanos.",2026-08-18
PELATAM-CHL-47,Yes,Yes,"Juan Carlos I, Rey de España, y otros jefes de Estado/Gobierno de los 20 países iberoamericanos presentes",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://segib.org/es/cumbre/xviii-cumbre-iberoamericana/,"La XVIII Cumbre Iberoamericana (San Salvador, 29-30 oct 2008, tema 'Juventud y Desarrollo') fue presidida por el anfitrión Elías Antonio Saca (El Salvador) y reunió a líderes/representantes de 20 países miembros, con el formato estándar de intervenciones plenarias y aprobación de la Declaración de San Salvador. El Rey Juan Carlos I asistía de forma habitual a estas cumbres. No se halló evidencia específica de sitio cultural, foro empresarial o encuentro con líder de organismo internacional para esta cumbre puntual.",2026-08-18
PELATAM-CHL-49,Yes,Yes,"Hugo Chávez (Venezuela), Evo Morales (Bolivia), Cristina Fernández de Kirchner (Argentina), y otros jefes de Estado de América Latina y el Caribe (32 países participantes; ausencia notable de Colombia y Perú)",No_verificable,Yes,No_verificable,No_verificable,No_verificable,,https://en.wikipedia.org/wiki/I_Latin_American_and_Caribbean_Summit_on_Integration_and_Development ; https://www.emol.com/noticias/internacional/2008/12/17/335590/agencia-capta-imagenes-de-michelle-bachelet-banandose-en-costa-do-sauipe.html,"La I Cumbre CALC (Costa do Sauípe, Bahía, 16-17 dic 2008), impulsada por el anfitrión Lula, reunió a la mayoría de jefes de Estado de América Latina y el Caribe (32 países), con ausencia notable de Uribe (Colombia) y García (Perú); Cuba fue admitida como miembro pleno del Grupo de Río. Se produjo una declaración final de la cumbre. No se encontró evidencia específica sobre un discurso individual de Bachelet, sitio cultural/ceremonia oficial, foro empresarial ni encuentro con líder de organismo internacional en esta cumbre puntual.",2026-08-18
