Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name,PELATAM_TripID_insertado,Source_usado_en_COLT
CHL-RL-J001,1,Ricardo Lagos,Chile,Completed,2000-06-29,2000-06-30,2,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,TRUE,Cumbre del MERCOSUR (Chile asociado),NA,Primer viaje internacional del mandato: cumbre del Mercosur; Chile como Estado asociado.,https://arle.udp.cl/index.php/programa-de-actividades-de-presidente-de-la-republica-para-xviii-cumbre-mercosur-en-buenos-aires,High,Primer viaje del mandato.,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-1,https://arle.udp.cl/index.php/programa-de-actividades-de-presidente-de-la-republica-para-xviii-cumbre-mercosur-en-buenos-aires
CHL-RL-J006,7,Ricardo Lagos,Chile,Completed,2001-06-07,2001-06-08,2,France,Europe,Paris,Bilateral,Working Visit,NA,Jacques Chirac,Jefe de Estado/Gobierno,Relaciones bilaterales; acuerdo Chile-UE. Tramo 2 de gira europea.,Search Query: Lagos Francia Chirac junio 2001,Low,Fechas estimadas.,NA,No-verificable,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-7,Search Query: Lagos Francia Chirac junio 2001
CHL-RL-J010,12,Ricardo Lagos,Chile,Completed,2002-03-21,2002-03-22,2,Mexico,North America,Monterrey,Multilateral,Global Forum,NA,Conferencia sobre Financiación para el Desarrollo,NA,Conferencia de Monterrey (Consenso de Monterrey).,https://www.un.org/es/conf/ffd/2002/,Medium,21-22/03/2002 (segmento de alto nivel).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-12,https://www.un.org/es/conf/ffd/2002/
CHL-RL-J014,16,Ricardo Lagos,Chile,Completed,2002-11-15,2002-11-16,2,Dominican Republic,Caribbean,Bávaro,Multilateral,Regional Summit,NA,XII Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Bavaro.,https://segib.org/es/cumbre/xii-cumbre-iberoamericana/,High,"CORREGIDO (2026-07-22): fechas de 23-24/11 a 15-16/11/2002 (error detectado por discrepancia con el Archivo Ricardo Lagos Escobar-UDP). Triple-verificado: SEGIB oficial (segib.org/es/cumbre/xii-cumbre-iberoamericana, 'tuvo lugar...los dias 15 y 16 de noviembre de 2002'), Wikipedia ES (XII Cumbre Iberoamericana) y EcuRed/OEA coinciden en 15-16/11/2002, Bavaro, Rep. Dominicana.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-16,https://segib.org/es/cumbre/xii-cumbre-iberoamericana/
CHL-RL-J022,24,Ricardo Lagos,Chile,Completed,2004-11-19,2004-11-20,2,Costa Rica,Central America,San José,Multilateral,Regional Summit,NA,XIV Cumbre Iberoamericana,NA,Cumbre Iberoamericana de San Jose.,https://www.segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004,High,"Verificar solapamiento con gira asiatica; fechas 19-20/11. QA-R2 2026-07-22: fecha CORREGIDA de 20-22/11 a 19-20/11/2004 (error de 2-3 dias). Fuente oficial SEGIB (segib.org/es/cumbre/xiv-cumbre-iberoamericana y xiv-cumbre-iberoamericana-educar-para-progresar-como-region) fecha la XIV Cumbre Iberoamericana de San Jose, Costa Rica, el 19 y 20 de noviembre de 2004; corroborado por es.wikipedia.org/wiki/XIV_Cumbre_Iberoamericana y por foto oficial SEGIB que confirma asistencia presencial de Ricardo Lagos. Se verifico ademas que Lagos debia estar de vuelta en Santiago para presidir la Cumbre de Lideres APEC (20-21/11/2004, Chile anfitrion); las fechas corregidas (19-20/11) son compatibles con ese regreso, mientras que las fechas previas (20-22/11) generaban un conflicto de agenda con APEC.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-24,https://www.segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004
CHL-MB1-J035,38,Michelle Bachelet,Chile,Completed,2007-01-15,2007-01-15,1,Ecuador,South America,Quito,Bilateral,Inauguration/Funeral,NA,Asunción de Rafael Correa,Jefe de Estado/Gobierno,Asuncion de Rafael Correa en Ecuador.,https://www.cidob.org/lider-politico/rafael-correa-delgado,Medium,"VERIFICADO 2026-07-08: CIDOB confirma la asistencia presencial de Bachelet a la jura de Correa (Quito, 15-01-2007).",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-38,https://www.cidob.org/lider-politico/rafael-correa-delgado
CHL-MB1-J040,44,Michelle Bachelet,Chile,Completed,2008-05-16,2008-05-17,2,Peru,South America,Lima,Multilateral,Regional Summit,TRUE,V Cumbre ALC-Unión Europea,NA,Cumbre ALC-UE de Lima.,https://eulacfoundation.org/en/v-eu-lac-summit-lima-declaration-lima-16-may-2008,High,"16-17/05/2008. Confirmado V Cumbre ALC-UE, Lima, 16/05/2008 (EU-LAC Foundation).",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-44,https://eulacfoundation.org/en/v-eu-lac-summit-lima-declaration-lima-16-may-2008
CHL-MB1-J041,45,Michelle Bachelet,Chile,Completed,2008-05-23,2008-05-23,1,Brazil,South America,Brasília,Multilateral,Regional Summit,TRUE,Firma del Tratado Constitutivo de UNASUR,NA,Firma del tratado de UNASUR; Bachelet asumio como primera presidenta pro tempore.,https://obtienearchivo.bcn.cl/obtienearchivo?id=repositorio/10221/27199/1/UNASUR_Denuncia.pdf,High,23/05/2008. Confirmada firma del Tratado UNASUR el 23/05/2008 y asuncion de Bachelet como primera presidenta pro tempore (BCN).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-45,https://obtienearchivo.bcn.cl/obtienearchivo?id=repositorio/10221/27199/1/UNASUR_Denuncia.pdf
CHL-MB1-J043,47,Michelle Bachelet,Chile,Completed,2008-10-29,2008-10-31,3,El Salvador,Central America,San Salvador,Multilateral,Regional Summit,NA,XVIII Cumbre Iberoamericana,NA,Cumbre Iberoamericana de San Salvador; juventud y desarrollo.,https://www.segib.org/es/cumbres-iberoamericanas/,Medium,29-31/10/2008.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-47,https://www.segib.org/es/cumbres-iberoamericanas/
CHL-MB1-J045,49,Michelle Bachelet,Chile,Completed,2008-12-16,2008-12-17,2,Brazil,South America,Costa do Sauípe,Multilateral,Regional Summit,TRUE,Cumbre ALC sobre Integración y Desarrollo (CALC),NA,Cumbre CALC (semilla de la CELAC); Grupo de Rio y Mercosur ampliado.,https://www.emol.com/noticias/internacional/2008/12/17/335590/agencia-capta-imagenes-de-michelle-bachelet-banandose-en-costa-do-sauipe.html,Medium,16-17/12/2008. Confirmada presencia de Bachelet en Costa do Sauipe 16-17/12/2008 (CALC + reunion UNASUR).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-49,https://www.emol.com/noticias/internacional/2008/12/17/335590/agencia-capta-imagenes-de-michelle-bachelet-banandose-en-costa-do-sauipe.html
