our_Trip_ID,our_President,our_Destination_Country,our_Start_Date,colt_TripID,classification,detail
1,Carlos Menem,Mexico,1994-11-30,334-ARG-MEX-34668,Complementa,CityVisited: 'Mexico City'
2,Carlos Menem,United States,1994-12-09,334-ARG-USA-34677,Complementa,CityVisited: 'Miami'
3,Carlos Menem,Brazil,1994-12-16,334-ARG-BRA-34684,Complementa,CityVisited: 'Ouro Preto'
4,Carlos Menem,Brazil,1995-01-02,334-ARG-BRA-34701,Complementa,CityVisited: 'Brasília'
5,Carlos Menem,Switzerland,1995-01-29,334-ARG-CHE-34728,Complementa,CityVisited: 'Davos'
6,Carlos Menem,South Africa,1995-01-31,334-ARG-ZAF-34730,Complementa,CityVisited: 'Pretoria'
7,Carlos Menem,Brazil,1995-02-20,334-ARG-BRA-34750,Complementa,CityVisited: 'Brasília'
8,Carlos Menem,Peru,1995-07-28,334-ARG-PER-34908,Complementa,CityVisited: 'Lima'
9,Carlos Menem,Ecuador,1995-09-04,334-ARG-ECU-34946,Complementa,CityVisited: 'Quito'
10,Carlos Menem,South Korea,1995-09-29,334-ARG-KOR-34971,Complementa,CityVisited: 'Seoul'
11,Carlos Menem,China,1995-10-02,334-ARG-CHN-34974,Complementa,CityVisited: 'Beijing'
12,Carlos Menem,Philippines,1995-10-05,334-ARG-PHL-34977,Complementa,CityVisited: 'Manila'
13,Carlos Menem,United States,1995-10-22,334-ARG-USA-34994,Complementa,CityVisited: 'New York'
14,Carlos Menem,Uruguay,1995-12-07,334-ARG-URY-35040,Complementa,CityVisited: 'Punta del Este'
15,Carlos Menem,Spain,1995-12-15,334-ARG-ESP-35048,Complementa,CityVisited: 'Madrid'
16,Carlos Menem,Switzerland,1996-02-05,334-ARG-CHE-35100,Complementa,CityVisited: 'Davos'
17,Carlos Menem,France,1996-02-26,334-ARG-FRA-35121,Complementa,CityVisited: 'Paris'
18,Carlos Menem,El Salvador,1996-05-06,334-ARG-SLV-35191,Complementa,CityVisited: 'San Salvador'
19,Carlos Menem,Honduras,1996-05-07,334-ARG-HND-35192,Complementa,CityVisited: 'Tegucigalpa'
20,Carlos Menem,Panama,1996-05-11,334-ARG-PAN-35196,Complementa,CityVisited: 'Panama City'
21,Carlos Menem,Luxembourg,1996-06-08,334-ARG-LUX-35224,Complementa,CityVisited: 'Luxembourg City'
22,Carlos Menem,Belgium,1996-06-10,334-ARG-BEL-35226,Complementa,CityVisited: 'Brussels'
23,Carlos Menem,United States,1996-07-17,334-ARG-USA-35263,Complementa,CityVisited: 'Washington'
24,Carlos Menem,Malaysia,1996-08-22,334-ARG-MYS-35299,Complementa,CityVisited: 'Kuala Lumpur'
25,Carlos Menem,Indonesia,1996-08-25,334-ARG-IDN-35302,Complementa,CityVisited: 'Jakarta'
