TripID,LeaderID,LeaderFullName,TripStartDate,CountryVisited,campos_pendientes,fuente_ya_intentada,justificacion_original
1473-ARG-CHE-36553,1473,Fernando de la Rua,2000-01-28,Switzerland,TripStartDate;TripEndDate,Confirmado que el 30° Foro Económico Mundial (Davos) se realizó del 27 de enero al 3 de febrero de 2000; los colt_links (Lexis/ProQuest) están bloqueados por acceso institucional y no se halló nota de prensa abierta que precise el día exacto de llegada/salida de de la Rúa dentro de esa semana.,Tanto nuestra fecha (27/1-30/1) como la de COLT (28/1-2/2) caen dentro de la semana real del Foro (27 ene-3 feb). Sin poder confirmar el itinerario específico del presidente argentino dentro de esa se
1473-ARG-PRY-37064,1473,Fernando de la Rua,2001-06-22,Paraguay,TripStartDate,https://cancilleria.gob.ar/es/actualidad/comunicados/el-presidente-paraguayo-gonzalez-macchi-visita-la-argentina-para-estrechar (referencia indirecta; no confirma la visita de de la Rúa a Paraguay en junio 2001),"Se confirma que hubo intercambio de visitas presidenciales Argentina-Paraguay en ese período, pero no se pudo acceder a fuente independiente que precise si el arribo de de la Rúa a Asunción fue el 21 "
1826-ARG-PRY-37790,1826,Nestor Kirchner,2003-06-18,Paraguay,TripStartDate;TripEndDate,Cancilleria; prensa regional,"XXIV Cumbre Mercosur en Asuncion fue el 18/6/2003, dentro de ambos rangos; no se pudo precisar llegada/salida exacta."
1826-ARG-ESP-38013,1826,Nestor Kirchner,2004-01-27,Spain,TripStartDate;TripEndDate,El Cronista 15-ene-2004; Infobae,"Se confirma viaje a España en enero 2004 (CEOE, FITUR) pero no fechas exactas de llegada/salida."
1826-ARG-BRA-38062,1826,Nestor Kirchner,2004-03-16,Brazil,TripStartDate;TripEndDate,Busqueda en prensa,No se hallo cobertura con fecha exacta de viaje a Brasil 15-16 marzo 2004.
1826-ARG-BOL-38274,1826,Nestor Kirchner,2004-10-14,Bolivia,TripEndDate,Busqueda en prensa,"No se hallo cobertura que confirme viaje a Bolivia 14-15 octubre 2004 (solo acuerdo de gas abril 2004 en Bs As, evento distinto)."
1826-ARG-BRA-38481,1826,Nestor Kirchner,2005-05-09,Brazil,TripStartDate;TripEndDate,Busqueda en prensa,No se hallo cobertura con fecha exacta de visita a Brasil 9-11 mayo 2005.
1826-ARG-USA-38608,1826,Nestor Kirchner,2005-09-13,United States,TripStartDate;TripEndDate,ONU; CFKArgentina,"Cumbre Mundial 2005 (60 aniversario ONU) fue 14-16 sept 2005, discurso de Kirchner el 14/9, pero no se preciso llegada/salida exacta."
1826-ARG-ESP-38638,1826,Nestor Kirchner,2005-10-13,Spain,TripStartDate;TripEndDate,Busqueda en prensa,"No se hallo cobertura especifica con fechas exactas para este viaje a España octubre 2005 (posible Cumbre Iberoamericana Salamanca, no confirmado)."
1826-ARG-VEN-38677,1826,Nestor Kirchner,2005-11-21,Venezuela,TripStartDate;TripEndDate,Busqueda en prensa,No se hallo cobertura especifica con fecha exacta de este viaje a Venezuela noviembre 2005.
