TripID,LeaderID,LeaderFullName,TripStartDate,CountryVisited,campos_pendientes,fuente_ya_intentada,justificacion_original
1780-BRA-PER-37763,1780,Luiz Inacio Lula da Silva,2003-05-22,Peru,TripEndDate,"Search Query: Lula Peru maio 2003 Cusco (fuente COLT es voanews.com, no institucional pero no aporta fecha de fin exacta)",No se encontro evidencia independiente que confirme si el viaje termino el 24/05 (nuestro) o el 25/05 (COLT); la diferencia es de solo 1 dia y no se pudo dirimir.
1780-BRA-NAM-37931,1780,Luiz Inacio Lula da Silva,2003-11-06,Namibia,TripEndDate,N/D,"No se encontro evidencia independiente adicional (mas alla de los links ya provistos, de Itamaraty/Biblioteca da Presidencia no accesibles via fetch en este entorno) para dirimir si el viaje termino e"
1780-BRA-BOL-37939,1780,Luiz Inacio Lula da Silva,2003-11-14,Bolivia,TripEndDate,N/D,No se encontro evidencia independiente para dirimir si el viaje se extendio al 15/11 (nuestro) o termino el 14/11 (COLT); diferencia de 1 dia sin fuentes accesibles.
1780-BRA-LBN-37959,1780,Luiz Inacio Lula da Silva,2003-12-04,Lebanon,TripStartDate,N/D,No se encontro evidencia independiente para dirimir si el viaje comenzo el 04/12 (COLT) o el 05/12 (nuestro); diferencia de 1 dia sin fuentes accesibles fuera de Itamaraty/Biblioteca da Presidencia (n
1780-BRA-ARE-37961,1780,Luiz Inacio Lula da Silva,2003-12-06,United Arab Emirates,TripStartDate,N/D,No se encontro evidencia independiente para dirimir si el viaje comenzo el 06/12 (COLT) o el 07/12 (nuestro); diferencia de 1 dia sin fuentes accesibles fuera de Itamaraty/Biblioteca da Presidencia (n
1780-BRA-LBY-37964,1780,Luiz Inacio Lula da Silva,2003-12-09,Libya,TripStartDate;TripEndDate,N/D,No se encontro evidencia independiente para dirimir la diferencia de 1 dia en ambas fechas; sin fuentes accesibles fuera de Itamaraty/Biblioteca da Presidencia (no accesibles en este entorno).
1780-BRA-ARG-37909,1780,Luiz Inacio Lula da Silva,2003-10-15,Argentina,TripStartDate;TripEndDate,N/D,"No se encontro evidencia independiente que precise fechas exactas de esta visita de Estado a Argentina en octubre de 2003 (distinta de la asuncion de Kirchner, que fue en mayo de 2003); diferencia de "
1780-BRA-ESP-37918,1780,Luiz Inacio Lula da Silva,2003-10-24,Spain,TripStartDate,N/D,Diferencia de 1 dia (23 nuestro vs 24 COLT); no se encontro evidencia independiente concluyente.
994-BRA-BOL-37069,994,Fernando Henrique Cardoso,2001-06-27,Bolivia,TripStartDate;TripEndDate,"Wikipedia (nota): 'Aecio assume o Planalto por tres dias, com FHC e Maciel em viagem' Folha 22/06/2001","La nota de Folha sugiere que FHC ya estaba de viaje desde antes del 22/06 (posiblemente por Chile/otro compromiso, no necesariamente Bolivia), lo que complica la interpretacion; no se pudo confirmar c"
994-BRA-ARG-36705,994,Fernando Henrique Cardoso,2000-06-28,Argentina,TripStartDate,http://www.mercosur.int/msweb/portal%20intermediario/normas/listados/DECISIONES.pdf,El link de COLT es un PDF de decisiones del Mercosur sin fecha de viaje explicita verificable en este entorno; diferencia de solo 1 dia sin poder dirimir con las busquedas realizadas.
994-BRA-URY-37245,994,Fernando Henrique Cardoso,2001-12-20,Uruguay,TripStartDate,http://www.mercosur.int/msweb/portal%20intermediario/normas/listados/DECISIONES.pdf,Mismo tipo de fuente que el item anterior (documento de decisiones Mercosur sin fecha de viaje explicita); diferencia de 1 dia sin poder dirimir.
994-BRA-ARG-37304,994,Fernando Henrique Cardoso,2002-02-17,Argentina,TripStartDate,Links de COLT son de bases institucionales (Lexis-Nexis/ProQuest via du.idm.oclc.org) inaccesibles en este entorno,"Los tres links de COLT para este item requieren acceso institucional (advance-lexis-com.du.idm.oclc.org, proquest.com via du.idm.oclc.org) que no se pudo verificar; busqueda independiente no arrojo in"
994-BRA-FRA-37193,994,Fernando Henrique Cardoso,2001-10-29,France,TripStartDate,Search Query: Fernando Henrique Cardoso Espanha Franca outubro 2001 Aznar 27 de outubro viagem Paris Madrid,No se hallo fuente independiente que confirme si la etapa francesa comenzo el 27/10 (nuestro) o el 29/10 (COLT); se nota la misma inconsistencia interna de COLT senalada en el item de Espana (994-BRA-
