TripID,LeaderID,LeaderFullName,TripStartDate,CountryVisited,campos_pendientes,fuente_ya_intentada,justificacion_original
2134-CHL-PER-38925,2134,Michelle Bachelet,2006-07-27,Peru,TripStartDate,https://www.emol.com/noticias/nacional/2006/07/29/226590/bachelet-encabezo-junto-a-alan-garcia-parada-militar-en-peru.html,Emol (29-07-2006) confirma la asuncion de Alan Garcia el 28-07 y la Parada Militar el 29-07 (ya reflejado en nuestra base). No se encontro cobertura de prensa que ubique a Bachelet en Lima el 27-07. L
2134-CHL-VEN-39188,2134,Michelle Bachelet,2007-04-16,Venezuela,TripEndDate,https://es.wikipedia.org/wiki/Cumbre_Energ%C3%A9tica_Suramericana,"Fuentes consultadas (Wikipedia, Real Instituto Elcano, IIRSA) coinciden en que la I Cumbre Energetica Suramericana en Isla Margarita se realizo el 16-17 de abril de 2007; ninguna menciona actividad de"
2134-CHL-USA-39348,2134,Michelle Bachelet,2007-09-23,United States,TripStartDate,"https://du.idm.oclc.org (no verificable, acceso institucional)","Los 4 links de COLT son de proquest.com via du.idm.oclc.org, no accesibles (acceso institucional). No se encontro cobertura independiente que confirme actividad de Bachelet en Nueva York el 23-09-2007"
2134-CHL-PRY-39674,2134,Michelle Bachelet,2008-08-14,Paraguay,TripStartDate,"https://www.portalguarani.com (asuncion de Fernando Lugo, 15-08-2008)","Fuentes consultadas confirman la asuncion de Fernando Lugo el 15-08-2008 con presencia de mandatarios de Mercosur y Chile, pero ninguna menciona llegada de Bachelet a Asuncion el 14-08. Los links de C"
2134-CHL-USA-39987,2134,Michelle Bachelet,2009-06-23,United States,TripEndDate,"https://du.idm.oclc.org (no verificable, acceso institucional)","Los links de COLT son de proquest.com via du.idm.oclc.org (no verificable, acceso institucional). No se encontro cobertura independiente sobre esta visita puntual a EE.UU. en junio de 2009 que permita"
2556-CHL-BRA-40276,2556,Sebastian Pinera,2010-04-08,Brazil,TripEndDate,N/A - sin fuente independiente adicional,Nuestra base registra visitas de un dia a Argentina y Brasil el mismo 08-04-2010 (recorrido regional post-asuncion de Piñera). No se hallo cobertura que confirme actividad en Brasil el 09-04. Se manti
2556-CHL-GBR-40467,2556,Sebastian Pinera,2010-10-16,United Kingdom,TripStartDate;TripEndDate,N/A - sin fuente independiente adicional,"Viaje forma parte de una gira europea continua (Londres-Paris-Berlin, Trip_ID 63-65). No se hallo cobertura que confirme actividad en Londres el 16-10 ni que la visita se extendiera al 19-10 (fecha en"
2556-CHL-FRA-40470,2556,Sebastian Pinera,2010-10-19,France,TripEndDate,N/A - sin fuente independiente adicional,"Tramo de la misma gira europea de octubre 2010; nuestra base ya registra el siguiente tramo (Berlin) comenzando el 21-10, por lo que una extension de Paris hasta el 21-10 generaria superposicion. Se m"
2556-CHL-DEU-40472,2556,Sebastian Pinera,2010-10-21,Germany,TripEndDate,N/A - sin fuente independiente adicional,Tramo final de la gira europea de octubre 2010; no se hallo cobertura que confirme actividad en Berlin hasta el 23-10. Se mantiene nuestra fecha por falta de evidencia.
2556-CHL-COL-41417,2556,Sebastian Pinera,2013-05-23,Colombia,TripEndDate,N/A - sin fuente independiente adicional,No se hallo cobertura independiente sobre esta visita puntual a Cali en mayo de 2013 que permita confirmar si se extendio al 24-05. Se mantiene nuestra fecha.
