TripID,LeaderID,LeaderFullName,TripStartDate,CountryVisited,campos_pendientes,fuente_ya_intentada,justificacion_original
1341-PRY-BRA-36137,1341,Raul Cubas Grau,1998-12-08,Brazil,existencia_del_viaje (colt_unico),Busqueda web general sobre Raul Cubas Grau y viajes a Brasil en diciembre de 1998; los SourceLinks de COLT (ProQuest/LexisNexis) estan detras de paywall institucional inaccesible.,"No se encontro ninguna fuente independiente (prensa, gobierno, Wikipedia) que confirme o descarte un viaje de Cubas Grau a Brasil el 8-dic-1998. COLT no incluye notas que den pistas sobre el motivo de"
1341-PRY-BRA-36164,1341,Raul Cubas Grau,1999-01-04,Brazil,existencia_del_viaje (colt_unico),"https://atlas.fgv.br/marcos/governo-fernando-henrique-cardoso-1995-2003/midias/segunda-posse-de-fernando-henrique-cardoso (segunda posesion de FHC confirmada el 1-ene-1999, no el 4-ene)","COLT anota 'Attended Presidential Inauguration' con fecha 1999-01-04, pero la segunda asuncion de Fernando Henrique Cardoso fue el 1 de enero de 1999, tres dias antes. No se hallo fuente que aclare es"
1341-PRY-BRA-36202,1341,Raul Cubas Grau,1999-02-11,Brazil,existencia_del_viaje (colt_unico),"Busqueda web sobre reunion Cubas Grau - Cardoso en Brasilia, febrero de 1999; contexto de mediacion brasileña en la crisis politica paraguaya de 1999.","Hay evidencia circunstancial de que Brasil estuvo activamente involucrado en mediar la crisis politica paraguaya de comienzos de 1999 y que Cubas Grau y Cardoso tuvieron contacto en ese periodo, pero "
1341-PRY-VEN-36193,1341,Raul Cubas Grau,1999-02-02,Venezuela,existencia_del_viaje (colt_unico),"Busqueda sobre lista de mandatarios asistentes a la toma de posesion de Hugo Chavez el 2-feb-1999 (Capitolio Federal, Venezuela).","La toma de posesion de Hugo Chavez el 2 de febrero de 1999 esta ampliamente documentada como un evento con numerosos jefes de Estado invitados, pero no se encontro una lista de asistentes que confirme"
1395-PRY-ARG-37402,1395,Luis Angel Gonzalez Macchi,2002-05-26,Argentina,existencia_del_viaje (colt_unico),"Busqueda web sobre eventos en Argentina el 26-may-2002; revision de cronologia presidencial argentina (Duhalde presidente interino 2-ene-2002 a 25-may-2003, sin asuncion electoral en esa fecha).","No se identifico ninguna toma de posesion presidencial en Argentina el 26 de mayo de 2002 (Duhalde ya gobernaba desde enero 2002 sin ceremonia de asuncion electoral, y la siguiente asuncion presidenci"
1395-PRY-BRA-36339,1395,Luis Angel Gonzalez Macchi,1999-06-28,Brazil,existencia_del_viaje (colt_unico),"Busqueda web sobre viaje de Gonzalez Macchi a Brasil el 28-jun-1999; se hallo referencia (no confirmada de forma independiente) a que Gonzalez Macchi fue anfitrion de una cumbre del Mercosur en Asuncion a mediados de junio de 1999, lo cual no coincide con un viaje a Brasil.","No se encontro fuente independiente que confirme un viaje de Gonzalez Macchi a Brasil el 28-jun-1999. La unica referencia hallada relacionada con ese periodo (cumbre del Mercosur en Asuncion, no en Br"
1395-PRY-BRA-36567,1395,Luis Angel Gonzalez Macchi,2000-02-11,Brazil,existencia_del_viaje (colt_unico),Busqueda web sobre prestamo BNDES a Paraguay y viaje de Gonzalez Macchi a Brasil en febrero de 2000.,No se hallo fuente independiente que confirme el viaje ni el prestamo especifico mencionado en la nota de COLT ('received loan from National bank of Economic and Social Development of Brazil'). Es pla
1395-PRY-BRA-36875,1395,Luis Angel Gonzalez Macchi,2000-12-15,Brazil,existencia_del_viaje (colt_unico),"Busqueda web sobre viaje de Gonzalez Macchi a Brasil el 15-dic-2000; comparacion con nuestro Trip_ID 4 (Florianopolis, Brasil, 2000-12-01, cumbre Mercosur).",No se encontro fuente que confirme este viaje especifico. Nota de precaucion: nuestra base ya tiene un viaje a Brasil (Florianopolis) el 1-dic-2000 por la cumbre del Mercosur; no esta claro si el Trip
1395-PRY-DEU-36811,1395,Luis Angel Gonzalez Macchi,2000-10-12,Germany,existencia_del_viaje (colt_unico),Busqueda web sobre visita de Gonzalez Macchi a Alemania en octubre de 2000.,No se encontro ninguna fuente independiente que confirme o descarte una visita oficial de Gonzalez Macchi a Alemania en octubre de 2000. Las busquedas sobre agenda de Gerhard Schroeder en ese periodo 
1395-PRY-TWN-36419,1395,Luis Angel Gonzalez Macchi,1999-09-16,Taiwan,existencia_del_viaje (colt_unico),"Busqueda web sobre visita de Gonzalez Macchi a Taiwan en septiembre de 1999, incluyendo archivo de president.gov.tw (solo se hallo articulo de 2002, no de 1999).","No se encontro cobertura de prensa ni comunicado oficial de la presidencia de Taiwan que confirme una visita de Gonzalez Macchi en septiembre de 1999 (a diferencia de la visita de agosto de 2002, que "
