TripID,LeaderID,LeaderFullName,TripStartDate,CountryVisited,campos_pendientes,fuente_ya_intentada,justificacion_original
1514-URY-AGO-37911,1514,Jorge Batlle,2003-10-17,Angola,Duration_Days; Start_Date,"Vatican press bulletin (busqueda sin resultado especifico), prensa uruguaya de octubre 2003 (sin resultado especifico) | Idem Start_Date de este mismo item","Este viaje es la tercera etapa de la gira Vaticano-Italia-Angola (Journey_ID URU-JB-J013, oct-2003). Nuestra propia base marca las 3 fechas como 'estimadas'. Los sufijos numericos de los TripID de COL | Misma incertidumbre que Start_Date: la duracion depende del orden real de las 3 escalas de la gira, que no pudo confirmarse independientemente. Nuestra base marca la fecha como estimada."
1514-URY-VAT-37907,1514,Jorge Batlle,2003-10-13,Holy See,Duration_Days; Start_Date,"Busqueda de boletines de prensa vaticanos y prensa uruguaya de octubre 2003, sin resultado especifico | Idem Start_Date de este mismo item","Se detecta un patron llamativo: el TripID de COLT para VAT (37907=13-oct-2003 en serial Excel) coincide con NUESTRA fecha de la escala en Italia (13-oct), y el TripID de COLT para ITA (37905=11-oct-20 | Misma incertidumbre que Start_Date; la duracion depende del orden real Vaticano/Italia, no confirmado independientemente."
1514-URY-ITA-37905,1514,Jorge Batlle,2003-10-11,Italy,Duration_Days; Start_Date,"Busqueda de prensa italiana/uruguaya de octubre 2003, sin resultado especifico | Idem Start_Date de este mismo item",Ver justificacion detallada en el item VAT-37907 (mismo Journey_ID URU-JB-J013): posible intercambio Vaticano/Italia en los datos de COLT. Nuestra base marca esta fecha como estimada. Sin fuente prima | Misma incertidumbre que Start_Date.
1514-URY-ARG-37252,1514,Jorge Batlle,2001-12-27,Argentina,existencia_del_viaje (colt_unico),Busquedas sobre presidencia pro tempore del Mercosur 2001-2002 y crisis politica argentina de diciembre de 2001,"Se confirma que Uruguay (Batlle) ejercio la presidencia pro tempore del Mercosur de julio de 2001 a enero de 2002, lo que hace plausible una ceremonia de traspaso hacia fin de ano, pero no se hallo fu"
1514-URY-BRA-37347,1514,Jorge Batlle,2002-04-01,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,No se encontro cobertura de un viaje de Batlle a Brasil el 1/4/2002. COLT no incluye notas para este item. Sin evidencia en ningun sentido.
1514-URY-BRA-37753,1514,Jorge Batlle,2003-05-12,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web para esta fecha especifica,No se hallo fuente que confirme un viaje de Batlle a Brasil el 12/5/2003. El propio COLT senala 'date of return unclear based on public information available'. Sin evidencia en ningun sentido.
1514-URY-BRA-38232,1514,Jorge Batlle,2004-09-02,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web (se busco especificamente Expointer/Esteio),No se encontro confirmacion de la asistencia de Batlle a una exposicion ganadera en Brasil en septiembre de 2004. Sin evidencia en ningun sentido.
1514-URY-BRA-38295,1514,Jorge Batlle,2004-11-04,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web; COLT tampoco incluye notas para este item,Sin evidencia en ningun sentido sobre un viaje a Brasil el 4/11/2004.
1514-URY-CHL-36596,1514,Jorge Batlle,2000-03-11,Chile,existencia_del_viaje (colt_unico),"Busquedas sobre la asuncion de Ricardo Lagos (11/3/2000, Valparaiso)","El evento en si esta historicamente confirmado (Lagos asumio el 11-mar-2000), pero no se hallo una fuente que confirme especificamente la asistencia de Batlle (quien llevaba apenas 10 dias en el cargo"
1514-URY-CHL-36815,1514,Jorge Batlle,2000-10-16,Chile,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,Sin evidencia en ningun sentido sobre la 56a Asamblea de la Sociedad Interamericana de Prensa y la participacion de Batlle en octubre de 2000.
1514-URY-CHL-37165,1514,Jorge Batlle,2001-10-01,Chile,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,Sin evidencia en ningun sentido sobre un viaje a Chile el 1/10/2001.
1514-URY-COL-37956,1514,Jorge Batlle,2003-12-01,Colombia,existencia_del_viaje (colt_unico),Busqueda sobre actividad de Batlle vinculada a Colombia en diciembre de 2003,"Se encontro referencia a que en diciembre de 2003 Batlle presidio una reunion del Consejo del Mercosur en Montevideo donde se firmo un acuerdo economico que involucraba a Colombia, lo que sugiere que "
1514-URY-DOM-37577,1514,Jorge Batlle,2002-11-17,Dominican Republic,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,Sin evidencia en ningun sentido; el propio COLT marca fechas inciertas ('Date of departure and return unclear').
1514-URY-MEX-38135,1514,Jorge Batlle,2004-05-28,Mexico,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web; COLT tampoco incluye notas,Sin evidencia en ningun sentido sobre un viaje a Mexico el 28/5/2004.
1514-URY-MEX-38237,1514,Jorge Batlle,2004-09-07,Mexico,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,Sin evidencia en ningun sentido sobre el seminario internacional del PNUD en Ciudad de Mexico en septiembre de 2004.
1514-URY-PRY-37064,1514,Jorge Batlle,2001-06-22,Paraguay,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,Sin evidencia en ningun sentido sobre un viaje a Paraguay el 22/6/2001.
1514-URY-USA-37004,1514,Jorge Batlle,2001-04-23,United States,existencia_del_viaje (colt_unico),"Contexto general sobre el brote de fiebre aftosa en Uruguay en 2001 (segunda ola, mayo 2001)","La nota de COLT sobre 'visita acortada por brote de aftosa' es cronologicamente consistente con el segundo brote de aftosa en Uruguay, pero no se encontro una fuente especifica que confirme este viaje"
1514-URY-USA-37137,1514,Jorge Batlle,2001-09-03,United States,existencia_del_viaje (colt_unico),N/A - no se investigo en profundidad por limite de alcance de la busqueda,Sin evidencia en ningun sentido sobre la 'Declaracion de la Cumbre' mencionada por COLT para el 3/9/2001 en EE.UU.
1514-URY-USA-37730,1514,Jorge Batlle,2003-04-19,United States,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web sobre la Conferencia de la OPS de abril de 2003,Sin evidencia en ningun sentido sobre la asistencia de Batlle a la Conferencia de la Organizacion Panamericana de la Salud en Washington DC en abril de 2003.
1514-URY-USA-37880,1514,Jorge Batlle,2003-09-16,United States,existencia_del_viaje (colt_unico),"Busqueda sobre la VIII Reunion Ministerial del ALCA, Miami (que resulto ser 20-21 de noviembre de 2003, no septiembre)","La reunion ministerial oficial del ALCA en Miami fue en noviembre de 2003, no en septiembre, lo que genera dudas sobre la fecha exacta de COLT (16-sep-2003). Podria tratarse de un viaje de lobby/promo"
1514-URY-VEN-36718,1514,Jorge Batlle,2000-07-11,Venezuela,existencia_del_viaje (colt_unico),Contexto general sobre la primera sesion de trabajo de la III Cumbre de las Americas entre Chavez y Batlle,"Se encontro referencia generica a que Chavez y Batlle participaron de la primera sesion de trabajo de la III Cumbre de las Americas, pero no se confirmo especificamente un viaje a Venezuela el 11/7/20"
191-URY-ARG-36117,191,Julio Maria Sanguinetti,1998-11-18,Argentina,existencia_del_viaje (colt_unico),"Contexto general sobre el dragado de los canales de Martin Garcia (busqueda.com.uy, mundomaritimo.cl)","Se confirma el proyecto binacional de dragado del Canal Martin Garcia entre Argentina y Uruguay en esos anios, pero no se encontro una fuente que confirme especificamente un encuentro Sanguinetti-Mene"
191-URY-BRA-35554,191,Julio Maria Sanguinetti,1997-05-04,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,"No se encontro cobertura de prensa digital disponible sobre un viaje de Sanguinetti a Brasil el 4/5/1997. Los SourceLink de COLT para este TripID son de ProQuest, inaccesibles. Sin evidencia en ningun"
191-URY-BRA-36194,191,Julio Maria Sanguinetti,1999-02-03,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,No se encontro informacion sobre un viaje de Sanguinetti a Brasil el 3/2/1999 (dias despues de la devaluacion del real). El propio COLT no incluye notas para este item. Sin evidencia en ningun sentido
191-URY-BRA-36212,191,Julio Maria Sanguinetti,1999-02-21,Brazil,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,No se encontro informacion sobre un viaje de Sanguinetti a Brasil el 21/2/1999. El propio COLT marca fechas de salida/regreso inciertas. Nota: esta muy cerca en el tiempo del item BRA-36194 (3/2/1999)
191-URY-BRA-36339,191,Julio Maria Sanguinetti,1999-06-28,Brazil,existencia_del_viaje (colt_unico),Contexto general sobre reunion extraordinaria del Grupo Mercado Comun en junio de 1999 por la crisis del real,"Se confirma que en junio de 1999 hubo una reunion extraordinaria vinculada a la coordinacion macroeconomica del Mercosur tras la devaluacion brasilena, pero no se encontro confirmacion de que fuera un"
191-URY-COL-35842,191,Julio Maria Sanguinetti,1998-02-16,Colombia,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,No se encontro cobertura sobre un viaje de Sanguinetti a Colombia el 16/2/1998. El propio COLT senala que no esta claro si hubo conversaciones bilaterales. Sin evidencia en ningun sentido.
191-URY-EGY-35886,191,Julio Maria Sanguinetti,1998-04-01,Egypt,existencia_del_viaje (colt_unico),Contexto general sobre la Fuerza Multinacional de Paz y Observadores (MFO) en el Sinai con participacion uruguaya,"Se confirma que Uruguay integra historicamente la MFO en el Sinai y que presidentes uruguayos han visitado a las tropas alli destacadas, pero no se encontro una fuente que confirme especificamente la "
191-URY-EGY-35897,191,Julio Maria Sanguinetti,1998-04-12,Egypt,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,El propio COLT indica que el proposito de esta visita es incierto. No se encontro informacion adicional. Ver nota en el item EGY-35886 sobre posible duplicado interno de COLT (ambos TripID a Egipto co
191-URY-MEX-35368,191,Julio Maria Sanguinetti,1996-10-30,Mexico,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes con fecha especifica,"No se encontro confirmacion especifica de un viaje de Sanguinetti a Mexico el 30/10/1996. Se encontro evidencia de una relacion de trabajo posterior entre Sanguinetti y Zedillo en temas de democracia,"
191-URY-PAN-35843,191,Julio Maria Sanguinetti,1998-02-17,Panama,existencia_del_viaje (colt_unico),Referencias indirectas a la relacion Sanguinetti-Perez Balladares (Circulo de Montevideo) sin fecha especifica,"Se confirma una relacion cercana entre Sanguinetti y el presidente panameno Perez Balladares (incluyendo acuerdos de cooperacion), pero no se encontro una fuente que fechara especificamente una visita"
191-URY-PRY-35665,191,Julio Maria Sanguinetti,1997-08-23,Paraguay,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,"No se encontro informacion sobre un viaje de Sanguinetti a Paraguay el 23/8/1997 (dos meses despues de la XII Cumbre de Mercosur del 19/6/1997, que si esta confirmada). Sin evidencia en ningun sentido"
191-URY-PRY-36325,191,Julio Maria Sanguinetti,1999-06-14,Paraguay,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes en busqueda web,Para junio de 1999 el presidente paraguayo ya no era Wasmosy (su mandato termino en agosto de 1998); no se encontro confirmacion de una cumbre en Asuncion el 14/6/1999. Sin evidencia en ningun sentido
191-URY-ESP-36081,191,Julio Maria Sanguinetti,1998-10-13,Spain,existencia_del_viaje (colt_unico),N/A - sin confirmacion directa de esta escala especifica en Madrid,"Es consistente en tiempo con el confirmado viaje a Portugal tres dias despues (Cumbre Iberoamericana de Oporto, 16-18/10/1998) y con la fundacion por Sanguinetti del Circulo de Montevideo, con sede vi"
191-URY-USA-35927,191,Julio Maria Sanguinetti,1998-05-12,United States,existencia_del_viaje (colt_unico),N/A - sin resultados relevantes sobre la cena del AJC de mayo 1998,No se encontro cobertura del evento del American Jewish Committee ni de la visita a Florida International University y al Museo del Holocausto en Washington en mayo de 1998. Sin evidencia en ningun se
191-URY-VEN-36191,191,Julio Maria Sanguinetti,1999-01-31,Venezuela,existencia_del_viaje (colt_unico),N/A - sin confirmacion directa,"La fecha (31/1/1999) es cercana a la asuncion de Hugo Chavez como presidente de Venezuela (2/2/1999), a la que asistieron numerosos jefes de Estado, pero no se encontro una lista de asistentes que con"
2029-URY-EGY-42885,2029,Tabare Vazquez,2017-05-31,Egypt,Duration_Days,https://www.gub.uy/presidencia/comunicacion/noticias/presidente-vazquez-comenzo-gira-oficial-austria-egipto-suiza,"La fuente oficial confirma actividades concretas en El Cairo el miercoles 31-may y el jueves 1-jun, pero no especifica el dia exacto de partida hacia Ginebra (la actividad alli recien se retoma el lun"
2029-URY-CHE-42890,2029,Tabare Vazquez,2017-06-04,Switzerland,Duration_Days; Start_Date,https://www.gub.uy/presidencia/comunicacion/noticias/presidente-vazquez-comenzo-gira-oficial-austria-egipto-suiza,"La fuente oficial de la gira confirma que 'la actividad oficial se retomara el lunes 5 de junio en Ginebra' pero no especifica el dia exacto de arribo a esa ciudad (podria ser el 3 o el 4-jun). No se  | Misma razon que Start_Date: ambas bases coinciden en el End_Date (6-jun), por lo que la diferencia de duracion depende enteramente del dia de arribo a Ginebra, que no pudo confirmarse con la fuente di"
2029-URY-USA-42631,2029,Tabare Vazquez,2016-09-18,United States,Duration_Days; Start_Date,https://www.gub.uy/presidencia/comunicacion/videos/discurso-del-presidente-tabare-vazquez-ante-asamblea-general-naciones-unidas,"La unica fecha confirmada con certeza por fuente oficial es la del discurso presidencial (20-sep-2016), que cae dentro de ambos rangos propuestos (19-21 nuestro, 18-22 COLT). No se encontro evidencia  | Misma razon: la fecha confirmada del discurso (20-sep) no permite discriminar entre una duracion de 3 dias (nuestra base) o 5 dias (COLT, que incluye ademas un evento lateral en Johns Hopkins Bloomber"
