Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
ARG-DLR-J001,83,Fernando de la Rúa,Argentina,Completed,2000-01-25,2000-01-27,3,Sweden,Europe,Stockholm,Multilateral,Global Forum,NA,Foro Internacional de Estocolmo sobre el Holocausto,NA,Participacion en el Foro Internacional sobre el Holocausto en Estocolmo; primer viaje al exterior del mandato.,https://www.cronista.com/economia-politica/Primeros-viajes-oficiales-que-destinos-eligieron-los-ex-presidentes-20200116-0035.html,Medium,Fechas aproximadas; viajo en avion comercial via Frankfurt. Dia fin estimado por encadenar con Davos.,Derechos Humanos,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-DLR-J006,96,Fernando de la Rúa,Argentina,Completed,2000-12-14,2000-12-15,2,Brazil,South America,Florianópolis,Multilateral,Regional Summit,NA,Cumbre de Jefes de Estado del MERCOSUR (Florianópolis),NA,Cumbre del MERCOSUR en Florianopolis; metas macroeconomicas comunes y solucion de controversias.,http://www.scielo.br/j/spp/a/MbMFj5mfNjLyPJ7qmTYP3xS/?lang=es,Medium,Cumbre de mediados de diciembre 2000 (Scielo); dia exacto estimado.,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-DLR-J009,103,Fernando de la Rúa,Argentina,Completed,2001-08-17,2001-08-18,2,Chile,South America,Santiago,Multilateral,Regional Summit,NA,XV Cumbre del Grupo de Río (Santiago),NA,XV Cumbre de Jefes de Estado del Grupo de Rio en Santiago de Chile; articulacion de consensos regionales.,https://www.diputados.gob.mx/comisiones/exteriores/cumbres/gruporio.htm,High,"Fechas (17-18 ago 2001) referidas en comunicado oficial MERCOSUR. | QA-R2 2026-07-22: URL original (comunicado Cancilleria sobre 10 anios Tratado de Asuncion, MERCOSUR jun-2001) no respaldaba el hecho descrito (XV Cumbre del Grupo de Rio, Santiago, 17-18 ago 2001) -- fue reutilizada por error de la fila Trip_ID 9. Reemplazada por fuente real que transcribe la Declaracion de Santiago y confirma fechas y respaldo de la region a De la Rua/Argentina.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-EDU-J018,115,Eduardo Duhalde,Argentina,Completed,2002-11-15,2002-11-16,2,Dominican Republic,Caribbean,Bávaro,Multilateral,Regional Summit,TRUE,XII Cumbre Iberoamericana (Bávaro),NA,Respaldo regional a la negociacion con el FMI (Declaracion Especial). Bilaterales al margen probables con Aznar y Cardoso.,https://segib.org/?summit=xii-cumbre-iberoamericana-bavaro-2002,High,21 paises; Declaracion de Bavaro + declaracion especial sobre Argentina-FMI.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-EDU-J022,119,Eduardo Duhalde,Argentina,Completed,2003-01-25,2003-01-27,3,Switzerland,Europe,Davos,Multilateral,Global Forum,NA,Foro Económico Mundial (WEF) 2003,NA,Reclamo contra el proteccionismo de paises centrales y el 'doble estandar' del FMI; panel con Soros y Rogoff. Unico viaje a Europa del mandato.,https://www.lanacion.com.ar/economia/duhalde-cuestiono-al-fmi-y-provoco-un-duro-debate-nid469268/,High,WEF 23-28 ene 2003; intervencion de Duhalde ~25-27 ene (estimado).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-NK-J027,126,Néstor Kirchner,Argentina,Completed,2003-07-12,2003-07-12,1,Spain,Europe,Madrid,Bilateral,Working Visit,NA,Empresarios espanoles (CEOE),Otro actor no estatal,Reunion tensa con empresarios; impugno ganancias de los anios 90. Tramo de la primera gira europea.,https://www.infobae.com/politica/2020/10/27/nestor-kirchner-y-el-inicio-de-una-politica-exterior-confrontativa/,Medium,"Fecha estimada (previa al 13 jul en Londres); Campos de micro-conducta (MetHostHOGS y afines) completados desde Diplometrics COLT, 2026-08-03.",NA,Verificada-URL,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
ARG-CFK-J054,174,Cristina Fernández de Kirchner,Argentina,Completed,2008-02-22,2008-02-22,1,Brazil,South America,Brasília,Bilateral,Working Visit,NA,Lula da Silva,Jefe de Estado/Gobierno,MICBA; Declaracion de la Casa Rosada. Agenda bilateral e integracion.,https://cancilleria.gob.ar/es/actualidad/comunicados/visita-de-estado-de-la-presidenta-cristina-fernandez-de-kirchner-brasil,Medium,"Fecha estimada (declaracion conjunta 22/02/2008). QA-R3 2026-07-26: revisado (un subagente lo marco candidata a eliminar por supuesta inversion origen/destino). Verificacion independiente: el titulo oficial de la fuente citada (cancilleria.gob.ar) es literalmente ""Visita de Estado de la Presidenta Cristina Fernandez de Kirchner a Brasil: Declaracion Conjunta"", lo que confirma que CFK SI viajo a Brasil el 22-feb-2008 (no al reves). El nombre ""Declaracion de la Casa Rosada"" es solo el nombre del documento, no indica lugar de firma. Fila CONFIRMADA correcta, no se modifica.",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-CFK-J061,181,Cristina Fernández de Kirchner,Argentina,Completed,2008-06-01,2008-06-01,1,Venezuela,South America,Caracas,Bilateral,Working Visit,NA,Hugo Chávez,Jefe de Estado/Gobierno,Una de las seis visitas a Venezuela del primer mandato; agenda energetica y financiera.,Search Query: Cristina Kirchner Venezuela Chavez 2008 visita,Low,Fecha estimada YYYY-MM-01; Venezuela=6 visitas en el mandato (Perfil). Una representativa.,NA,No-verificable,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-CFK-J094,259,Cristina Fernández de Kirchner,Argentina,Completed,2013-01-11,2013-01-12,2,Cuba,Caribbean,Havana,Bilateral,Working Visit,FALSE,Gira Asia (escala inicial en Cuba),Jefe de Estado/Gobierno,Escala inicial de la gira asiatica de enero 2013 (La Habana). Tramo 0 previo a EAU-Indonesia-Vietnam.,https://www.cfkargentina.com/seychelles-cristina-paraiso-fiscal-kirchner/,Medium,CORRECCION rechequeo: tramo Cuba (11-12 ene 2013) faltaba en la gira J094. Confirmado por sitio oficial CFK.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-CFK-J106,281,Cristina Fernández de Kirchner,Argentina,Completed,2014-06-14,2014-06-15,2,Bolivia,South America,Santa Cruz de la Sierra,Multilateral,Regional Summit,NA,Cumbre G77+China (50° aniversario),NA,Foro Sur-Sur 'Hacia un nuevo orden mundial para vivir bien'; anfitrion Evo Morales.,https://www.cfkargentina.com/g77china-hacia-un-nuevo-orden-mundial-para-vivir-bien/,High,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-MM-J135,325,Mauricio Macri,Argentina,Completed,2017-05-24,2017-05-24,1,Ecuador,South America,Quito,Bilateral,Inauguration/Funeral,NA,Asunción de Lenín Moreno,Jefe de Estado/Gobierno,Representar a Argentina en el cambio de mando.,https://www.infobae.com/politica/2017/05/24/mauricio-macri-sufrio-una-leve-descompensacion-en-ecuador/,Medium,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-MM-J143,337,Mauricio Macri,Argentina,Completed,2018-08-15,2018-08-15,1,Paraguay,South America,Asunción,Bilateral,Inauguration/Funeral,NA,Asunción de Mario Abdo Benítez,Jefe de Estado/Gobierno,Representar a Argentina en el cambio de mando.,https://www.casarosada.gob.ar/informacion/actividad-oficial/9-noticias/43400-macri-asistio-a-la-ceremonia-de-asuncion-del-nuevo-presidente-de-paraguay,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-MM-J145,339,Mauricio Macri,Argentina,Completed,2018-12-18,2018-12-18,1,Uruguay,South America,Montevideo,Multilateral,Regional Summit,TRUE,53ª Cumbre del MERCOSUR,NA,Argentina recibe presidencia pro tempore; condena a Venezuela; acuerdo con UE.,https://www.infobae.com/politica/2018/12/18/mauricio-macri-asumio-como-presidente-del-mercosur-y-volvio-a-condenar-la-dictadura-en-venezuela/,High,NA,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-AF-J174,393,Alberto Fernández,Argentina,Completed,2023-01-01,2023-01-01,1,Brazil,South America,Brasília,Multilateral,Inauguration/Funeral,TRUE,Asunción de Luiz Inácio Lula da Silva,NA,Participó de la asunción del tercer mandato de Lula da Silva en Brasilia; bilateral el mismo día en el Palacio Itamaraty.,https://www.casarosada.gob.ar/slider-principal/49503-el-presidente-llego-a-brasil-para-asistir-a-la-asuncion-de-lula,High,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-JM-J174,413,Javier Milei,Argentina,Completed,2024-02-23,2024-02-24,2,United States,North America,Washington D.C.,Multilateral,Global Forum,NA,CPAC (Conferencia de Acción Política Conservadora),NA,Discurso en la CPAC; encuentro con Donald Trump y figuras de la derecha global.,https://www.casarosada.gob.ar/informacion/discursos/50371-palabras-del-presidente-de-la-nacion-javier-milei-en-la-conferencia-politica-de-accion-conservadora-cpac-en-washington-estados-unidos,High,"CPAC = evento partidario; clasificado Other/Working Visit. CPAC: foro ideologico partidario -> Multilateral/CPG (doctrina 2026-07-07, consistencia con Foro de Sao Paulo/Cumbre Progresista).",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-JM-J904,454,Javier Milei,Argentina,Completed,2026-01-17,2026-01-18,2,Paraguay,South America,Asunción,Multilateral,Regional Summit,NA,Firma del acuerdo MERCOSUR-UE,NA,Testigo de honor en la firma del acuerdo MERCOSUR-Union Europea; respaldo a Pena; anuncio envio al Congreso.,https://www.casarosada.gob.ar/informacion/discursos/51152-discurso-del-presidente-javier-milei-durante-la-ceremonia-de-firma-del-acuerdo-entre-el-mercosur-y-la-union-europea,High,Partio luego a Davos (viaje ya cargado).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-JM-J194,455,Javier Milei,Argentina,Completed,2026-01-20,2026-01-22,3,Switzerland,Europe,Davos,Multilateral,Global Forum,NA,Foro Económico Mundial (WEF),NA,Tercer discurso consecutivo en Davos.,https://www.weforum.org/stories/2026/01/davos-2026-special-address-by-javier-milei-president-of-argentina/,High,"QA-R6 2026-07-26: DISCREPANCIA MENOR (fecha). Cobertura de prensa (LA NACION 13-ene-2026 y otras, agenda confirmada) indica que Milei arribo a Suiza el martes 20-ene a las 15:30 y permanecio hasta el jueves 22-ene por la noche (aterrizaje de regreso en Argentina la madrugada del viernes 23-ene); el propio discurso especial en Davos (fuente weforum.org) se dio el 22-ene-2026. Se corrige End_Date de 21 a 22-ene-2026 (3 dias en Suiza, no 2).",Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-JM-J905,456,Javier Milei,Argentina,Completed,2026-02-18,2026-02-19,2,United States,North America,Washington DC,Multilateral,Global Forum,NA,Junta de la Paz (Board of Peace),NA,Primera sesion de la Junta de la Paz de Trump; ofrecio los Cascos Blancos para la reconstruccion de Gaza.,https://www.infobae.com/politica/2026/02/19/durante-la-primera-sesion-de-la-junta-de-paz-javier-milei-ofrecio-los-cascos-blancos-para-la-reconstruccion-de-gaza/,High,14º viaje a EEUU del mandato.,Seguridad,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-JM-J906,457,Javier Milei,Argentina,Completed,2026-03-07,2026-03-10,4,United States,North America,Miami / New York,Multilateral,Global Forum,TRUE,Cumbre Escudo de las Américas / Argentina Week,NA,Cumbre Escudo de las Americas (Doral) con almuerzo de trabajo de Trump; inauguro Argentina Week en NY.,https://www.state.gov/translations/spanish/estados-unidos-sera-anfitrion-de-la-cumbre-escudo-de-las-americas,High,Arribo a Doral el 6-mar por la noche; 16º viaje a EEUU.,Seguridad,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG-JM-J907,458,Javier Milei,Argentina,Completed,2026-03-11,2026-03-11,1,Chile,South America,Valparaíso,Multilateral,Inauguration/Funeral,FALSE,Asunción de José Antonio Kast,NA,Asuncion de Kast; la bilateral prevista en Cerro Castillo se suspendio a ultimo momento.,https://www.ambito.com/politica/javier-milei-participa-la-asuncion-jose-antonio-kast-chile-n6254788,High,Bilateral con Kast cancelada por demoras.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
