Trip_ID,President,Start_Date,End_Date,Destination_Country,Destination_City,Visit_Subtype,Counterpart_Event,Trip_Objective,Source_Verification,Source_Reliability
1,Ricardo Lagos,2000-06-29,2000-06-30,Argentina,Buenos Aires,Regional Summit,Cumbre del MERCOSUR (Chile asociado),Primer viaje internacional del mandato: cumbre del Mercosur; Chile como Estado asociado.,https://arle.udp.cl/index.php/programa-de-actividades-de-presidente-de-la-republica-para-xviii-cumbre-mercosur-en-buenos-aires,High
7,Ricardo Lagos,2001-06-07,2001-06-08,France,Paris,Working Visit,Jacques Chirac,Relaciones bilaterales; acuerdo Chile-UE. Tramo 2 de gira europea.,Search Query: Lagos Francia Chirac junio 2001,Low
12,Ricardo Lagos,2002-03-21,2002-03-22,Mexico,Monterrey,Global Forum,Conferencia sobre Financiación para el Desarrollo,Conferencia de Monterrey (Consenso de Monterrey).,https://www.un.org/es/conf/ffd/2002/,Medium
16,Ricardo Lagos,2002-11-15,2002-11-16,Dominican Republic,Bávaro,Regional Summit,XII Cumbre Iberoamericana,Cumbre Iberoamericana de Bavaro.,https://segib.org/es/cumbre/xii-cumbre-iberoamericana/,High
24,Ricardo Lagos,2004-11-19,2004-11-20,Costa Rica,San José,Regional Summit,XIV Cumbre Iberoamericana,Cumbre Iberoamericana de San Jose.,https://www.segib.org/?summit=xiv-cumbre-iberoamericana-san-jose-2004,High
38,Michelle Bachelet,2007-01-15,2007-01-15,Ecuador,Quito,Inauguration/Funeral,Asunción de Rafael Correa,Asuncion de Rafael Correa en Ecuador.,https://www.cidob.org/lider-politico/rafael-correa-delgado,Medium
44,Michelle Bachelet,2008-05-16,2008-05-17,Peru,Lima,Regional Summit,V Cumbre ALC-Unión Europea,Cumbre ALC-UE de Lima.,https://eulacfoundation.org/en/v-eu-lac-summit-lima-declaration-lima-16-may-2008,High
45,Michelle Bachelet,2008-05-23,2008-05-23,Brazil,Brasília,Regional Summit,Firma del Tratado Constitutivo de UNASUR,Firma del tratado de UNASUR; Bachelet asumio como primera presidenta pro tempore.,https://obtienearchivo.bcn.cl/obtienearchivo?id=repositorio/10221/27199/1/UNASUR_Denuncia.pdf,High
47,Michelle Bachelet,2008-10-29,2008-10-31,El Salvador,San Salvador,Regional Summit,XVIII Cumbre Iberoamericana,Cumbre Iberoamericana de San Salvador; juventud y desarrollo.,https://www.segib.org/es/cumbres-iberoamericanas/,Medium
49,Michelle Bachelet,2008-12-16,2008-12-17,Brazil,Costa do Sauípe,Regional Summit,Cumbre ALC sobre Integración y Desarrollo (CALC),Cumbre CALC (semilla de la CELAC); Grupo de Rio y Mercosur ampliado.,https://www.emol.com/noticias/internacional/2008/12/17/335590/agencia-capta-imagenes-de-michelle-bachelet-banandose-en-costa-do-sauipe.html,Medium
