"Pais","Agregados","Modificados","Eliminados","Pendientes_de_validar"
"Argentina","25","96","4","75"
"Bolivia","12","14","0","30"
"Brasil","27","94","5","49"
"Chile","60","101","7","68"
"Colombia","7","39","0","50"
"Ecuador","Sin iniciar","Sin iniciar","Sin iniciar","Sin iniciar"
"Guyana","Sin iniciar","Sin iniciar","Sin iniciar","Sin iniciar"
"Paraguay","49","54","16","120"
"Peru","5","25","0","28"
"Surinam","Sin iniciar","Sin iniciar","Sin iniciar","Sin iniciar"
"Uruguay","29","56","6","69"
"Venezuela","Sin iniciar","Sin iniciar","Sin iniciar","Sin iniciar"
