"Leader_nombre","LeaderCountryOrIGO","n_viajes"
"Hugo Chavez","Venezuela",344
"Luiz Inacio Lula da Silva","Brazil",305
"Evo Morales","Bolivia",284
"Rafael Correa","Ecuador",189
"Juan Manuel Santos","Colombia",151
"Bharrat Jagdeo","Guyana",146
"Michelle Bachelet","Chile",139
"Alvaro Uribe","Colombia",135
"Ricardo Lagos Escobar","Chile",135
"Fernando Henrique Cardoso","Brazil",120
"Cristina Fernandez de Kirchner","Argentina",118
"Nicolas Maduro","Venezuela",117
"Sebastian Pinera","Chile",112
"Tabare Vazquez","Uruguay",105
"Alberto Fujimori","Peru",93
"Carlos Saul Menem","Argentina",84
"Gustavo Petro","Colombia",74
"Jose Mujica","Uruguay",74
"Fernando Lugo","Paraguay",72
"Dilma Rousseff","Brazil",70
"Ollanta Humala","Peru",67
"Horacio Cartes","Paraguay",64
"Eduardo Frei Ruiz-Tagle","Chile",63
"Alejandro Toledo","Peru",61
"Nestor Kirchner","Argentina",58
"Juan Carlos Wasmosy","Paraguay",57
"Mario Abdo Benitez","Paraguay",55
"Nicanor Duarte","Paraguay",55
"Santiago Pena","Paraguay",55
"Alberto Fernandez","Argentina",54
"Mauricio Macri","Argentina",54
"Gabriel Boric","Chile",53
"Irfaan Ali","Guyana",52
"Andres Pastrana Arango","Colombia",51
"Ivan Duque","Colombia",50
"Jorge Batlle","Uruguay",50
"Daniel Noboa","Ecuador",48
"David Granger","Guyana",48
"Luis Arce","Bolivia",47
"Chandrikapersad Santokhi","Suriname",45
"Javier Milei","Argentina",45
"Gonzalo Sanchez de Lozada","Bolivia",43
"Alan Garcia","Peru",40
"Ronald Venetiaan","Suriname",40
"Desi Bouterse","Suriname",38
"Guillermo Lasso","Ecuador",36
"Julio Maria Sanguinetti","Uruguay",33
"Lenin Moreno","Ecuador",33
"Luis Lacalle Pou","Uruguay",33
"Rafael Caldera","Venezuela",33
"Donald Ramotar","Guyana",32
"Fernando de la Rua","Argentina",32
"Jair Bolsonaro","Brazil",32
"Gustavo Noboa","Ecuador",30
"Ernesto Samper Pizano","Colombia",26
"Luis Angel Gonzalez Macchi","Paraguay",26
"Cheddi Jagan","Guyana",23
"Lucio Gutierrez","Ecuador",22
"Jamil Mahuad","Ecuador",21
"Michel Temer","Brazil",21
"Alfredo Palacio","Ecuador",20
"Carlos Mesa","Bolivia",20
"Hugo Banzer Suarez","Bolivia",19
"Dina Boluarte","Peru",17
"Martin Vizcarra","Peru",16
"Sixto Duran-Ballen","Ecuador",16
"Eduardo Duhalde","Argentina",15
"Jules Wijdenbosch","Suriname",15
"Janet Jagan","Guyana",14
"Pedro Pablo Kuczynski","Peru",14
"Yamandu Orsi","Uruguay",12
"Pedro Castillo","Peru",10
"Fabian Alarcon","Ecuador",9
"Itamar Franco","Brazil",7
"Eduardo Rodriguez","Bolivia",6
"Jorge Quiroga Ramirez","Bolivia",5
"Abdala Bucaram","Ecuador",4
"Federico Franco","Paraguay",4
"Luis Alberto Lacalle","Uruguay",4
"Raul Cubas Grau","Paraguay",4
"Jennifer Geerlings-Simons","Suriname",3
"Cesar Gaviria Trujillo","Colombia",2
"Jose Jeri","Peru",1
