"Periodo5","Visit_Category","n","participacion"
1990,"Bilateral",34,0.377777777777778
1990,"Multilateral",42,0.466666666666667
1990,"Other",14,0.155555555555556
1995,"Bilateral",229,0.386172006745363
1995,"Multilateral",244,0.411467116357504
1995,"Other",120,0.202360876897133
2000,"Bilateral",312,0.389513108614232
2000,"Multilateral",377,0.470661672908864
2000,"Other",112,0.139825218476904
2005,"Bilateral",450,0.428163653663178
2005,"Multilateral",474,0.450999048525214
2005,"Other",127,0.120837297811608
2010,"Bilateral",341,0.370249728555917
2010,"Multilateral",406,0.440825190010858
2010,"Other",174,0.188925081433225
2015,"Bilateral",281,0.383879781420765
2015,"Multilateral",304,0.415300546448087
2015,"Other",147,0.200819672131148
2020,"Bilateral",229,0.386172006745363
2020,"Multilateral",258,0.435075885328836
2020,"Other",106,0.178752107925801
2025,"Bilateral",75,0.416666666666667
2025,"Multilateral",70,0.388888888888889
2025,"Other",35,0.194444444444444
