"Leader_nombre","CountryVisited","n_viajes"
"Abdala Bucaram","Bolivia",1
"Abdala Bucaram","Chile",1
"Abdala Bucaram","Colombia",1
"Abdala Bucaram","Peru",1
"Alan Garcia","Ecuador",5
"Alan Garcia","Chile",4
"Alan Garcia","United States",4
"Alan Garcia","Argentina",3
"Alan Garcia","Brazil",3
"Alberto Fernandez","Brazil",5
"Alberto Fernandez","France",4
"Alberto Fernandez","Italy",4
"Alberto Fernandez","Spain",4
"Alberto Fernandez","United States",4
"Alberto Fujimori","Brazil",14
"Alberto Fujimori","United States",11
"Alberto Fujimori","Bolivia",7
"Alberto Fujimori","Japan",7
"Alberto Fujimori","Colombia",5
"Alejandro Toledo","United States",11
"Alejandro Toledo","Brazil",7
"Alejandro Toledo","Bolivia",6
"Alejandro Toledo","Spain",5
"Alejandro Toledo","Chile",4
"Alfredo Palacio","Peru",3
"Alfredo Palacio","United States",2
"Alfredo Palacio","Argentina",1
"Alfredo Palacio","Austria",1
"Alfredo Palacio","Bolivia",1
"Alvaro Uribe","United States",23
"Alvaro Uribe","Brazil",10
"Alvaro Uribe","Venezuela",10
"Alvaro Uribe","Peru",9
"Alvaro Uribe","Ecuador",8
"Andres Pastrana Arango","United States",10
"Andres Pastrana Arango","Venezuela",5
"Andres Pastrana Arango","Mexico",3
"Andres Pastrana Arango","Panama",3
"Andres Pastrana Arango","Spain",3
"Bharrat Jagdeo","United States",30
"Bharrat Jagdeo","Trinidad and Tobago",14
"Bharrat Jagdeo","Brazil",10
"Bharrat Jagdeo","United Kingdom",9
"Bharrat Jagdeo","Jamaica",7
"Carlos Mesa","Brazil",4
"Carlos Mesa","Argentina",2
"Carlos Mesa","Italy",2
"Carlos Mesa","Mexico",2
"Carlos Mesa","Peru",2
"Carlos Saul Menem","United States",13
"Carlos Saul Menem","Brazil",11
"Carlos Saul Menem","Chile",4
"Carlos Saul Menem","Switzerland",4
"Carlos Saul Menem","France",3
"Cesar Gaviria Trujillo","Japan",1
"Cesar Gaviria Trujillo","Peru",1
"Chandrikapersad Santokhi","United States",7
"Chandrikapersad Santokhi","Guyana",6
"Chandrikapersad Santokhi","Barbados",4
"Chandrikapersad Santokhi","Netherlands",3
"Chandrikapersad Santokhi","Bahamas",2
"Cheddi Jagan","United States",3
"Cheddi Jagan","Barbados",2
"Cheddi Jagan","Colombia",2
"Cheddi Jagan","Trinidad and Tobago",2
"Cheddi Jagan","Bahrain",1
"Cristina Fernandez de Kirchner","Brazil",13
"Cristina Fernandez de Kirchner","United States",12
"Cristina Fernandez de Kirchner","Venezuela",10
"Cristina Fernandez de Kirchner","Uruguay",8
"Cristina Fernandez de Kirchner","Chile",6
"Daniel Noboa","United States",15
"Daniel Noboa","Spain",6
"Daniel Noboa","Holy See",3
"Daniel Noboa","Italy",3
"Daniel Noboa","Argentina",2
"David Granger","United States",9
"David Granger","Cuba",8
"David Granger","Barbados",3
"David Granger","Brazil",3
"David Granger","Trinidad and Tobago",3
"Desi Bouterse","Brazil",4
"Desi Bouterse","Cuba",4
"Desi Bouterse","Venezuela",4
"Desi Bouterse","Guyana",3
"Desi Bouterse","Peru",3
"Dilma Rousseff","Argentina",7
"Dilma Rousseff","United States",6
"Dilma Rousseff","Peru",4
"Dilma Rousseff","Uruguay",4
"Dilma Rousseff","Portugal",3
"Dina Boluarte","United States",4
"Dina Boluarte","Holy See",2
"Dina Boluarte","Italy",2
"Dina Boluarte","Brazil",1
"Dina Boluarte","China",1
"Donald Ramotar","Trinidad and Tobago",5
"Donald Ramotar","Suriname",4
"Donald Ramotar","United States",4
"Donald Ramotar","Brazil",3
"Donald Ramotar","India",2
"Eduardo Duhalde","Brazil",4
"Eduardo Duhalde","Chile",2
"Eduardo Duhalde","Spain",2
"Eduardo Duhalde","Costa Rica",1
"Eduardo Duhalde","Ecuador",1
"Eduardo Frei Ruiz-Tagle","Argentina",10
"Eduardo Frei Ruiz-Tagle","Brazil",5
"Eduardo Frei Ruiz-Tagle","United States",5
"Eduardo Frei Ruiz-Tagle","Japan",3
"Eduardo Frei Ruiz-Tagle","Canada",2
"Eduardo Rodriguez","Argentina",1
"Eduardo Rodriguez","Brazil",1
"Eduardo Rodriguez","Peru",1
"Eduardo Rodriguez","Spain",1
