"Pais","Mandatario (periodo)","Destino favorito","Cantidad de viajes"
"Argentina","Carlos Saul Menem (1989-1999)","United States",13
"Argentina","Fernando de la Rua (1999-2001)","Brazil",5
"Argentina","Eduardo Duhalde (2002-2003)","Brazil",4
"Argentina","Nestor Kirchner (2003-2007)","Brazil",8
"Argentina","Cristina Fernandez de Kirchner (2007-2015)","Brazil",14
"Argentina","Mauricio Macri (2015-2019)","United States",8
"Argentina","Alberto Fernandez (2019-2023)","Brazil",6
"Argentina","Javier Milei (2023-2099)","United States",14
"Bolivia","Gonzalo Sanchez de Lozada (1993-1997; 2002-2003)","United States",8
"Bolivia","Hugo Banzer Suarez (1997-2001)","Paraguay",3
"Bolivia","Jorge Quiroga Ramirez (2001-2002)","Argentina",2
"Bolivia","Carlos Mesa (2003-2005)","Brazil",4
"Bolivia","Eduardo Rodriguez (2005-2006)","Argentina",1
"Bolivia","Evo Morales (2006-2019)","Venezuela",38
"Bolivia","Luis Arce (2020-2025)","Brazil",8
"Brasil","Itamar Franco (1992-1995)","Colombia",2
"Brasil","Fernando Henrique Cardoso (1995-2003)","Argentina",11
"Brasil","Luiz Inacio Lula da Silva (2003-2011; 2023-2099)","Argentina",22
"Brasil","Dilma Rousseff (2011-2016)","United States",8
"Brasil","Michel Temer (2016-2019)","Paraguay",3
"Brasil","Jair Bolsonaro (2019-2023)","United States",7
"Chile","Eduardo Frei Ruiz-Tagle (1994-2000)","Argentina",10
"Chile","Ricardo Lagos Escobar (2000-2006)","Brazil",11
"Chile","Michelle Bachelet (2006-2010; 2014-2018)","United States",14
"Chile","Sebastian Pinera (2010-2014; 2018-2022)","Argentina",10
"Chile","Gabriel Boric (2022-2026)","United States",7
"Colombia","Cesar Gaviria Trujillo (1990-1994)","Japan",1
"Colombia","Ernesto Samper Pizano (1994-1998)","United States",4
"Colombia","Andres Pastrana Arango (1998-2002)","United States",10
"Colombia","Alvaro Uribe (2002-2010)","United States",23
"Colombia","Juan Manuel Santos (2010-2018)","United States",19
"Colombia","Ivan Duque (2018-2022)","United States",9
"Colombia","Gustavo Petro (2022-2026)","United States",9
"Ecuador","Sixto Duran-Ballen (1992-1996)","Brazil",4
"Ecuador","Abdala Bucaram (1996-1997)","Bolivia",1
"Ecuador","Fabian Alarcon (1997-1998)","United States",2
"Ecuador","Jamil Mahuad (1998-2000)","United States",6
"Ecuador","Gustavo Noboa (2000-2003)","Colombia",4
"Ecuador","Lucio Gutierrez (2003-2005)","United States",5
"Ecuador","Alfredo Palacio (2005-2007)","Peru",3
"Ecuador","Rafael Correa (2007-2017)","Venezuela",17
"Ecuador","Lenin Moreno (2017-2021)","United States",7
"Ecuador","Guillermo Lasso (2021-2023)","United States",9
"Ecuador","Daniel Noboa (2023-2025; 2025-2099)","United States",15
"Guyana","Cheddi Jagan (1992-1997)","United States",3
"Guyana","Janet Jagan (1997-1999)","Suriname",3
"Guyana","Bharrat Jagdeo (1999-2011)","United States",30
"Guyana","Donald Ramotar (2011-2015)","Trinidad and Tobago",5
"Guyana","David Granger (2015-2020)","United States",9
"Guyana","Irfaan Ali (2020-2099)","United States",12
"Paraguay","Juan Carlos Wasmosy (1993-1998)","Brazil",12
"Paraguay","Raul Cubas Grau (1998-1999)","Brazil",3
"Paraguay","Luis Angel Gonzalez Macchi (1999-2003)","Brazil",7
"Paraguay","Nicanor Duarte (2003-2008)","Brazil",9
"Paraguay","Fernando Lugo (2008-2012)","Brazil",11
"Paraguay","Federico Franco (2012-2013)","United States",3
"Paraguay","Horacio Cartes (2013-2018)","Argentina",9
"Paraguay","Mario Abdo Benitez (2018-2023)","Brazil",11
"Paraguay","Santiago Pena (2023-2099)","United States",9
"Peru","Alan Garcia (1985-1990; 2006-2011)","Ecuador",5
"Peru","Alberto Fujimori (1990-2000)","Brazil",14
"Peru","Alejandro Toledo (2001-2006)","United States",11
"Peru","Ollanta Humala (2011-2016)","France",6
"Peru","Pedro Pablo Kuczynski (2016-2018)","Colombia",3
"Peru","Martin Vizcarra (2018-2020)","Bolivia",2
"Peru","Pedro Castillo (2021-2022)","United States",3
"Peru","Dina Boluarte (2022-2025)","United States",4
"Peru","Jose Jeri (2025-2026)","Ecuador",1
"Surinam","Ronald Venetiaan (1991-1996; 2000-2010)","Trinidad and Tobago",5
"Surinam","Jules Wijdenbosch (1996-2000)","Cuba",2
"Surinam","Desi Bouterse (2010-2020)","Brazil",4
"Surinam","Chandrikapersad Santokhi (2020-2025)","United States",7
"Surinam","Jennifer Geerlings-Simons (2025-2099)","Brazil",1
"Uruguay","Julio Maria Sanguinetti (1985-1990; 1995-2000)","Brazil",5
"Uruguay","Luis Alberto Lacalle (1990-1995)","Brazil",2
"Uruguay","Jorge Batlle (2000-2005)","United States",11
"Uruguay","Tabare Vazquez (2005-2010; 2015-2020)","Argentina",17
"Uruguay","Jose Mujica (2010-2015)","Argentina",18
"Uruguay","Luis Lacalle Pou (2020-2025)","Argentina",7
"Uruguay","Yamandu Orsi (2025-2099)","Brazil",2
"Venezuela","Rafael Caldera (1994-1999)","United States",4
"Venezuela","Hugo Chavez (1999-2013)","Cuba",45
"Venezuela","Nicolas Maduro (2013-2099)","Cuba",26
