"Leader_nombre","LeaderCountryOrIGO","TripStartDate","CountryVisited","CityVisited","Visit_Category"
"Alberto Fujimori","Peru",1994-01-01,"Brazil",NA,"Bilateral"
"Gonzalo Sanchez de Lozada","Bolivia",1994-01-16,"Uruguay",NA,"Multilateral"
"Itamar Franco","Brazil",1994-01-17,"Uruguay",NA,"Multilateral"
"Juan Carlos Wasmosy","Paraguay",1994-01-17,"Uruguay",NA,"Multilateral"
"Cesar Gaviria Trujillo","Colombia",1994-02-26,"Japan",NA,"Bilateral"
"Sixto Duran-Ballen","Ecuador",1994-03-09,"Chile",NA,"Other"
"Cheddi Jagan","Guyana",1994-03-11,"Saint Vincent and the Grenadines",NA,"Multilateral"
"Ronald Venetiaan","Suriname",1994-05-11,"Indonesia",NA,"Bilateral"
"Eduardo Frei Ruiz-Tagle","Chile",1994-06-13,"Colombia",NA,"Multilateral"
"Rafael Caldera","Venezuela",1994-06-13,"Colombia",NA,"Other"
"Luis Alberto Lacalle","Uruguay",1994-09-27,"United States",NA,"Multilateral"
"Carlos Saul Menem","Argentina",1994-11-30,"Mexico","Mexico City","Bilateral"
"Ernesto Samper Pizano","Colombia",1994-12-09,"United States",NA,"Multilateral"
"Fernando Henrique Cardoso","Brazil",1995-02-17,"Argentina",NA,"Bilateral"
"Julio Maria Sanguinetti","Uruguay",1995-08-05,"Paraguay",NA,"Multilateral"
"Abdala Bucaram","Ecuador",1996-09-02,"Bolivia",NA,"Multilateral"
"Jules Wijdenbosch","Suriname",1997-02-20,"Antigua and Barbuda",NA,"Multilateral"
"Fabian Alarcon","Ecuador",1997-04-21,"Bolivia",NA,"Multilateral"
"Hugo Banzer Suarez","Bolivia",1997-09-27,"United States",NA,"Other"
"Janet Jagan","Guyana",1998-03-02,"Grenada",NA,"Multilateral"
"Jamil Mahuad","Ecuador",1998-08-15,"Paraguay",NA,"Other"
"Andres Pastrana Arango","Colombia",1998-09-02,"South Africa",NA,"Multilateral"
"Raul Cubas Grau","Paraguay",1998-12-08,"Brazil",NA,"Multilateral"
"Hugo Chavez","Venezuela",1999-02-09,"Jamaica",NA,"Multilateral"
"Luis Angel Gonzalez Macchi","Paraguay",1999-05-28,"Mexico",NA,"Multilateral"
"Bharrat Jagdeo","Guyana",1999-10-26,"Trinidad and Tobago",NA,"Multilateral"
"Fernando de la Rua","Argentina",2000-01-28,"Switzerland","Davos","Multilateral"
"Jorge Batlle","Uruguay",2000-03-11,"Chile",NA,"Other"
"Ricardo Lagos Escobar","Chile",2000-05-17,"Argentina","Buenos Aires","Bilateral"
"Gustavo Noboa","Ecuador",2000-06-04,"Canada",NA,"Multilateral"
"Alejandro Toledo","Peru",2001-08-15,"Ecuador",NA,"Bilateral"
"Jorge Quiroga Ramirez","Bolivia",2001-11-10,"United States",NA,"Multilateral"
"Eduardo Duhalde","Argentina",2002-03-21,"Mexico","Monterrey","Multilateral"
"Alvaro Uribe","Colombia",2002-09-11,"United States",NA,"Multilateral"
"Luiz Inacio Lula da Silva","Brazil",2003-01-15,"Ecuador","Quito","Bilateral"
"Lucio Gutierrez","Ecuador",2003-02-10,"United States",NA,"Bilateral"
"Nestor Kirchner","Argentina",2003-06-11,"Brazil","Brasília","Bilateral"
"Nicanor Duarte","Paraguay",2003-09-22,"United States","New York","Multilateral"
"Carlos Mesa","Bolivia",2003-11-04,"Panama",NA,"Other"
"Tabare Vazquez","Uruguay",2005-04-01,"Brazil","Brasilia","Bilateral"
"Alfredo Palacio","Ecuador",2005-06-19,"Paraguay",NA,"Multilateral"
"Eduardo Rodriguez","Bolivia",2005-09-08,"Peru",NA,"Other"
"Evo Morales","Bolivia",2006-03-10,"Chile",NA,"Other"
"Michelle Bachelet","Chile",2006-03-21,"Argentina","Buenos Aires","Bilateral"
"Alan Garcia","Peru",2006-10-09,"United States",NA,"Bilateral"
"Rafael Correa","Ecuador",2007-01-17,"Brazil",NA,"Multilateral"
"Cristina Fernandez de Kirchner","Argentina",2007-12-17,"Uruguay","Montevideo","Multilateral"
"Fernando Lugo","Paraguay",2008-09-15,"Chile","Santiago","Multilateral"
"Jose Mujica","Uruguay",2010-03-29,"Brazil",NA,"Bilateral"
"Sebastian Pinera","Chile",2010-04-08,"Argentina","Buenos Aires","Bilateral"
"Juan Manuel Santos","Colombia",2010-09-01,"Brazil",NA,"Bilateral"
"Desi Bouterse","Suriname",2010-09-06,"Guyana",NA,"Bilateral"
"Dilma Rousseff","Brazil",2011-01-31,"Argentina","Buenos Aires","Bilateral"
"Ollanta Humala","Peru",2011-10-28,"Paraguay",NA,"Multilateral"
"Donald Ramotar","Guyana",2012-02-17,"Suriname",NA,"Bilateral"
"Federico Franco","Paraguay",2012-09-23,"United States","New York","Multilateral"
"Nicolas Maduro","Venezuela",2013-04-27,"Cuba",NA,"Bilateral"
"Horacio Cartes","Paraguay",2013-08-30,"Suriname",NA,"Multilateral"
"David Granger","Guyana",2015-06-12,"United States",NA,"Other"
"Mauricio Macri","Argentina",2015-12-21,"Paraguay","Asunción","Multilateral"
"Michel Temer","Brazil",2016-09-02,"China","Hangzhou","Multilateral"
"Pedro Pablo Kuczynski","Peru",2016-09-12,"China",NA,"Bilateral"
"Lenin Moreno","Ecuador",2017-09-18,"United States",NA,"Multilateral"
"Martin Vizcarra","Peru",2018-04-28,"Bolivia",NA,"Bilateral"
"Ivan Duque","Colombia",2018-08-15,"Paraguay",NA,"Other"
"Mario Abdo Benitez","Paraguay",2018-09-24,"United States","New York","Multilateral"
