"Leader_nombre","LeaderCountryOrIGO","TripStartDate","CountryVisited","CityVisited","Visit_Category"
"Itamar Franco","Brazil",1994-01-22,"Colombia","Leticia","Bilateral"
"Juan Carlos Wasmosy","Paraguay",1994-01-31,"Peru",NA,"Bilateral"
"Alberto Fujimori","Peru",1994-02-14,"Colombia",NA,"Bilateral"
"Cesar Gaviria Trujillo","Colombia",1994-02-26,"Japan",NA,"Bilateral"
"Gonzalo Sanchez de Lozada","Bolivia",1994-03-14,"Paraguay",NA,"Bilateral"
"Sixto Duran-Ballen","Ecuador",1994-03-15,"Japan",NA,"Bilateral"
"Cheddi Jagan","Guyana",1994-04-03,"Colombia",NA,"Bilateral"
"Ronald Venetiaan","Suriname",1994-05-11,"Indonesia",NA,"Bilateral"
"Eduardo Frei Ruiz-Tagle","Chile",1994-06-26,"United States",NA,"Bilateral"
"Carlos Saul Menem","Argentina",1994-11-30,"Mexico","Mexico City","Bilateral"
"Luis Alberto Lacalle","Uruguay",1995-01-02,"Brazil",NA,"Bilateral"
"Fernando Henrique Cardoso","Brazil",1995-02-17,"Argentina",NA,"Bilateral"
"Rafael Caldera","Venezuela",1995-05-04,"Italy",NA,"Bilateral"
"Julio Maria Sanguinetti","Uruguay",1996-07-02,"Malaysia",NA,"Bilateral"
"Ernesto Samper Pizano","Colombia",1996-08-01,"France",NA,"Bilateral"
"Abdala Bucaram","Ecuador",1997-01-13,"Peru",NA,"Bilateral"
"Fabian Alarcon","Ecuador",1998-02-06,"Peru",NA,"Bilateral"
"Jules Wijdenbosch","Suriname",1998-05-18,"China",NA,"Bilateral"
"Janet Jagan","Guyana",1998-07-21,"Venezuela",NA,"Bilateral"
"Andres Pastrana Arango","Colombia",1998-10-27,"United States",NA,"Bilateral"
"Raul Cubas Grau","Paraguay",1999-02-11,"Brazil",NA,"Bilateral"
"Hugo Chavez","Venezuela",1999-05-06,"Brazil",NA,"Bilateral"
"Jamil Mahuad","Ecuador",1999-05-16,"Peru",NA,"Bilateral"
"Luis Angel Gonzalez Macchi","Paraguay",2000-02-11,"Brazil",NA,"Bilateral"
"Fernando de la Rua","Argentina",2000-05-15,"Paraguay",NA,"Bilateral"
"Ricardo Lagos Escobar","Chile",2000-05-17,"Argentina","Buenos Aires","Bilateral"
"Hugo Banzer Suarez","Bolivia",2000-06-26,"Italy",NA,"Bilateral"
"Bharrat Jagdeo","Guyana",2000-07-13,"Jamaica",NA,"Bilateral"
"Gustavo Noboa","Ecuador",2000-08-23,"Colombia",NA,"Bilateral"
"Jorge Batlle","Uruguay",2001-04-15,"Japan",NA,"Bilateral"
"Alejandro Toledo","Peru",2001-08-15,"Ecuador",NA,"Bilateral"
"Eduardo Duhalde","Argentina",2002-05-20,"Italy","Roma","Bilateral"
"Alvaro Uribe","Colombia",2002-09-23,"United States",NA,"Bilateral"
"Luiz Inacio Lula da Silva","Brazil",2003-01-15,"Ecuador","Quito","Bilateral"
"Lucio Gutierrez","Ecuador",2003-02-10,"United States",NA,"Bilateral"
"Nestor Kirchner","Argentina",2003-06-11,"Brazil","Brasília","Bilateral"
"Carlos Mesa","Bolivia",2003-11-18,"Brazil",NA,"Bilateral"
"Nicanor Duarte","Paraguay",2003-12-17,"Argentina",NA,"Bilateral"
"Tabare Vazquez","Uruguay",2005-03-31,"Brazil","Brasilia","Bilateral"
"Alfredo Palacio","Ecuador",2006-01-16,"Colombia",NA,"Bilateral"
"Michelle Bachelet","Chile",2006-03-21,"Argentina","Buenos Aires","Bilateral"
"Evo Morales","Bolivia",2006-06-29,"Argentina",NA,"Bilateral"
"Alan Garcia","Peru",2006-10-09,"United States",NA,"Bilateral"
"Rafael Correa","Ecuador",2007-04-03,"Brazil",NA,"Bilateral"
"Cristina Fernandez de Kirchner","Argentina",2008-02-22,"Brazil","Brasília","Bilateral"
"Fernando Lugo","Paraguay",2008-09-17,"Brazil",NA,"Bilateral"
"Jose Mujica","Uruguay",2010-03-29,"Brazil",NA,"Bilateral"
"Sebastian Pinera","Chile",2010-04-08,"Argentina","Buenos Aires","Bilateral"
"Juan Manuel Santos","Colombia",2010-09-01,"Brazil",NA,"Bilateral"
"Desi Bouterse","Suriname",2010-09-06,"Guyana",NA,"Bilateral"
"Dilma Rousseff","Brazil",2011-01-31,"Argentina","Buenos Aires","Bilateral"
"Ollanta Humala","Peru",2012-01-06,"Venezuela",NA,"Bilateral"
"Donald Ramotar","Guyana",2012-02-17,"Suriname",NA,"Bilateral"
"Nicolas Maduro","Venezuela",2013-04-27,"Cuba",NA,"Bilateral"
"Federico Franco","Paraguay",2013-05-21,"Taiwan",NA,"Bilateral"
"Horacio Cartes","Paraguay",2013-09-10,"Argentina","Buenos Aires","Bilateral"
"David Granger","Guyana",2015-07-31,"Trinidad and Tobago",NA,"Bilateral"
"Mauricio Macri","Argentina",2016-01-07,"Uruguay","Colonia del Sacramento","Bilateral"
"Pedro Pablo Kuczynski","Peru",2016-09-12,"China",NA,"Bilateral"
"Michel Temer","Brazil",2016-10-03,"Argentina","Buenos Aires","Bilateral"
"Lenin Moreno","Ecuador",2017-12-16,"Holy See",NA,"Bilateral"
"Martin Vizcarra","Peru",2018-04-28,"Bolivia",NA,"Bilateral"
"Ivan Duque","Colombia",2018-08-14,"Paraguay",NA,"Bilateral"
"Mario Abdo Benitez","Paraguay",2018-10-07,"Taiwan","Taipéi","Bilateral"
"Jair Bolsonaro","Brazil",2019-03-18,"United States","Washington D.C.","Bilateral"
"Alberto Fernandez","Argentina",2020-01-22,"Israel","Jerusalem","Bilateral"
"Irfaan Ali","Guyana",2020-11-23,"Suriname",NA,"Bilateral"
"Luis Lacalle Pou","Uruguay",2021-02-03,"Brazil","Brasilia","Bilateral"
"Luis Arce","Bolivia",2021-03-23,"Mexico",NA,"Bilateral"
"Guillermo Lasso","Ecuador",2021-07-27,"Peru",NA,"Bilateral"
"Chandrikapersad Santokhi","Suriname",2021-08-17,"Guyana",NA,"Bilateral"
"Pedro Castillo","Peru",2021-10-30,"Bolivia",NA,"Bilateral"
"Gabriel Boric","Chile",2022-04-03,"Argentina","Buenos Aires","Bilateral"
"Gustavo Petro","Colombia",2022-11-01,"Venezuela",NA,"Bilateral"
"Dina Boluarte","Peru",2023-10-14,"Holy See",NA,"Bilateral"
"Santiago Pena","Paraguay",2023-10-27,"Uruguay","Montevideo","Bilateral"
"Daniel Noboa","Ecuador",2024-01-24,"Spain",NA,"Bilateral"
"Javier Milei","Argentina",2024-02-06,"Israel","Jerusalem","Bilateral"
"Yamandu Orsi","Uruguay",2025-04-07,"Panama","Panama City","Bilateral"
"Jennifer Geerlings-Simons","Suriname",2025-11-03,"Netherlands","Willemstad","Bilateral"
"Jose Jeri","Peru",2025-12-12,"Ecuador","Quito","Bilateral"
