"Year","n_viajes_vecino","n_total_anio","participacion_vecino"
1994,30,90,0.333333333333333
1995,37,123,0.300813008130081
1996,26,96,0.270833333333333
1997,17,92,0.184782608695652
1998,32,146,0.219178082191781
1999,39,139,0.280575539568345
2000,40,146,0.273972602739726
2001,35,146,0.23972602739726
2002,33,145,0.227586206896552
2003,57,175,0.325714285714286
2004,55,194,0.283505154639175
2005,50,192,0.260416666666667
2006,53,192,0.276041666666667
2007,44,193,0.227979274611399
2008,51,216,0.236111111111111
2009,47,266,0.176691729323308
2010,83,251,0.330677290836653
2011,38,162,0.234567901234568
2012,35,159,0.220125786163522
2013,41,196,0.209183673469388
2014,37,164,0.225609756097561
2015,33,172,0.191860465116279
2016,28,153,0.183006535947712
2017,25,133,0.18796992481203
2018,32,147,0.217687074829932
2019,44,137,0.321167883211679
2020,8,29,0.275862068965517
2021,16,84,0.19047619047619
2022,28,123,0.227642276422764
2023,50,205,0.24390243902439
2024,29,160,0.18125
2025,34,182,0.186813186813187
