"Year","Bloque","n_viajes"
1994,"Africa",1
1994,"Asia",10
1994,"Estados Unidos",18
1994,"Europa",6
1994,"Latinoamerica",54
1994,"Sudamerica",45
1995,"Africa",1
1995,"Asia",13
1995,"Estados Unidos",7
1995,"Europa",26
1995,"Latinoamerica",73
1995,"Sudamerica",68
1996,"Africa",2
1996,"Asia",19
1996,"Estados Unidos",7
1996,"Europa",19
1996,"Latinoamerica",47
1996,"Sudamerica",35
1997,"Africa",3
1997,"Asia",15
1997,"Estados Unidos",12
1997,"Europa",10
1997,"Latinoamerica",40
1997,"Sudamerica",33
1998,"Africa",6
1998,"Asia",12
1998,"Estados Unidos",17
1998,"Europa",34
1998,"Latinoamerica",67
1998,"Sudamerica",45
1999,"Africa",1
1999,"Asia",13
1999,"Estados Unidos",22
1999,"Europa",18
1999,"Latinoamerica",80
1999,"Sudamerica",52
2000,"Africa",4
2000,"Asia",12
2000,"Estados Unidos",15
2000,"Europa",21
2000,"Latinoamerica",89
2000,"Sudamerica",58
2001,"Africa",3
2001,"Asia",18
2001,"Estados Unidos",18
2001,"Europa",31
2001,"Latinoamerica",63
2001,"Sudamerica",54
2002,"Africa",4
2002,"Asia",5
2002,"Estados Unidos",17
2002,"Europa",34
2002,"Latinoamerica",83
2002,"Sudamerica",49
2003,"Africa",10
2003,"Asia",11
2003,"Estados Unidos",20
2003,"Europa",28
2003,"Latinoamerica",105
2003,"Sudamerica",91
2004,"Africa",7
2004,"Asia",13
2004,"Estados Unidos",18
2004,"Europa",23
2004,"Latinoamerica",129
2004,"Sudamerica",71
2005,"Africa",6
2005,"Asia",14
2005,"Estados Unidos",19
2005,"Europa",45
2005,"Latinoamerica",107
2005,"Sudamerica",88
2006,"Africa",17
2006,"Asia",8
2006,"Estados Unidos",22
2006,"Europa",28
2006,"Latinoamerica",116
2006,"Sudamerica",91
2007,"Africa",5
2007,"Asia",16
2007,"Estados Unidos",16
2007,"Europa",31
2007,"Latinoamerica",122
2007,"Sudamerica",87
2008,"Africa",9
2008,"Asia",16
2008,"Estados Unidos",17
2008,"Europa",28
2008,"Latinoamerica",143
2008,"Sudamerica",88
2009,"Africa",4
2009,"Asia",31
2009,"Estados Unidos",18
2009,"Europa",60
2009,"Latinoamerica",149
2009,"Sudamerica",94
2010,"Africa",8
2010,"Asia",25
2010,"Estados Unidos",14
2010,"Europa",30
2010,"Latinoamerica",169
2010,"Sudamerica",135
2011,"Africa",5
2011,"Asia",17
2011,"Estados Unidos",15
2011,"Europa",24
2011,"Latinoamerica",100
2011,"Sudamerica",75
2012,"Africa",1
2012,"Asia",17
2012,"Estados Unidos",12
2012,"Europa",27
2012,"Latinoamerica",101
2012,"Sudamerica",68
2013,"Africa",9
2013,"Asia",20
2013,"Estados Unidos",15
2013,"Europa",37
2013,"Latinoamerica",111
2013,"Sudamerica",89
2014,"Africa",4
2014,"Asia",9
2014,"Estados Unidos",14
2014,"Europa",29
2014,"Latinoamerica",104
2014,"Sudamerica",70
2015,"Africa",1
2015,"Asia",20
2015,"Estados Unidos",18
2015,"Europa",49
2015,"Latinoamerica",84
2015,"Sudamerica",50
2016,"Africa",2
2016,"Asia",14
2016,"Estados Unidos",24
2016,"Europa",30
2016,"Latinoamerica",82
2016,"Sudamerica",50
2017,"Africa",3
2017,"Asia",14
2017,"Estados Unidos",16
2017,"Europa",37
2017,"Latinoamerica",57
2017,"Sudamerica",36
2018,"Africa",4
2018,"Asia",13
2018,"Estados Unidos",12
2018,"Europa",35
2018,"Latinoamerica",79
2018,"Sudamerica",46
2019,"Africa",0
2019,"Asia",26
2019,"Estados Unidos",13
2019,"Europa",23
2019,"Latinoamerica",72
2019,"Sudamerica",56
2020,"Africa",0
2020,"Asia",2
2020,"Estados Unidos",3
2020,"Europa",7
2020,"Latinoamerica",17
2020,"Sudamerica",14
2021,"Africa",1
2021,"Asia",9
2021,"Estados Unidos",13
2021,"Europa",23
2021,"Latinoamerica",38
2021,"Sudamerica",23
2022,"Africa",4
2022,"Asia",14
2022,"Estados Unidos",24
2022,"Europa",17
2022,"Latinoamerica",62
2022,"Sudamerica",45
2023,"Africa",6
2023,"Asia",28
2023,"Estados Unidos",31
2023,"Europa",41
2023,"Latinoamerica",95
2023,"Sudamerica",67
2024,"Africa",3
2024,"Asia",7
2024,"Estados Unidos",27
2024,"Europa",38
2024,"Latinoamerica",82
2024,"Sudamerica",49
2025,"Africa",5
2025,"Asia",30
2025,"Estados Unidos",29
2025,"Europa",51
2025,"Latinoamerica",66
2025,"Sudamerica",52
