"Pais","Mandatario (periodo)","Total viajes","Sudamerica","Resto Latam y Caribe","Estados Unidos","Resto Norteamerica","Europa","Asia","Africa","Otras (Oceania, etc.)"
"Argentina","Alberto Fernandez (2019-2023)",55,"38%","7%","7%","0%","38%","9%","0%","0%"
"Argentina","Carlos Saul Menem (1989-1999)",84,"30%","11%","15%","0%","26%","13%","2%","2%"
"Argentina","Cristina Fernandez de Kirchner (2007-2015)",124,"48%","10%","10%","2%","17%","9%","4%","0%"
"Argentina","Eduardo Duhalde (2002-2003)",17,"47%","18%","0%","0%","29%","0%","6%","0%"
"Argentina","Fernando de la Rua (1999-2001)",35,"46%","11%","11%","6%","23%","3%","0%","0%"
"Argentina","Javier Milei (2023-2099)",46,"20%","2%","30%","0%","43%","4%","0%","0%"
"Argentina","Mauricio Macri (2015-2019)",57,"35%","0%","14%","2%","28%","19%","2%","0%"
"Argentina","Nestor Kirchner (2003-2007)",59,"61%","5%","12%","0%","20%","2%","0%","0%"
"Bolivia","Carlos Mesa (2003-2005)",20,"55%","20%","5%","0%","15%","5%","0%","0%"
"Bolivia","Eduardo Rodriguez (2005-2006)",6,"67%","0%","17%","0%","17%","0%","0%","0%"
"Bolivia","Evo Morales (2006-2019)",284,"49%","16%","9%","0%","19%","5%","2%","0%"
"Bolivia","Gonzalo Sanchez de Lozada (1993-1997; 2002-2003)",43,"51%","7%","19%","0%","21%","2%","0%","0%"
"Bolivia","Hugo Banzer Suarez (1997-2001)",19,"58%","11%","16%","5%","11%","0%","0%","0%"
"Bolivia","Jorge Quiroga Ramirez (2001-2002)",5,"80%","0%","20%","0%","0%","0%","0%","0%"
"Bolivia","Luis Arce (2020-2025)",47,"57%","21%","11%","0%","6%","0%","4%","0%"
"Brasil","Dilma Rousseff (2011-2016)",87,"38%","9%","9%","0%","28%","6%","9%","1%"
"Brasil","Fernando Henrique Cardoso (1995-2003)",134,"40%","9%","7%","1%","32%","6%","4%","0%"
"Brasil","Itamar Franco (1992-1995)",7,"86%","0%","14%","0%","0%","0%","0%","0%"
"Brasil","Jair Bolsonaro (2019-2023)",34,"21%","0%","21%","0%","18%","41%","0%","0%"
"Brasil","Luiz Inacio Lula da Silva (2003-2011; 2023-2099)",329,"35%","9%","5%","0%","25%","12%","13%","0%"
"Brasil","Michel Temer (2016-2019)",26,"35%","8%","12%","0%","19%","15%","12%","0%"
"Chile","Eduardo Frei Ruiz-Tagle (1994-2000)",63,"40%","8%","8%","3%","19%","17%","2%","3%"
"Chile","Gabriel Boric (2022-2026)",53,"40%","9%","13%","2%","23%","13%","0%","0%"
"Chile","Michelle Bachelet (2006-2010; 2014-2018)",139,"33%","22%","10%","1%","20%","10%","2%","1%"
"Chile","Ricardo Lagos Escobar (2000-2006)",135,"36%","17%","7%","1%","25%","10%","1%","2%"
"Chile","Sebastian Pinera (2010-2014; 2018-2022)",112,"41%","8%","8%","1%","23%","16%","0%","3%"
"Colombia","Alvaro Uribe (2002-2010)",135,"41%","27%","17%","1%","11%","1%","0%","0%"
"Colombia","Andres Pastrana Arango (1998-2002)",51,"25%","16%","20%","4%","24%","8%","4%","0%"
"Colombia","Cesar Gaviria Trujillo (1990-1994)",2,"50%","0%","0%","0%","0%","50%","0%","0%"
"Colombia","Ernesto Samper Pizano (1994-1998)",26,"31%","4%","15%","4%","12%","23%","12%","0%"
"Colombia","Gustavo Petro (2022-2026)",74,"32%","22%","12%","0%","20%","11%","3%","0%"
"Colombia","Ivan Duque (2018-2022)",50,"32%","16%","18%","0%","26%","8%","0%","0%"
"Colombia","Juan Manuel Santos (2010-2018)",151,"28%","21%","13%","1%","30%","7%","0%","0%"
"Ecuador","Abdala Bucaram (1996-1997)",4,"100%","0%","0%","0%","0%","0%","0%","0%"
"Ecuador","Alfredo Palacio (2005-2007)",20,"50%","20%","10%","0%","15%","0%","5%","0%"
"Ecuador","Daniel Noboa (2023-2025; 2025-2099)",48,"17%","4%","31%","2%","35%","10%","0%","0%"
"Ecuador","Fabian Alarcon (1997-1998)",9,"67%","0%","22%","11%","0%","0%","0%","0%"
