"Year","participacion","promedio_movil"
1994,60,60.4878048780488
1995,60.9756097560976,56.8200486128573
1996,49.4845360824742,53.1079274007361
1997,48.8636363636364,48.5361488062378
1998,47.2602739726027,51.7055720305449
1999,58.9928057553957,56.019545094518
2000,61.8055555555556,54.8779925831025
2001,43.8356164383562,54.2941837680855
2002,57.2413793103448,53.6923319162337
2003,60,61.4172295295651
2004,67.0103092783505,60.9131586483391
2005,55.7291666666667,61.0520475372279
2006,60.4166666666667,59.7860895221647
2007,63.2124352331606,63.431922855498
2008,66.6666666666667,62.1061652797404
2009,56.4393939393939,63.7020202020202
2010,68,62.0559296670408
2011,61.7283950617284,64.4168025467816
2012,63.5220125786163,60.8223008285685
2013,57.2164948453608,61.6453460960582
2014,64.1975308641975,56.750411670628
2015,48.8372093023256,55.6607028625252
2016,53.9473684210526,48.9902080783354
2017,44.1860465116279,50.62497051044
2018,53.7414965986395,50.4202921478669
2019,53.3333333333333,55.2318398623817
2020,58.6206896551724,52.3973727422003
2021,45.2380952380952,51.6927656961299
2022,51.219512195122,47.7622919086334
2023,46.8292682926829,49.7662601626016
2024,51.25,44.7810015188064
2025,36.2637362637363,43.7568681318681
