"Year","Pais_receptor","n_viajes"
1994,"Argentina",3
1994,"Bolivia",1
1994,"Brasil",2
1994,"Chile",0
1994,"Colombia",4
1994,"Ecuador",0
1994,"Guyana",0
1994,"Paraguay",1
1994,"Peru",2
1994,"Surinam",1
1994,"Uruguay",0
1994,"Venezuela",1
1995,"Argentina",4
1995,"Bolivia",1
1995,"Brasil",7
1995,"Chile",3
1995,"Colombia",1
1995,"Ecuador",0
1995,"Guyana",0
1995,"Paraguay",0
1995,"Peru",1
1995,"Surinam",0
1995,"Uruguay",1
1995,"Venezuela",2
1996,"Argentina",2
1996,"Bolivia",1
1996,"Brasil",6
1996,"Chile",0
1996,"Colombia",0
1996,"Ecuador",0
1996,"Guyana",0
1996,"Paraguay",1
1996,"Peru",0
1996,"Surinam",0
1996,"Uruguay",1
1996,"Venezuela",1
1997,"Argentina",1
1997,"Bolivia",1
1997,"Brasil",3
1997,"Chile",0
1997,"Colombia",1
1997,"Ecuador",1
1997,"Guyana",0
1997,"Paraguay",0
1997,"Peru",1
1997,"Surinam",0
1997,"Uruguay",1
1997,"Venezuela",0
1998,"Argentina",3
1998,"Bolivia",2
1998,"Brasil",3
1998,"Chile",0
1998,"Colombia",0
1998,"Ecuador",1
1998,"Guyana",0
1998,"Paraguay",0
1998,"Peru",2
1998,"Surinam",1
1998,"Uruguay",0
1998,"Venezuela",2
1999,"Argentina",2
1999,"Bolivia",1
1999,"Brasil",7
1999,"Chile",2
1999,"Colombia",2
1999,"Ecuador",2
1999,"Guyana",0
1999,"Paraguay",0
1999,"Peru",3
1999,"Surinam",0
1999,"Uruguay",0
1999,"Venezuela",2
2000,"Argentina",1
2000,"Bolivia",3
2000,"Brasil",2
2000,"Chile",2
2000,"Colombia",1
2000,"Ecuador",1
2000,"Guyana",0
2000,"Paraguay",1
2000,"Peru",0
2000,"Surinam",0
2000,"Uruguay",3
2000,"Venezuela",2
2001,"Argentina",0
2001,"Bolivia",2
2001,"Brasil",2
2001,"Chile",1
2001,"Colombia",1
2001,"Ecuador",3
2001,"Guyana",0
2001,"Paraguay",1
2001,"Peru",2
2001,"Surinam",0
2001,"Uruguay",0
2001,"Venezuela",1
2002,"Argentina",1
2002,"Bolivia",2
2002,"Brasil",3
2002,"Chile",4
2002,"Colombia",3
2002,"Ecuador",1
2002,"Guyana",0
2002,"Paraguay",0
2002,"Peru",1
2002,"Surinam",1
2002,"Uruguay",1
2002,"Venezuela",0
2003,"Argentina",8
2003,"Bolivia",0
2003,"Brasil",13
2003,"Chile",2
2003,"Colombia",1
2003,"Ecuador",2
2003,"Guyana",1
2003,"Paraguay",2
2003,"Peru",1
2003,"Surinam",1
2003,"Uruguay",1
2003,"Venezuela",2
2004,"Argentina",2
2004,"Bolivia",3
2004,"Brasil",4
2004,"Chile",3
2004,"Colombia",5
2004,"Ecuador",2
2004,"Guyana",1
2004,"Paraguay",1
2004,"Peru",1
2004,"Surinam",0
2004,"Uruguay",0
2004,"Venezuela",3
2005,"Argentina",4
2005,"Bolivia",0
2005,"Brasil",4
2005,"Chile",4
2005,"Colombia",7
2005,"Ecuador",2
2005,"Guyana",3
2005,"Paraguay",1
2005,"Peru",0
2005,"Surinam",0
2005,"Uruguay",4
2005,"Venezuela",5
2006,"Argentina",4
2006,"Bolivia",6
2006,"Brasil",8
2006,"Chile",3
2006,"Colombia",1
2006,"Ecuador",2
2006,"Guyana",0
2006,"Paraguay",3
2006,"Peru",4
2006,"Surinam",0
2006,"Uruguay",3
2006,"Venezuela",2
2007,"Argentina",6
2007,"Bolivia",3
2007,"Brasil",4
2007,"Chile",1
2007,"Colombia",4
2007,"Ecuador",4
2007,"Guyana",0
2007,"Paraguay",2
2007,"Peru",2
2007,"Surinam",0
2007,"Uruguay",2
2007,"Venezuela",3
2008,"Argentina",3
2008,"Bolivia",0
2008,"Brasil",5
2008,"Chile",2
2008,"Colombia",1
2008,"Ecuador",3
2008,"Guyana",0
2008,"Paraguay",0
2008,"Peru",2
2008,"Surinam",0
2008,"Uruguay",1
2008,"Venezuela",9
2009,"Argentina",2
2009,"Bolivia",3
2009,"Brasil",10
2009,"Chile",4
2009,"Colombia",1
2009,"Ecuador",1
2009,"Guyana",0
2009,"Paraguay",4
2009,"Peru",3
2009,"Surinam",0
2009,"Uruguay",2
2009,"Venezuela",5
2010,"Argentina",9
2010,"Bolivia",2
2010,"Brasil",7
2010,"Chile",2
2010,"Colombia",5
2010,"Ecuador",5
2010,"Guyana",1
2010,"Paraguay",4
2010,"Peru",5
2010,"Surinam",1
2010,"Uruguay",4
2010,"Venezuela",5
2011,"Argentina",6
2011,"Bolivia",1
2011,"Brasil",3
2011,"Chile",2
2011,"Colombia",3
2011,"Ecuador",3
2011,"Guyana",0
2011,"Paraguay",0
2011,"Peru",2
2011,"Surinam",0
2011,"Uruguay",3
2011,"Venezuela",3
2012,"Argentina",2
2012,"Bolivia",1
2012,"Brasil",0
2012,"Chile",0
2012,"Colombia",1
2012,"Ecuador",1
2012,"Guyana",0
2012,"Paraguay",0
2012,"Peru",0
2012,"Surinam",1
2012,"Uruguay",0
2012,"Venezuela",2
2013,"Argentina",4
2013,"Bolivia",4
2013,"Brasil",2
2013,"Chile",1
2013,"Colombia",2
2013,"Ecuador",1
2013,"Guyana",1
2013,"Paraguay",3
2013,"Peru",2
2013,"Surinam",0
2013,"Uruguay",3
2013,"Venezuela",5
2014,"Argentina",1
2014,"Bolivia",0
2014,"Brasil",2
2014,"Chile",4
2014,"Colombia",1
2014,"Ecuador",1
2014,"Guyana",0
2014,"Paraguay",2
2014,"Peru",1
2014,"Surinam",0
2014,"Uruguay",1
2014,"Venezuela",2
2015,"Argentina",4
2015,"Bolivia",3
2015,"Brasil",1
2015,"Chile",1
2015,"Colombia",3
2015,"Ecuador",0
2015,"Guyana",0
2015,"Paraguay",1
2015,"Peru",1
2015,"Surinam",1
2015,"Uruguay",4
2015,"Venezuela",0
2016,"Argentina",3
2016,"Bolivia",1
2016,"Brasil",1
2016,"Chile",3
2016,"Colombia",1
2016,"Ecuador",1
2016,"Guyana",0
2016,"Paraguay",0
2016,"Peru",0
2016,"Surinam",1
2016,"Uruguay",1
2016,"Venezuela",1
2017,"Argentina",3
2017,"Bolivia",0
2017,"Brasil",3
2017,"Chile",1
2017,"Colombia",0
2017,"Ecuador",3
2017,"Guyana",0
2017,"Paraguay",2
2017,"Peru",3
2017,"Surinam",0
2017,"Uruguay",0
2017,"Venezuela",0
2018,"Argentina",2
2018,"Bolivia",2
2018,"Brasil",4
2018,"Chile",4
2018,"Colombia",4
2018,"Ecuador",2
2018,"Guyana",0
2018,"Paraguay",4
2018,"Peru",0
2018,"Surinam",0
2018,"Uruguay",0
2018,"Venezuela",1
2019,"Argentina",4
2019,"Bolivia",2
2019,"Brasil",5
2019,"Chile",0
2019,"Colombia",2
2019,"Ecuador",0
2019,"Guyana",0
2019,"Paraguay",1
2019,"Peru",5
2019,"Surinam",1
2019,"Uruguay",1
2019,"Venezuela",1
2020,"Argentina",0
2020,"Bolivia",1
2020,"Brasil",1
2020,"Chile",1
2020,"Colombia",0
2020,"Ecuador",0
2020,"Guyana",0
2020,"Paraguay",0
2020,"Peru",0
2020,"Surinam",1
2020,"Uruguay",3
2020,"Venezuela",0
2021,"Argentina",1
2021,"Bolivia",1
2021,"Brasil",3
2021,"Chile",1
2021,"Colombia",3
2021,"Ecuador",2
2021,"Guyana",1
2021,"Paraguay",1
2021,"Peru",5
2021,"Surinam",0
2021,"Uruguay",2
2021,"Venezuela",0
2022,"Argentina",3
2022,"Bolivia",1
2022,"Brasil",0
2022,"Chile",7
2022,"Colombia",7
2022,"Ecuador",2
2022,"Guyana",1
2022,"Paraguay",2
2022,"Peru",0
2022,"Surinam",0
2022,"Uruguay",0
2022,"Venezuela",1
2023,"Argentina",2
2023,"Bolivia",1
2023,"Brasil",4
2023,"Chile",4
2023,"Colombia",2
2023,"Ecuador",2
2023,"Guyana",0
2023,"Paraguay",1
2023,"Peru",1
2023,"Surinam",0
2023,"Uruguay",3
2023,"Venezuela",5
2024,"Argentina",3
2024,"Bolivia",2
2024,"Brasil",1
2024,"Chile",2
2024,"Colombia",1
2024,"Ecuador",1
2024,"Guyana",1
2024,"Paraguay",2
2024,"Peru",1
2024,"Surinam",0
2024,"Uruguay",1
2024,"Venezuela",1
2025,"Argentina",1
2025,"Bolivia",4
2025,"Brasil",5
2025,"Chile",0
2025,"Colombia",0
2025,"Ecuador",3
2025,"Guyana",1
2025,"Paraguay",2
2025,"Peru",0
2025,"Surinam",1
2025,"Uruguay",7
2025,"Venezuela",0
