"Leader_key","presidents","country","Mandato_asignado_inicio","Mandato_asignado_fin","ideology","economy","geopolitics","style","usa","sovereignty","development","reputation","n_viajes","n_viajes_intralatam","pct_intralatam","n_viajes_usa","pct_usa","n_viajes_china","pct_china","n_viajes_europa","pct_europa","bloque_ideologico"
"alan garcia","Alan Gabriel Ludwig Garcia Perez2","Peru",2006-07-28,2011-07-28,5.67000007629395,6.1100001335144,5.55999994277954,5,5.67000007629395,3.89000010490417,4.44000005722046,4.55999994277954,18,7,38.8888888888889,4,22.2222222222222,1,5.55555555555556,2,11.1111111111111,"Derecha (5-7)"
"alberto fernandez","Alberto Fernandez","Argentina",2019-12-10,2023-12-10,3,2.4,3.1,3,3,3.4,3.3,2.5,29,14,48.2758620689655,0,0,1,3.44827586206897,13,44.8275862068966,"Centro (3-5)"
"alberto fujimori","Alberto Kenya Fujimori Fujimori1","Peru",1990-07-28,1995-07-28,4.78000020980835,5.32999992370605,5,4.55999994277954,5.32999992370605,3.32999992370606,3.44000005722046,4.21999979019165,9,7,77.7777777777778,0,0,1,11.1111111111111,0,0,"Centro (3-5)"
"alberto fujimori","Alberto Kenya Fujimori Fujimori2","Peru",1995-07-28,2000-07-28,5.44000005722046,5.67000007629395,5.55999994277954,4.78000020980835,5.67000007629395,3.77999997138977,4.1100001335144,4.1100001335144,37,18,48.6486486486486,2,5.40540540540541,0,0,6,16.2162162162162,"Derecha (5-7)"
"alejandro toledo","Alejandro Celestino Toledo Manrique","Peru",2001-07-28,2006-07-28,4.67000007629395,5.8899998664856,5.21999979019165,5,5.67000007629395,3.44000005722046,4.21999979019165,4.67000007629395,21,9,42.8571428571429,2,9.52380952380952,1,4.76190476190476,7,33.3333333333333,"Centro (3-5)"
"alfredo palacio","Luis Alfredo Palacio Gonzalez","Ecuador",2005-04-20,2007-01-15,4.5,4.5,5.32999992370605,4,5.32999992370605,2.67000007629394,3.17000007629394,3.82999992370606,5,5,100,0,0,0,0,0,0,"Centro (3-5)"
"alvaro uribe","Alvaro Uribe Velez1","Colombia",2002-08-07,2006-08-07,6.8600001335144,6.71000003814697,6.71000003814697,3,6.71000003814697,3.85999989509583,3.71000003814697,4.42999982833862,29,18,62.0689655172414,6,20.6896551724138,1,3.44827586206897,4,13.7931034482759,"Derecha (5-7)"
"alvaro uribe","Alvaro Uribe Velez2","Colombia",2006-08-07,2010-08-07,6.8600001335144,6.71000003814697,6.71000003814697,2.82999992370606,6.71000003814697,3.85999989509583,3.4300000667572,4.42999982833862,29,21,72.4137931034483,4,13.7931034482759,0,0,3,10.3448275862069,"Derecha (5-7)"
"andres pastrana arango","Andres Pastrana Arango","Colombia",1998-08-07,2002-08-07,6,6.28999996185303,6.1399998664856,3.5,6.42999982833862,3.14000010490417,3,3.5699999332428,23,7,30.4347826086957,4,17.3913043478261,1,4.34782608695652,6,26.0869565217391,"Derecha (5-7)"
"carlos saul menem","Carlos Saul Menem2","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,33,6,18.1818181818182,2,6.06060606060606,1,3.03030303030303,11,33.3333333333333,"Derecha (5-7)"
