"TripID","TripStartDate","Periodo5","CountryVisited","presidente_origen","ideology_origen","Mandato_asignado_inicio","Mandato_asignado_fin","ideology_destino","presidente_destino","bloque_origen","bloque_destino","misma_ideologia"
"334-ARG-BRA-34684",1994-12-16,1990,"Brazil","Carlos Saul Menem1",6.09999990463257,1992-12-29,1995-01-01,4.44000005722046,"Itamar Augusto Cautiero Franco","Derecha","Centro",FALSE
"334-ARG-BRA-34701",1995-01-02,1995,"Brazil","Carlos Saul Menem1",6.09999990463257,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-BRA-34750",1995-02-20,1995,"Brazil","Carlos Saul Menem1",6.09999990463257,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-PER-34908",1995-07-28,1995,"Peru","Carlos Saul Menem2",6.30000019073486,1995-07-28,2000-07-28,5.44000005722046,"Alberto Kenya Fujimori Fujimori2","Derecha","Derecha",TRUE
"334-ARG-ECU-34946",1995-09-04,1995,"Ecuador","Carlos Saul Menem2",6.30000019073486,1992-08-10,1996-08-10,6.5,"Sixto Alfonso Duran Ballen Cordovez","Derecha","Derecha",TRUE
"334-ARG-URY-35040",1995-12-07,1995,"Uruguay","Carlos Saul Menem2",6.30000019073486,1995-03-01,2000-03-01,4.82000017166138,"Julio Maria Sanguinetti Coirolo2","Derecha","Centro",FALSE
"334-ARG-CHL-35382",1996-11-13,1995,"Chile","Carlos Saul Menem2",6.30000019073486,1994-03-11,2000-03-11,4.1399998664856,"Eduardo Frei Ruiz-Tagle","Derecha","Centro",FALSE
"334-ARG-BRA-35547",1997-04-27,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-PRY-35665",1997-08-23,1995,"Paraguay","Carlos Saul Menem2",6.30000019073486,1993-08-15,1998-08-15,5.75,"Juan Carlos Maria Wasmosy Monti","Derecha","Derecha",TRUE
"334-ARG-VEN-35742",1997-11-08,1995,"Venezuela","Carlos Saul Menem2",6.30000019073486,1994-02-02,1999-02-02,4.13000011444092,"Rafael Antonio Caldera Rodriguez","Derecha","Centro",FALSE
"334-ARG-BRA-35745",1997-11-11,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-URY-35779",1997-12-15,1995,"Uruguay","Carlos Saul Menem2",6.30000019073486,1995-03-01,2000-03-01,4.82000017166138,"Julio Maria Sanguinetti Coirolo2","Derecha","Centro",FALSE
"334-ARG-CHL-35903",1998-04-18,1995,"Chile","Carlos Saul Menem2",6.30000019073486,1994-03-11,2000-03-11,4.1399998664856,"Eduardo Frei Ruiz-Tagle","Derecha","Centro",FALSE
"334-ARG-BRA-36094",1998-10-26,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-BRA-36164",1999-01-04,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"334-ARG-VEN-36193",1999-02-02,1995,"Venezuela","Carlos Saul Menem2",6.30000019073486,1999-02-02,2000-08-19,2.13000011444092,"Hugo Chavez1","Derecha","Izquierda",FALSE
"334-ARG-BRA-36203",1999-02-12,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"334-ARG-BRA-36213",1999-02-22,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"334-ARG-CHL-36287",1999-05-07,1995,"Chile","Carlos Saul Menem2",6.30000019073486,1994-03-11,2000-03-11,4.1399998664856,"Eduardo Frei Ruiz-Tagle","Derecha","Centro",FALSE
"334-ARG-PRY-36325",1999-06-14,1995,"Paraguay","Carlos Saul Menem2",6.30000019073486,1999-03-28,2003-08-15,5.75,"Luis Angel Gonzalez Macchi","Derecha","Derecha",TRUE
"334-ARG-BRA-36339",1999-06-28,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"334-ARG-CHL-36392",1999-08-20,1995,"Chile","Carlos Saul Menem2",6.30000019073486,1994-03-11,2000-03-11,4.1399998664856,"Eduardo Frei Ruiz-Tagle","Derecha","Centro",FALSE
"334-ARG-COL-36430",1999-09-27,1995,"Colombia","Carlos Saul Menem2",6.30000019073486,1998-08-07,2002-08-07,6,"Andres Pastrana Arango","Derecha","Derecha",TRUE
