"TripID","TripStartDate","Periodo5","CountryVisited","presidente_origen","ideology_origen","Mandato_asignado_inicio","Mandato_asignado_fin","ideology_destino","presidente_destino","bloque_origen","bloque_destino","misma_ideologia"
"334-ARG-BRA-34750",1995-02-20,1995,"Brazil","Carlos Saul Menem1",6.09999990463257,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-BRA-35547",1997-04-27,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1995-01-01,1999-01-01,4.78000020980835,"Fernando Henrique Cardoso1","Derecha","Centro",FALSE
"334-ARG-VEN-36193",1999-02-02,1995,"Venezuela","Carlos Saul Menem2",6.30000019073486,1999-02-02,2000-08-19,2.13000011444092,"Hugo Chavez1","Derecha","Izquierda",FALSE
"334-ARG-BRA-36203",1999-02-12,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"334-ARG-CHL-36392",1999-08-20,1995,"Chile","Carlos Saul Menem2",6.30000019073486,1994-03-11,2000-03-11,4.1399998664856,"Eduardo Frei Ruiz-Tagle","Derecha","Centro",FALSE
"334-ARG-BRA-36454",1999-10-21,1995,"Brazil","Carlos Saul Menem2",6.30000019073486,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"1473-ARG-PRY-36661",2000-05-15,2000,"Paraguay","Fernando de la Rua",5.90000009536743,1999-03-28,2003-08-15,5.75,"Luis Angel Gonzalez Macchi","Derecha","Derecha",TRUE
"1473-ARG-URY-36719",2000-07-12,2000,"Uruguay","Fernando de la Rua",5.90000009536743,2000-03-01,2005-03-01,5.44999980926514,"Jorge Luis Batlle Ibanez","Derecha","Derecha",TRUE
"1473-ARG-BOL-36835",2000-11-05,2000,"Bolivia","Fernando de la Rua",5.90000009536743,1997-08-06,2001-08-06,6.5,"Hugo Banzer Suarez","Derecha","Derecha",TRUE
"1473-ARG-BRA-37172",2001-10-08,2000,"Brazil","Fernando de la Rua",5.90000009536743,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Derecha","Centro",FALSE
"1689-ARG-BRA-37524",2002-09-26,2000,"Brazil","Eduardo Alberto Duhalde",4.59999990463257,1999-01-01,2003-01-01,4.78000020980835,"Fernando Henrique Cardoso2","Centro","Centro",TRUE
"1689-ARG-CHL-37558",2002-10-29,2000,"Chile","Eduardo Alberto Duhalde",4.59999990463257,2000-03-11,2006-03-11,3.5699999332428,"Ricardo Froilin Lagos Escobar","Centro","Centro",TRUE
"1689-ARG-BRA-37635",2003-01-14,2000,"Brazil","Eduardo Alberto Duhalde",4.59999990463257,2003-01-01,2007-01-01,2.44000005722046,"Luiz Inacio Lula da Silva1","Centro","Izquierda",FALSE
"1689-ARG-CHL-37734",2003-04-23,2000,"Chile","Eduardo Alberto Duhalde",4.59999990463257,2000-03-11,2006-03-11,3.5699999332428,"Ricardo Froilin Lagos Escobar","Centro","Centro",TRUE
"1689-ARG-URY-37755",2003-05-14,2000,"Uruguay","Eduardo Alberto Duhalde",4.59999990463257,2000-03-01,2005-03-01,5.44999980926514,"Jorge Luis Batlle Ibanez","Centro","Derecha",FALSE
"1826-ARG-BRA-37786",2003-06-11,2000,"Brazil","Nestor Carlos Kirchner",2.79999995231628,2003-01-01,2007-01-01,2.44000005722046,"Luiz Inacio Lula da Silva1","Izquierda","Izquierda",TRUE
"1826-ARG-VEN-37807",2003-07-05,2000,"Venezuela","Nestor Carlos Kirchner",2.79999995231628,2000-08-19,2007-01-10,1.62999999523163,"Hugo Chavez2","Izquierda","Izquierda",TRUE
"1826-ARG-CHL-38058",2004-03-12,2000,"Chile","Nestor Carlos Kirchner",2.79999995231628,2000-03-11,2006-03-11,3.5699999332428,"Ricardo Froilin Lagos Escobar","Izquierda","Centro",FALSE
"1826-ARG-BRA-38062",2004-03-16,2000,"Brazil","Nestor Carlos Kirchner",2.79999995231628,2003-01-01,2007-01-01,2.44000005722046,"Luiz Inacio Lula da Silva1","Izquierda","Izquierda",TRUE
