"Periodo5","Bloque_Global","n","participacion"
1990,"Norte Global",30,0.333333333333333
1990,"Sur Global",60,0.666666666666667
1995,"Norte Global",188,0.315436241610738
1995,"Sur Global",408,0.684563758389262
2000,"Norte Global",223,0.276674937965261
2000,"Sur Global",583,0.723325062034739
2005,"Norte Global",273,0.258278145695364
2005,"Sur Global",784,0.741721854304636
2010,"Norte Global",211,0.226394849785408
2010,"Sur Global",721,0.773605150214592
2015,"Norte Global",228,0.307277628032345
2015,"Sur Global",514,0.692722371967655
2020,"Norte Global",209,0.348333333333333
2020,"Sur Global",391,0.651666666666667
2025,"Norte Global",74,0.406593406593407
2025,"Sur Global",108,0.593406593406593
