"Pais_ES","Periodo5","Bloque_Global","n","participacion"
"Argentina",1990,"Norte Global",1,0.333333333333333
"Argentina",1990,"Sur Global",2,0.666666666666667
"Argentina",1995,"Norte Global",29,0.358024691358025
"Argentina",1995,"Sur Global",52,0.641975308641975
"Argentina",2000,"Norte Global",25,0.324675324675325
"Argentina",2000,"Sur Global",52,0.675324675324675
"Argentina",2005,"Norte Global",16,0.2
"Argentina",2005,"Sur Global",64,0.8
"Argentina",2010,"Norte Global",17,0.246376811594203
"Argentina",2010,"Sur Global",52,0.753623188405797
"Argentina",2015,"Norte Global",22,0.333333333333333
"Argentina",2015,"Sur Global",44,0.666666666666667
"Argentina",2020,"Norte Global",39,0.4875
"Argentina",2020,"Sur Global",41,0.5125
"Argentina",2025,"Norte Global",14,0.666666666666667
"Argentina",2025,"Sur Global",7,0.333333333333333
"Brasil",1990,"Norte Global",1,0.142857142857143
"Brasil",1990,"Sur Global",6,0.857142857142857
"Brasil",1995,"Norte Global",28,0.368421052631579
"Brasil",1995,"Sur Global",48,0.631578947368421
"Brasil",2000,"Norte Global",33,0.275
"Brasil",2000,"Sur Global",87,0.725
"Brasil",2005,"Norte Global",50,0.303030303030303
"Brasil",2005,"Sur Global",115,0.696969696969697
"Brasil",2010,"Norte Global",26,0.247619047619048
"Brasil",2010,"Sur Global",79,0.752380952380952
"Brasil",2015,"Norte Global",23,0.353846153846154
"Brasil",2015,"Sur Global",42,0.646153846153846
"Brasil",2020,"Norte Global",19,0.339285714285714
"Brasil",2020,"Sur Global",37,0.660714285714286
"Brasil",2025,"Norte Global",6,0.260869565217391
"Brasil",2025,"Sur Global",17,0.739130434782609
