"TripID","LeaderID","LeaderCountryOrIGO","LeaderCountryISO","LeaderRegion","LeaderSubregion","PriorityLeader","LeaderRole","LeaderTitle","LeaderSurname","LeaderFullName","Exiled","CountryVisited","CountryVisitedISO","RegionVisited","SubRegionVisited","CityVisited","DisputedTerritory","SemiAutoTerritory","TripYear","TripStartDate","TripEndDate","TripDuration","SubHOGSTravelWithHOGS","CotravelHOGS","MetHostHoGS","HostHOGSName","SubHOGSmetHostSubHOGS","HostSubHOGSName","AttendedMultilatEvent","NameMultilatEvent","AttendedMultilatMinisterialEvent","NameMultilatMinisterialEvent","MetNonhostHOGS","NonhostHOGSNames","PublicAddress","SignedAgreement","CulturalSiteOrCeremony","BusinessLeaderOrForum","MetIGOLeader","IGOLeaderName","Notes","Confidence(1-5)","SourceLink1","SourceLink2","SourceLink3","SourceLink4","SourceLink5","SourceLink6","SourceLink7","SourceLink8","SourceLink9","SourceLink10","SourceLink11","SourceLink12","SourceLink13","SourceLink14","SourceLink15","SourceLink16","SourceLink17","SourceLink18","SourceLink19","SourceLink20","SourceLink21","SourceLink22","SourceLink23","SourceLink24","SourceLink25","SourceLink26","SourceLink27","SourceLink28","SourceLink29","SourceLink30","SourceLink31","SourceLink32","SourceLink33","Year","Periodo5","Mes","Pais_ES","Leader_key","Leader_nombre","Leader_etiqueta","Anio_mandato","Visit_Category","Region_perfil","presidents","country","Pais_base_viajes","Mandato_asignado_inicio","Mandato_asignado_fin","ideology","economy","geopolitics","style","usa","sovereignty","development","reputation","es_latam","es_usa","es_china","es_europa","Year_viaje","bloque_origen","bloque_destino_europa","leader_nombre_europa"
"334-ARG-FRA-35121","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","France","FRA","Europe","Western Europe","Paris","No","No",1996,1996-02-26,1996-02-27,2,"No",NA,"Yes","President Jacques Chirac","No",NA,"No",NA,"No",NA,"No",NA,"No","No","No","No","No",NA,"Mercosur signs agreement with the EU.","1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/312457565?accountid=14608","http://www.gettyimages.com/license/583334450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,1995,"feb","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",7,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1996,"Derecha","Derecha","Chirac"
"334-ARG-DEU-35576","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Germany","DEU","Europe","Western Europe","Bonn","No","No",1997,1997-05-26,1997-05-27,2,"No",NA,"Yes","Chancellor Helmut Kohl","No",NA,"No",NA,"No",NA,"No",NA,"No","No","No","No","No",NA,NA,"2","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/384680494?accountid=14608","http://www.gettyimages.com/license/542864523","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/384680494?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,1995,"may","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",8,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1997,"Derecha","Derecha","Kohl"
"334-ARG-SWE-35940","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Sweden","SWE","Europe","Northern Europe","Stockholm","No","No",1998,1998-05-25,1998-05-28,4,"No",NA,"Yes","Prime Minister Goran Persson","No",NA,"No",NA,"No",NA,"No",NA,"No","Yes","No","Yes","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454025238?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454029061?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"may","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",9,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha","Izquierda","Persson"
"334-ARG-FIN-35946","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Finland","FIN","Europe","Northern Europe","Helsinki","No","No",1998,1998-05-31,1998-06-01,2,"No",NA,"Yes","President Martti Ahtisaari","No",NA,"No",NA,"No",NA,"No",NA,"No","No","No","No","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454024445?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"may","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",9,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha","Izquierda","Marthi Ahtisaari"
"334-ARG-RUS-35971","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Russia","RUS","Europe","Eastern Europe","Moscow","No","No",1998,1998-06-25,1998-06-28,4,"No",NA,"Yes","President Boris Yeltsin","No",NA,"No",NA,"No",NA,"No",NA,"No","Yes","No","Yes","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454227275?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454213474?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454224459?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454221697?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454002730?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"jun","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",9,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha","Derecha","Yeltsin"
"334-ARG-UKR-35974","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Ukraine","UKR","Europe","Eastern Europe","Kyiv","No","No",1998,1998-06-28,1998-06-30,3,"No",NA,"Yes","President Leonid Kuchma","No",NA,"No",NA,"No",NA,"No",NA,"No","Yes","No","Yes","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454223890?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454007972?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"jun","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",9,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha",NA,"Kuchma"
"334-ARG-FRA-36080","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","France","FRA","Europe","Western Europe","Paris","No","No",1998,1998-10-12,1998-10-14,3,"No",NA,"Yes","President Jacques Chirac","No",NA,"No",NA,"No",NA,"No",NA,"No","No","No","No","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452221567?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452600123?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/451783403?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/451798720?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"oct","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",10,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha","Derecha","Chirac"
"334-ARG-GBR-36096","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","United Kingdom","GBR","Europe","Northern Europe","London","No","No",1998,1998-10-28,1998-11-02,6,"No",NA,"Yes","Prime Minister Tony Blair","No",NA,"No",NA,"No",NA,"No",NA,"Yes","Yes","No","No","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452226633?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452222484?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452228018?accountid=14608","http://www.gettyimages.com/license/52016170","http://www.gettyimages.com/license/52016143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"oct","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",10,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha","Izquierda","Blair"
"334-ARG-VAT-36142","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Holy See","VAT","Europe","Southern Europe","Vatican City","No","No",1998,1998-12-13,1998-12-13,1,"No",NA,"Yes","Pope John Paul II","No",NA,"No",NA,"No",NA,"No",NA,"No","No","No","No","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452598092?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452228720?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,1995,"dic","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",10,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1998,"Derecha",NA,NA
"334-ARG-ITA-36247","334","Argentina","ARG","Latin America and the Caribbean","South America","Yes","GS","President","Menem","Carlos Saul Menem","0","Italy","ITA","Europe","Southern Europe","Rome","No","No",1999,1999-03-28,1999-03-31,4,"No",NA,"Yes","Prime Minister Massimo D'Alema","No",NA,"No",NA,"No",NA,"No",NA,"Yes","No","No","No","No",NA,NA,"1","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452230378?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/452796699?accountid=14608","http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/454192065?accountid=14608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,1995,"mar","Argentina","carlos saul menem","Carlos Saul Menem","Carlos Saul Menem (1989-1999)",10,"Bilateral","Europa","Carlos Saul Menem2","Argentina","Argentina",1995-07-08,1999-12-10,6.30000019073486,6.19999980926514,5.80000019073486,4.69999980926514,6.09999990463257,3.09999990463257,4.40000009536743,4.40000009536743,FALSE,FALSE,FALSE,TRUE,1999,"Derecha","Izquierda","D'Alema"
